period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Vans,ACEA,,,,,,,2535.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Vans,ACEA,,,,,,,2407.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,20.0,,0.0,79.0,503.0,0.0,602.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Vans,ACEA,11.0,,0.0,33.0,640.0,0.0,684.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,12.0,,0.0,40.0,715.0,0.0,767.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Vans,ACEA,10.0,,0.0,21.0,605.0,0.0,636.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,12.0,,0.0,44.0,710.0,0.0,766.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Vans,ACEA,12.0,,0.0,18.0,681.0,0.0,711.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Vans,ACEA,11.0,,0.0,33.0,563.0,0.0,607.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Vans,ACEA,22.0,,0.0,23.0,691.0,2.0,738.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
