period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2017-01,quarterly,Whole,ACEA,3.666666667,0.0,45.0,1030.0,762.6666667,0.0,1841.333333,
2017-02,quarterly,Whole,ACEA,3.666666667,0.0,45.0,1030.0,762.6666667,,1841.333333,
2017-03,quarterly,Whole,ACEA,3.666666667,0.0,45.0,1030.0,762.6666667,,1841.333333,
2017-04,quarterly,Whole,ACEA,3.666666667,0.0,49.0,1535.333333,842.0,,2430.0,
2017-05,quarterly,Whole,ACEA,3.666666667,0.0,49.0,1535.333333,842.0,,2430.0,
2017-06,quarterly,Whole,ACEA,3.666666667,0.0,49.0,1535.333333,842.0,,2430.0,
2017-07,quarterly,Whole,ACEA,5.0,0.0,73.0,1348.666667,688.3333333,,2115.0,
2017-08,quarterly,Whole,ACEA,5.0,0.0,73.0,1348.666667,688.3333333,,2115.0,
2017-09,quarterly,Whole,ACEA,5.0,0.0,73.0,1348.666667,688.3333333,,2115.0,
2017-10,quarterly,Whole,ACEA,5.0,0.0,71.33333333,1417.333333,742.3333333,,2236.0,
2017-11,quarterly,Whole,ACEA,5.0,0.0,71.33333333,1417.333333,742.3333333,,2236.0,
2017-12,quarterly,Whole,ACEA,5.0,0.0,71.33333333,1417.333333,742.3333333,,2236.0,
2018-01,quarterly,Whole,ACEA,4.333333333,0.0,56.0,1300.333333,798.6666667,0.0,2159.333333,
2018-02,quarterly,Whole,ACEA,4.333333333,0.0,56.0,1300.333333,798.6666667,,2159.333333,
2018-03,quarterly,Whole,ACEA,4.333333333,0.0,56.0,1300.333333,798.6666667,,2159.333333,
2018-04,quarterly,Whole,ACEA,8.0,0.0,227.0,2138.0,789.0,1.0,3163.0,
2018-05,quarterly,Whole,ACEA,8.0,0.0,227.0,2138.0,789.0,1.0,3163.0,
2018-06,quarterly,Whole,ACEA,8.0,0.0,227.0,2138.0,789.0,1.0,3163.0,
2018-07,quarterly,Whole,ACEA,7.0,0.0,243.0,2002.0,535.0,0.0,2787.0,
2018-08,quarterly,Whole,ACEA,7.0,0.0,243.0,2002.0,535.0,0.0,2787.0,
2018-09,quarterly,Whole,ACEA,7.0,0.0,243.0,2002.0,535.0,0.0,2787.0,
2018-10,quarterly,Whole,ACEA,19.0,0.0,164.0,1858.0,664.0,1.0,2706.0,
2018-11,quarterly,Whole,ACEA,19.0,0.0,164.0,1858.0,664.0,1.0,2706.0,
2018-12,quarterly,Whole,ACEA,19.0,0.0,164.0,1858.0,664.0,1.0,2706.0,
2019-01,quarterly,Whole,ACEA,14.0,0.0,161.0,2517.0,721.0,2.0,3415.0,
2019-02,quarterly,Whole,ACEA,14.0,0.0,161.0,2517.0,721.0,2.0,3415.0,
2019-03,quarterly,Whole,ACEA,14.0,0.0,161.0,2517.0,721.0,2.0,3415.0,
2019-04,quarterly,Whole,ACEA,10.0,0.0,308.0,3418.0,678.0,1.0,4415.0,
2019-05,quarterly,Whole,ACEA,10.0,0.0,308.0,3418.0,678.0,1.0,4415.0,
2019-06,quarterly,Whole,ACEA,10.0,0.0,308.0,3418.0,678.0,1.0,4415.0,
2019-07,quarterly,Whole,ACEA,15.0,0.0,257.0,2701.0,745.0,1.0,3719.0,
2019-08,quarterly,Whole,ACEA,15.0,0.0,257.0,2701.0,745.0,1.0,3719.0,
2019-09,quarterly,Whole,ACEA,15.0,0.0,257.0,2701.0,745.0,1.0,3719.0,
2019-10,quarterly,Whole,ACEA,14.0,0.0,368.0,2866.0,638.0,1.0,3887.0,
2019-11,quarterly,Whole,ACEA,14.0,0.0,368.0,2866.0,638.0,1.0,3887.0,
2019-12,quarterly,Whole,ACEA,14.0,0.0,368.0,2866.0,638.0,1.0,3887.0,
2020-01,quarterly,Whole,ACEA,29.0,0.0,361.0,2690.0,495.0,1.0,3576.0,
2020-02,quarterly,Whole,ACEA,29.0,0.0,361.0,2690.0,495.0,1.0,3576.0,
2020-03,quarterly,Whole,ACEA,29.0,0.0,361.0,2690.0,495.0,1.0,3576.0,
2020-04,quarterly,Whole,ACEA,24.0,0.0,275.0,1414.0,315.0,1.0,2029.0,
2020-05,quarterly,Whole,ACEA,24.0,0.0,275.0,1414.0,315.0,1.0,2029.0,
2020-06,quarterly,Whole,ACEA,24.0,0.0,275.0,1414.0,315.0,1.0,2029.0,
2020-07,quarterly,Whole,ACEA,55.0,0.0,1401.0,1759.0,589.0,7.0,3813.0,
2020-08,quarterly,Whole,ACEA,55.0,0.0,1401.0,1759.0,589.0,7.0,3813.0,
2020-09,quarterly,Whole,ACEA,55.0,0.0,1401.0,1759.0,589.0,7.0,3813.0,
2020-10,quarterly,Whole,ACEA,41.0,0.0,727.0,2289.0,915.0,17.0,3990.0,
2020-11,quarterly,Whole,ACEA,41.0,0.0,727.0,2289.0,915.0,17.0,3990.0,
2020-12,quarterly,Whole,ACEA,41.0,0.0,727.0,2289.0,915.0,17.0,3990.0,
2021-01,quarterly,Whole,ACEA,21.66666667,0.0,1130.333333,1064.666667,316.6666667,0.0,2533.333333,
2021-02,quarterly,Whole,ACEA,21.66666667,0.0,1130.333333,1064.666667,316.6666667,0.0,2533.333333,
2021-03,quarterly,Whole,ACEA,21.66666667,0.0,1130.333333,1064.666667,316.6666667,0.0,2533.333333,
2021-04,quarterly,Whole,ACEA,81.0,0.0,1579.0,1518.0,466.0,25.0,3670.0,
2021-05,quarterly,Whole,ACEA,81.0,0.0,1579.0,1518.0,466.0,25.0,3670.0,
2021-06,quarterly,Whole,ACEA,81.0,0.0,1579.0,1518.0,466.0,25.0,3670.0,
2021-07,quarterly,Whole,ACEA,91.0,33.0,901.0,1219.0,303.0,0.0,2548.0,
2021-08,quarterly,Whole,ACEA,91.0,33.0,901.0,1219.0,303.0,0.0,2548.0,
2021-09,quarterly,Whole,ACEA,91.0,33.0,901.0,1219.0,303.0,0.0,2548.0,
2021-10,quarterly,Whole,ACEA,190.0,0.0,529.0,706.0,241.0,30.0,1697.0,
2021-11,quarterly,Whole,ACEA,190.0,0.0,529.0,706.0,241.0,30.0,1697.0,
2021-12,quarterly,Whole,ACEA,190.0,0.0,529.0,706.0,241.0,30.0,1697.0,
2022-01,monthly,Whole,ACEA,87.0,0.0,991.0,828.0,335.0,0.0,2241.0,
2022-02,monthly,Whole,ACEA,72.0,0.0,747.0,819.0,263.0,0.0,1901.0,
2022-03,monthly,Whole,ACEA,98.0,0.0,1054.0,980.0,218.0,0.0,2350.0,
