period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Buses,ACEA,,,,,,,139.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,108.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,10.0,,0.0,0.0,6.0,0.0,16.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,11.0,,0.0,0.0,19.0,0.0,30.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Buses,ACEA,4.0,,0.0,0.0,38.0,0.0,42.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,1.0,,23.0,0.0,54.0,0.0,78.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,Buses,ACEA,2.0,,0.0,0.0,64.0,0.0,66.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Buses,ACEA,50.0,,0.0,0.0,18.0,0.0,68.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Buses,ACEA,13.0,,25.0,0.0,96.0,4.0,138.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Buses,ACEA,24.0,,0.0,0.0,19.0,0.0,43.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Buses,ACEA,35.0,,26.0,0.0,25.0,0.0,86.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Buses,ACEA,14.0,,0.0,0.0,9.0,0.0,23.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2024-11,quarterly,Buses,ACEA,22.0,,0.0,0.0,35.0,0.0,57.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2025-02,quarterly,Buses,ACEA,39.0,,0.0,0.0,62.0,0.0,101.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Buses,ACEA,54.0,,0.0,0.0,49.0,0.0,103.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Buses,ACEA,50.0,,0.0,0.0,33.0,0.0,83.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,Buses,ACEA,79.0,,0.0,0.0,51.0,10.0,140.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
