period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-01,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,27.0,747.0,2757.0,5.0,3536.0,
2010-02,monthly,Whole,https://lustat.statec.lu/vis?lc=en&pg=0&fs[0]=Topics%2C1%7CEnterprises%23D%23%7CTransport%23D6%23&fc=Motor%20Energy&df[ds]=ds-release&df[id]=DF_D6122&df[ag]=LU1&df[vs]=1.1&pd=2024-10%2C&dq=.M...........&ly[rw]=MOTOR_ENERGY&ly[cl]=TIME_PERIOD&ly[rs]=VEHICLE_TYPE&vw=tb,0.0,0.0,21.0,1000.0,3056.0,4.0,4081.0,
2010-03,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,29.0,1515.0,4262.0,0.0,5806.0,
2010-04,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,18.0,1590.0,4333.0,0.0,5941.0,
2010-05,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,13.0,1420.0,3724.0,1.0,5158.0,
2010-06,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,22.0,1403.0,3726.0,4.0,5155.0,
2010-07,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,25.0,1026.0,3382.0,1.0,4434.0,
2010-08,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,22.0,568.0,1944.0,4.0,2538.0,
2010-09,monthly,Whole,ACEA / lustat.statec.lu,1.0,0.0,18.0,665.0,2608.0,5.0,3297.0,
2010-10,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,17.0,888.0,2919.0,8.0,3832.0,
2010-11,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,16.0,698.0,2729.0,2.0,3445.0,
2010-12,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,17.0,522.0,1964.0,0.0,2503.0,
2011-01,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,16.0,765.0,2571.0,1.0,3353.0,
2011-02,monthly,Whole,ACEA / lustat.statec.lu,0.0,0.0,22.0,995.0,3391.0,2.0,4410.0,
2011-03,monthly,Whole,ACEA / lustat.statec.lu,0.0,3.0,47.0,1561.0,4044.0,5.0,5660.0,
2011-04,monthly,Whole,ACEA / lustat.statec.lu,3.0,2.0,48.0,1398.0,3765.0,5.0,5221.0,
2011-05,monthly,Whole,ACEA / lustat.statec.lu,9.0,0.0,14.0,1333.0,4334.0,6.0,5696.0,
2011-06,monthly,Whole,ACEA / lustat.statec.lu,2.0,2.0,17.0,886.0,3343.0,6.0,4256.0,
2011-07,monthly,Whole,ACEA / lustat.statec.lu,2.0,0.0,16.0,912.0,3593.0,6.0,4529.0,
2011-08,monthly,Whole,ACEA / lustat.statec.lu,1.0,6.0,24.0,623.0,2358.0,6.0,3018.0,
2011-09,monthly,Whole,ACEA / lustat.statec.lu,3.0,3.0,12.0,701.0,2745.0,2.0,3466.0,
2011-10,monthly,Whole,ACEA / lustat.statec.lu,3.0,1.0,19.0,835.0,3062.0,3.0,3923.0,
2011-11,monthly,Whole,ACEA / lustat.statec.lu,5.0,3.0,24.0,725.0,2948.0,2.0,3707.0,
2011-12,monthly,Whole,ACEA / lustat.statec.lu,3.0,1.0,14.0,582.0,2040.0,2.0,2642.0,
2012-01,monthly,Whole,ACEA / lustat.statec.lu,7.0,0.0,13.0,733.0,2894.0,2.0,3649.0,
2012-02,monthly,Whole,ACEA / lustat.statec.lu,7.0,2.0,30.0,1103.0,3397.0,4.0,4543.0,
2012-03,monthly,Whole,ACEA / lustat.statec.lu,2.0,1.0,38.0,1330.0,3943.0,5.0,5319.0,
2012-04,monthly,Whole,ACEA / lustat.statec.lu,1.0,1.0,26.0,1428.0,3912.0,5.0,5373.0,
2012-05,monthly,Whole,ACEA / lustat.statec.lu,2.0,0.0,21.0,1230.0,3576.0,4.0,4833.0,
2012-06,monthly,Whole,ACEA / lustat.statec.lu,6.0,6.0,49.0,1145.0,3726.0,7.0,4939.0,
2012-07,monthly,Whole,ACEA / lustat.statec.lu,6.0,5.0,35.0,887.0,3254.0,8.0,4195.0,
2012-08,monthly,Whole,ACEA / lustat.statec.lu,5.0,2.0,23.0,616.0,2252.0,1.0,2899.0,
2012-09,monthly,Whole,ACEA / lustat.statec.lu,9.0,1.0,33.0,596.0,2701.0,0.0,3340.0,
2012-10,monthly,Whole,ACEA / lustat.statec.lu,7.0,0.0,85.0,891.0,3471.0,0.0,4454.0,
2012-11,monthly,Whole,ACEA / lustat.statec.lu,13.0,2.0,141.0,737.0,2885.0,4.0,3782.0,
2012-12,monthly,Whole,ACEA / lustat.statec.lu,11.0,2.0,56.0,609.0,2394.0,0.0,3072.0,
2013-01,monthly,Whole,ACEA / lustat.statec.lu,4.0,1.0,24.0,763.0,2582.0,1.0,3375.0,
2013-02,monthly,Whole,ACEA / lustat.statec.lu,5.0,2.0,38.0,983.0,3062.0,0.0,4090.0,
2013-03,monthly,Whole,ACEA / lustat.statec.lu,7.0,3.0,35.0,1285.0,3519.0,1.0,4850.0,
2013-04,monthly,Whole,ACEA / lustat.statec.lu,4.0,0.0,40.0,1466.0,3647.0,3.0,5160.0,
2013-05,monthly,Whole,ACEA / lustat.statec.lu,30.0,0.0,34.0,1307.0,3243.0,0.0,4614.0,
2013-06,monthly,Whole,ACEA / lustat.statec.lu,22.0,2.0,22.0,1094.0,3176.0,4.0,4320.0,
2013-07,monthly,Whole,ACEA / lustat.statec.lu,9.0,1.0,30.0,948.0,2913.0,4.0,3905.0,
2013-08,monthly,Whole,ACEA / lustat.statec.lu,12.0,0.0,21.0,679.0,1842.0,0.0,2554.0,
2013-09,monthly,Whole,ACEA / lustat.statec.lu,11.0,0.0,21.0,792.0,2333.0,1.0,3158.0,
2013-10,monthly,Whole,ACEA / lustat.statec.lu,17.0,1.0,34.0,1031.0,3414.0,2.0,4499.0,
2013-11,monthly,Whole,ACEA / lustat.statec.lu,21.0,1.0,29.0,838.0,2652.0,3.0,3544.0,
2013-12,monthly,Whole,ACEA / lustat.statec.lu,16.0,0.0,18.0,661.0,1860.0,0.0,2555.0,
2014-01,monthly,Whole,ACEA / lustat.statec.lu,5.0,1.0,29.0,813.0,2566.0,1.0,3415.0,
2014-02,monthly,Whole,ACEA / lustat.statec.lu,3.0,3.0,41.0,1070.0,3002.0,4.0,4123.0,
2014-03,monthly,Whole,ACEA / lustat.statec.lu,25.0,5.0,69.0,1345.0,3329.0,0.0,4773.0,
2014-04,monthly,Whole,ACEA / lustat.statec.lu,16.0,5.0,53.0,1576.0,3565.0,5.0,5220.0,
2014-05,monthly,Whole,ACEA / lustat.statec.lu,11.0,6.0,47.0,1631.0,3495.0,8.0,5198.0,
2014-06,monthly,Whole,ACEA / lustat.statec.lu,30.0,2.0,25.0,1188.0,3162.0,9.0,4416.0,
2014-07,monthly,Whole,ACEA / lustat.statec.lu,14.0,5.0,26.0,1156.0,3275.0,0.0,4476.0,
2014-08,monthly,Whole,ACEA / lustat.statec.lu,15.0,2.0,20.0,714.0,2193.0,0.0,2944.0,
2014-09,monthly,Whole,ACEA / lustat.statec.lu,11.0,1.0,17.0,852.0,2697.0,4.0,3582.0,
2014-10,monthly,Whole,ACEA / lustat.statec.lu,23.0,2.0,32.0,1002.0,3463.0,0.0,4522.0,
2014-11,monthly,Whole,ACEA / lustat.statec.lu,37.0,5.0,37.0,826.0,2579.0,4.0,3488.0,
2014-12,monthly,Whole,ACEA / lustat.statec.lu,122.0,19.0,49.0,924.0,2519.0,3.0,3636.0,
2015-01,monthly,Whole,ACEA / lustat.statec.lu,3.0,2.0,37.0,742.0,2421.0,0.0,3205.0,
2015-02,monthly,Whole,ACEA / lustat.statec.lu,3.0,2.0,19.0,1093.0,2664.0,2.0,3783.0,
2015-03,monthly,Whole,ACEA / lustat.statec.lu,10.0,2.0,59.0,1418.0,3378.0,1.0,4868.0,
2015-04,monthly,Whole,ACEA / lustat.statec.lu,8.0,4.0,40.0,1549.0,3443.0,2.0,5046.0,
2015-05,monthly,Whole,ACEA / lustat.statec.lu,6.0,0.0,37.0,1311.0,2874.0,3.0,4231.0,
2015-06,monthly,Whole,ACEA / lustat.statec.lu,6.0,3.0,31.0,1246.0,3254.0,8.0,4548.0,
2015-07,monthly,Whole,ACEA / lustat.statec.lu,3.0,4.0,46.0,1197.0,3084.0,0.0,4334.0,
2015-08,monthly,Whole,ACEA / lustat.statec.lu,2.0,0.0,35.0,753.0,1844.0,2.0,2636.0,
2015-09,monthly,Whole,ACEA / lustat.statec.lu,8.0,0.0,46.0,928.0,2393.0,1.0,3376.0,
2015-10,monthly,Whole,ACEA / lustat.statec.lu,8.0,3.0,47.0,1067.0,3273.0,0.0,4398.0,
2015-11,monthly,Whole,ACEA / lustat.statec.lu,8.0,1.0,39.0,929.0,2435.0,0.0,3412.0,
2015-12,monthly,Whole,ACEA / lustat.statec.lu,8.0,4.0,32.0,788.0,1804.0,0.0,2636.0,
2016-01,monthly,Whole,ACEA / lustat.statec.lu,6.0,2.0,67.0,1023.0,2378.0,1.0,3477.0,
2016-02,monthly,Whole,ACEA / lustat.statec.lu,6.0,2.0,76.0,1452.0,2911.0,1.0,4448.0,
