period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-01,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,112.0,0.0,112.0,DF_D6122 OPERATION=N
2010-02,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,53.0,0.0,53.0,DF_D6122 OPERATION=N
2010-03,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,2.0,102.0,0.0,104.0,DF_D6122 OPERATION=N
2010-04,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,77.0,0.0,77.0,DF_D6122 OPERATION=N
2010-05,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,66.0,0.0,66.0,DF_D6122 OPERATION=N
2010-06,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,75.0,0.0,75.0,DF_D6122 OPERATION=N
2010-07,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,94.0,1.0,95.0,DF_D6122 OPERATION=N
2010-08,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,70.0,0.0,70.0,DF_D6122 OPERATION=N
2010-09,monthly,HDV,lustat.statec.lu,0.0,0.0,1.0,0.0,104.0,2.0,107.0,DF_D6122 OPERATION=N
2010-10,monthly,HDV,lustat.statec.lu,0.0,0.0,4.0,0.0,82.0,2.0,88.0,DF_D6122 OPERATION=N
2010-11,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,59.0,1.0,60.0,DF_D6122 OPERATION=N
2010-12,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,51.0,0.0,51.0,DF_D6122 OPERATION=N
2011-01,monthly,HDV,lustat.statec.lu,0.0,0.0,7.0,0.0,141.0,2.0,150.0,DF_D6122 OPERATION=N
2011-02,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,107.0,0.0,107.0,DF_D6122 OPERATION=N
2011-03,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,125.0,0.0,125.0,DF_D6122 OPERATION=N
2011-04,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,162.0,1.0,163.0,DF_D6122 OPERATION=N
2011-05,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,113.0,4.0,117.0,DF_D6122 OPERATION=N
2011-06,monthly,HDV,lustat.statec.lu,0.0,0.0,1.0,0.0,108.0,1.0,110.0,DF_D6122 OPERATION=N
2011-07,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,145.0,0.0,145.0,DF_D6122 OPERATION=N
2011-08,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,1.0,105.0,0.0,106.0,DF_D6122 OPERATION=N
2011-09,monthly,HDV,lustat.statec.lu,1.0,0.0,0.0,0.0,115.0,1.0,117.0,DF_D6122 OPERATION=N
2011-10,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,131.0,0.0,131.0,DF_D6122 OPERATION=N
2011-11,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,106.0,1.0,107.0,DF_D6122 OPERATION=N
2011-12,monthly,HDV,lustat.statec.lu,0.0,0.0,5.0,0.0,69.0,0.0,74.0,DF_D6122 OPERATION=N
2012-01,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,180.0,3.0,183.0,DF_D6122 OPERATION=N
2012-02,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,81.0,1.0,82.0,DF_D6122 OPERATION=N
2012-03,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,98.0,1.0,99.0,DF_D6122 OPERATION=N
2012-04,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,125.0,0.0,125.0,DF_D6122 OPERATION=N
2012-05,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,95.0,1.0,96.0,DF_D6122 OPERATION=N
2012-06,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,94.0,4.0,98.0,DF_D6122 OPERATION=N
2012-07,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,82.0,0.0,82.0,DF_D6122 OPERATION=N
2012-08,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,46.0,2.0,48.0,DF_D6122 OPERATION=N
2012-09,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,93.0,1.0,94.0,DF_D6122 OPERATION=N
2012-10,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,71.0,3.0,74.0,DF_D6122 OPERATION=N
2012-11,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,91.0,1.0,92.0,DF_D6122 OPERATION=N
2012-12,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,81.0,0.0,81.0,DF_D6122 OPERATION=N
2013-01,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,137.0,1.0,138.0,DF_D6122 OPERATION=N
2013-02,monthly,HDV,lustat.statec.lu,0.0,0.0,5.0,0.0,61.0,1.0,67.0,DF_D6122 OPERATION=N
2013-03,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,90.0,1.0,91.0,DF_D6122 OPERATION=N
2013-04,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,87.0,3.0,90.0,DF_D6122 OPERATION=N
2013-05,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,74.0,2.0,76.0,DF_D6122 OPERATION=N
2013-06,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,89.0,6.0,95.0,DF_D6122 OPERATION=N
2013-07,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,62.0,1.0,63.0,DF_D6122 OPERATION=N
2013-08,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,87.0,2.0,89.0,DF_D6122 OPERATION=N
2013-09,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,78.0,2.0,80.0,DF_D6122 OPERATION=N
2013-10,monthly,HDV,lustat.statec.lu,0.0,0.0,1.0,0.0,99.0,4.0,104.0,DF_D6122 OPERATION=N
2013-11,monthly,HDV,lustat.statec.lu,0.0,0.0,1.0,0.0,86.0,13.0,100.0,DF_D6122 OPERATION=N
2013-12,monthly,HDV,lustat.statec.lu,0.0,0.0,5.0,0.0,122.0,0.0,127.0,DF_D6122 OPERATION=N
2014-01,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,144.0,2.0,146.0,DF_D6122 OPERATION=N
2014-02,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,89.0,1.0,90.0,DF_D6122 OPERATION=N
2014-03,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,97.0,4.0,101.0,DF_D6122 OPERATION=N
2014-04,monthly,HDV,lustat.statec.lu,0.0,0.0,0.0,0.0,118.0,0.0,118.0,DF_D6122 OPERATION=N
