period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-01,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,5.0,230.0,0.0,235.0,DF_D6122 OPERATION=N
2010-02,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,2.0,238.0,3.0,243.0,DF_D6122 OPERATION=N
2010-03,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,4.0,269.0,1.0,274.0,DF_D6122 OPERATION=N
2010-04,monthly,Vans,lustat.statec.lu,1.0,0.0,0.0,4.0,290.0,0.0,295.0,DF_D6122 OPERATION=N
2010-05,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,12.0,254.0,0.0,266.0,DF_D6122 OPERATION=N
2010-06,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,11.0,340.0,0.0,351.0,DF_D6122 OPERATION=N
2010-07,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,4.0,309.0,1.0,314.0,DF_D6122 OPERATION=N
2010-08,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,2.0,215.0,1.0,218.0,DF_D6122 OPERATION=N
2010-09,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,7.0,179.0,1.0,187.0,DF_D6122 OPERATION=N
2010-10,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,5.0,273.0,1.0,279.0,DF_D6122 OPERATION=N
2010-11,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,3.0,271.0,3.0,277.0,DF_D6122 OPERATION=N
2010-12,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,8.0,150.0,3.0,161.0,DF_D6122 OPERATION=N
2011-01,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,7.0,239.0,1.0,247.0,DF_D6122 OPERATION=N
2011-02,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,2.0,273.0,0.0,275.0,DF_D6122 OPERATION=N
2011-03,monthly,Vans,lustat.statec.lu,0.0,0.0,0.0,5.0,339.0,0.0,344.0,DF_D6122 OPERATION=N
