period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,monthly,Whole,data.gov.my,3.0,,940.0,42043.0,4172.0,4.0,47162.0,
2018-02,monthly,Whole,data.gov.my,,,650.0,37741.0,3306.0,8.0,41705.0,
2018-03,monthly,Whole,data.gov.my,1.0,,931.0,44563.0,4296.0,19.0,49810.0,
2018-04,monthly,Whole,data.gov.my,1.0,,729.0,42903.0,4189.0,12.0,47834.0,
2018-05,monthly,Whole,data.gov.my,,,496.0,41619.0,2472.0,11.0,44598.0,
2018-06,monthly,Whole,data.gov.my,1.0,,1372.0,58613.0,5463.0,11.0,65460.0,
2018-07,monthly,Whole,data.gov.my,,,1271.0,63380.0,6208.0,10.0,70869.0,
2018-08,monthly,Whole,data.gov.my,2.0,,1012.0,60645.0,8820.0,27.0,70506.0,
2018-09,monthly,Whole,data.gov.my,,,54.0,28287.0,2667.0,1.0,31009.0,
2018-10,monthly,Whole,data.gov.my,,,62.0,42823.0,3732.0,7.0,46624.0,
2018-11,monthly,Whole,data.gov.my,,,110.0,42707.0,3637.0,17.0,46471.0,
2018-12,monthly,Whole,data.gov.my,2.0,,122.0,42916.0,3888.0,18.0,46946.0,
2019-01,monthly,Whole,data.gov.my,4.0,,323.0,46110.0,4275.0,27.0,50739.0,
2019-02,monthly,Whole,data.gov.my,,,291.0,35829.0,2606.0,4.0,38730.0,
2019-03,monthly,Whole,data.gov.my,1.0,,550.0,50665.0,3780.0,5.0,55001.0,
2019-04,monthly,Whole,data.gov.my,,,581.0,47092.0,3559.0,2.0,51234.0,
2019-05,monthly,Whole,data.gov.my,,,607.0,58423.0,4034.0,13.0,63077.0,
2019-06,monthly,Whole,data.gov.my,,,350.0,38204.0,2942.0,5.0,41501.0,
2019-07,monthly,Whole,data.gov.my,17.0,,469.0,48585.0,3974.0,12.0,53057.0,
2019-08,monthly,Whole,data.gov.my,9.0,,458.0,48464.0,3352.0,6.0,52289.0,
2019-09,monthly,Whole,data.gov.my,4.0,,584.0,41495.0,3317.0,4.0,45404.0,
2019-10,monthly,Whole,data.gov.my,5.0,,534.0,49788.0,3780.0,4.0,54111.0,
2019-11,monthly,Whole,data.gov.my,,,629.0,48449.0,3546.0,7.0,52631.0,
2019-12,monthly,Whole,data.gov.my,4.0,,590.0,50647.0,3945.0,13.0,55199.0,
2020-01,monthly,Whole,data.gov.my,5.0,,413.0,43987.0,3189.0,3.0,47597.0,
2020-02,monthly,Whole,data.gov.my,5.0,,243.0,39674.0,3350.0,4.0,43276.0,
2020-03,monthly,Whole,data.gov.my,3.0,,147.0,21038.0,1854.0,2.0,23044.0,
2020-04,monthly,Whole,data.gov.my,,,1.0,121.0,7.0,,129.0,
2020-05,monthly,Whole,data.gov.my,1.0,,87.0,22309.0,2002.0,,24399.0,
2020-06,monthly,Whole,data.gov.my,3.0,,287.0,43201.0,3107.0,1.0,46599.0,
2020-07,monthly,Whole,data.gov.my,4.0,,188.0,57682.0,4546.0,3.0,62423.0,
2020-08,monthly,Whole,data.gov.my,1.0,,134.0,51694.0,3837.0,1.0,55667.0,
2020-09,monthly,Whole,data.gov.my,8.0,,99.0,56453.0,3641.0,3.0,60204.0,
2020-10,monthly,Whole,data.gov.my,17.0,,109.0,56200.0,3185.0,2.0,59513.0,
2020-11,monthly,Whole,data.gov.my,16.0,,87.0,54926.0,3995.0,1.0,59025.0,
2020-12,monthly,Whole,data.gov.my,8.0,,133.0,65367.0,4974.0,1.0,70483.0,
2021-01,monthly,Whole,data.gov.my,6.0,,59.0,32179.0,2859.0,,35103.0,
2021-02,monthly,Whole,data.gov.my,14.0,,118.0,40399.0,3882.0,,44413.0,
2021-03,monthly,Whole,data.gov.my,24.0,,459.0,60713.0,5047.0,1.0,66244.0,
