period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2023-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2024-05,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,HDV,ACEA,0.0,,0.0,0.0,0.0,0.0,0.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
