period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2023-02,quarterly,Vans,ACEA,28.0,,3.0,9.0,180.0,0.0,220.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Vans,ACEA,5.0,,4.0,14.0,134.0,0.0,157.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,40.0,,-3.0,18.0,150.0,0.0,205.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2022-05,quarterly,Vans,ACEA,14.0,,-1.0,10.0,203.0,3.0,229.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,51.0,,0.0,14.0,162.0,0.0,227.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2024-05,quarterly,Vans,ACEA,38.0,,1.0,5.0,156.0,0.0,200.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2024-08,quarterly,Vans,ACEA,69.0,,0.0,-3.0,147.0,0.0,213.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2023-08,quarterly,Vans,ACEA,-7.0,,5.0,4.0,176.0,0.0,178.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2022-08,quarterly,Vans,ACEA,10.0,,3.0,10.0,169.0,0.0,192.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,44.0,,3.0,14.0,150.0,0.0,211.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2022-11,quarterly,Vans,ACEA,5.0,,4.0,13.0,141.0,0.0,163.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2024-11,quarterly,Vans,ACEA,49.0,,4.0,31.0,173.0,0.0,257.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2025-02,quarterly,Vans,ACEA,70.0,,1.0,17.0,112.0,0.0,200.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Vans,ACEA,42.0,,0.0,14.0,168.0,0.0,224.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
