period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-08,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",0.0,,0.0,550.0,114.0,0.0,664.0,
2020-09,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",0.0,,3.0,538.0,94.0,0.0,635.0,
2020-10,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",0.0,,2.0,1887.0,396.0,0.0,2285.0,
2020-11,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",9.0,,2.0,1324.0,195.0,0.0,1530.0,
2020-12,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",28.0,,2.0,1194.0,231.0,0.0,1455.0,
2021-01,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",14.0,,3.0,704.0,169.0,0.0,890.0,
2021-02,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",52.0,,1.0,1173.0,198.0,0.0,1424.0,
2021-03,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",0.0,,0.0,1316.0,156.0,0.0,1472.0,
2021-04,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",5.0,,0.0,1681.0,191.0,0.0,1877.0,
2021-05,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",45.0,,0.0,954.0,40.0,0.0,1039.0,
2021-06,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",60.0,,0.0,349.0,65.0,0.0,474.0,
2021-07,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",36.0,,0.0,1240.0,281.0,0.0,1557.0,
2021-08,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",105.0,,1.0,1296.0,160.0,0.0,1562.0,
2021-09,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",38.0,,0.0,1959.0,243.0,0.0,2240.0,
2021-10,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",303.0,,1.0,2283.0,290.0,0.0,2877.0,
2021-11,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",227.0,,1.0,1398.0,135.0,0.0,1761.0,
2021-12,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",240.0,,0.0,1004.0,154.0,0.0,1398.0,
2022-01,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",190.0,,3.0,1046.0,91.0,0.0,1330.0,
2022-02,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",88.0,,6.0,642.0,167.0,0.0,903.0,
2022-03,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",166.0,,2.0,852.0,184.0,0.0,1204.0,
2022-04,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",116.0,,0.0,615.0,112.0,0.0,843.0,
2022-05,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",78.0,,2.0,852.0,153.0,0.0,1085.0,
2022-06,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",153.0,,9.0,1148.0,110.0,0.0,1420.0,
2022-07,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",103.0,,0.0,93.0,62.0,0.0,258.0,
2022-08,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",211.0,,0.0,106.0,27.0,0.0,344.0,
2022-09,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",203.0,,5.0,261.0,110.0,0.0,579.0,
2022-10,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",291.0,,0.0,145.0,66.0,0.0,502.0,
2022-11,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",313.0,,1.0,62.0,36.0,0.0,412.0,
2022-12,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",335.0,,4.0,111.0,36.0,0.0,486.0,
2023-01,monthly,Whole,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",396.0,,7.0,78.0,20.0,0.0,501.0,
