period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2020-08,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",56.0,,0.0,46.0,0.0,0.0,102.0,
2020-09,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",407.0,,0.0,96.0,0.0,0.0,503.0,
2020-10,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",243.0,,0.0,121.0,0.0,0.0,364.0,
2020-11,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",257.0,,0.0,205.0,0.0,0.0,462.0,
2020-12,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",227.0,,0.0,109.0,0.0,0.0,336.0,
2021-01,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",282.0,,0.0,322.0,0.0,0.0,604.0,
2021-02,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",476.0,,0.0,326.0,0.0,0.0,802.0,
2021-03,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",239.0,,0.0,643.0,0.0,0.0,882.0,
2021-04,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",671.0,,0.0,398.0,0.0,0.0,1069.0,
2021-05,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",517.0,,0.0,460.0,0.0,0.0,977.0,
2021-06,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",694.0,,0.0,277.0,0.0,0.0,971.0,
2021-07,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",181.0,,0.0,21.0,0.0,0.0,202.0,
2021-08,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",228.0,,0.0,402.0,0.0,0.0,630.0,
2021-09,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",183.0,,0.0,634.0,0.0,0.0,817.0,
2021-10,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",585.0,,0.0,792.0,0.0,0.0,1377.0,
2021-11,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",1092.0,,0.0,524.0,0.0,0.0,1616.0,
2021-12,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",680.0,,0.0,400.0,0.0,0.0,1080.0,
2022-01,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",913.0,,0.0,406.0,0.0,0.0,1319.0,
2022-02,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",990.0,,0.0,302.0,0.0,0.0,1292.0,
2022-03,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",793.0,,0.0,414.0,0.0,0.0,1207.0,
2022-04,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",855.0,,0.0,367.0,0.0,0.0,1222.0,
2022-05,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",329.0,,0.0,20.0,0.0,0.0,349.0,
2022-06,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",92.0,,0.0,19.0,0.0,0.0,111.0,
2022-07,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",582.0,,0.0,320.0,0.0,0.0,902.0,
2022-08,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",523.0,,0.0,0.0,0.0,0.0,523.0,
2022-09,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",1067.0,,0.0,0.0,0.0,0.0,1067.0,
2022-10,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",976.0,,0.0,0.0,0.0,0.0,976.0,
2022-11,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",623.0,,0.0,140.0,0.0,0.0,763.0,
2022-12,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",473.0,,0.0,0.0,0.0,0.0,473.0,
2023-01,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",534.0,,0.0,0.0,0.0,0.0,534.0,
2023-02,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",455.0,,0.0,0.0,0.0,0.0,455.0,
2023-03,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",729.0,,0.0,0.0,0.0,0.0,729.0,
2023-04,monthly,3-Wheelers,"customs.gov.np (Department of Customs FTS, HS 8703 imports)",300.0,,0.0,0.0,0.0,0.0,300.0,
