period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2011-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,74786.0,backfill: pre-2018 from maintainer google sheet
2011-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,49018.0,backfill: pre-2018 from maintainer google sheet
2011-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,56601.0,backfill: pre-2018 from maintainer google sheet
2011-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,47634.0,backfill: pre-2018 from maintainer google sheet
2011-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,49806.0,backfill: pre-2018 from maintainer google sheet
2011-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,2.0,,,,,,50500.0,backfill: pre-2018 from maintainer google sheet
2011-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,42091.0,backfill: pre-2018 from maintainer google sheet
2011-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,39064.0,backfill: pre-2018 from maintainer google sheet
2011-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,2.0,,,,,,44382.0,backfill: pre-2018 from maintainer google sheet
2011-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,43626.0,backfill: pre-2018 from maintainer google sheet
2011-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,1.0,,,,,,41061.0,backfill: pre-2018 from maintainer google sheet
2011-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,71.0,2.0,,,,,,17229.0,backfill: pre-2018 from maintainer google sheet
2012-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,70157.0,backfill: pre-2018 from maintainer google sheet
2012-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,43968.0,backfill: pre-2018 from maintainer google sheet
2012-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,52334.0,backfill: pre-2018 from maintainer google sheet
2012-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,41033.0,backfill: pre-2018 from maintainer google sheet
2012-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,47759.0,backfill: pre-2018 from maintainer google sheet
2012-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,76120.0,backfill: pre-2018 from maintainer google sheet
2012-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,30918.0,backfill: pre-2018 from maintainer google sheet
2012-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,32996.0,backfill: pre-2018 from maintainer google sheet
2012-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,31952.0,backfill: pre-2018 from maintainer google sheet
2012-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,25775.0,backfill: pre-2018 from maintainer google sheet
2012-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,30270.0,backfill: pre-2018 from maintainer google sheet
2012-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,69.0,361.0,,,,,,18214.0,backfill: pre-2018 from maintainer google sheet
2013-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,47957.0,backfill: pre-2018 from maintainer google sheet
2013-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,31901.0,backfill: pre-2018 from maintainer google sheet
2013-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,35559.0,backfill: pre-2018 from maintainer google sheet
2013-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,30407.0,backfill: pre-2018 from maintainer google sheet
2013-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,30084.0,backfill: pre-2018 from maintainer google sheet
2013-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,35044.0,backfill: pre-2018 from maintainer google sheet
2013-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,30474.0,backfill: pre-2018 from maintainer google sheet
2013-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,28307.0,backfill: pre-2018 from maintainer google sheet
2013-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,31394.0,backfill: pre-2018 from maintainer google sheet
2013-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,36321.0,backfill: pre-2018 from maintainer google sheet
2013-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,50536.0,backfill: pre-2018 from maintainer google sheet
2013-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,260.0,1639.0,,,,,,39163.0,backfill: pre-2018 from maintainer google sheet
2014-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,51129.0,backfill: pre-2018 from maintainer google sheet
2014-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,38462.0,backfill: pre-2018 from maintainer google sheet
2014-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,35454.0,backfill: pre-2018 from maintainer google sheet
2014-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,33743.0,backfill: pre-2018 from maintainer google sheet
2014-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,36367.0,backfill: pre-2018 from maintainer google sheet
2014-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,38467.0,backfill: pre-2018 from maintainer google sheet
2014-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,34765.0,backfill: pre-2018 from maintainer google sheet
2014-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,29920.0,backfill: pre-2018 from maintainer google sheet
2014-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,35634.0,backfill: pre-2018 from maintainer google sheet
2014-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,40844.0,backfill: pre-2018 from maintainer google sheet
2014-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,37870.0,backfill: pre-2018 from maintainer google sheet
2014-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,270.0,3078.0,,,,,,40417.0,backfill: pre-2018 from maintainer google sheet
2015-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,47946.0,backfill: pre-2018 from maintainer google sheet
2015-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,33944.0,backfill: pre-2018 from maintainer google sheet
2015-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,29030.0,backfill: pre-2018 from maintainer google sheet
2015-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,27148.0,backfill: pre-2018 from maintainer google sheet
2015-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,28049.0,backfill: pre-2018 from maintainer google sheet
2015-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,36999.0,backfill: pre-2018 from maintainer google sheet
2015-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,33908.0,backfill: pre-2018 from maintainer google sheet
2015-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,31225.0,backfill: pre-2018 from maintainer google sheet
2015-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,35277.0,backfill: pre-2018 from maintainer google sheet
2015-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,39006.0,backfill: pre-2018 from maintainer google sheet
2015-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,40516.0,backfill: pre-2018 from maintainer google sheet
2015-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,316.0,3263.0,,,,,,69159.0,backfill: pre-2018 from maintainer google sheet
2016-01,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,40776.0,backfill: pre-2018 from maintainer google sheet
2016-02,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,28408.0,backfill: pre-2018 from maintainer google sheet
2016-03,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,29869.0,backfill: pre-2018 from maintainer google sheet
2016-04,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,27783.0,backfill: pre-2018 from maintainer google sheet
2016-05,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,29083.0,backfill: pre-2018 from maintainer google sheet
2016-06,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,39241.0,backfill: pre-2018 from maintainer google sheet
2016-07,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,31050.0,backfill: pre-2018 from maintainer google sheet
2016-08,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,27110.0,backfill: pre-2018 from maintainer google sheet
2016-09,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,33545.0,backfill: pre-2018 from maintainer google sheet
2016-10,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,30179.0,backfill: pre-2018 from maintainer google sheet
2016-11,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,32271.0,backfill: pre-2018 from maintainer google sheet
2016-12,monthly,Whole,duurzamemobiliteit.databank.nl (RDW) — pre-2018 via maintainer sheet,335.0,1565.0,,,,,,35723.0,backfill: pre-2018 from maintainer google sheet
