period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2018-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,1696.0,,9.0,1705.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,1.0,,0.0,1513.0,,12.0,1528.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),3.0,0.0,,0.0,1668.0,,12.0,1683.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,1342.0,,4.0,1348.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),11.0,0.0,,0.0,1413.0,,32.0,1456.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,2.0,,0.0,1286.0,,16.0,1304.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,1212.0,,18.0,1230.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,0.0,,0.0,960.0,,16.0,980.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),1.0,0.0,,0.0,1156.0,,9.0,1166.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,1335.0,,36.0,1371.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,1.0,,0.0,1095.0,,17.0,1117.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2018-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,716.0,,10.0,728.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,1.0,,1.0,1954.0,,41.0,2001.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,1.0,,0.0,1307.0,,29.0,1339.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),3.0,1.0,,0.0,1469.0,,36.0,1509.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,1545.0,,24.0,1571.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,0.0,,1.0,1653.0,,21.0,1679.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,0.0,,0.0,1856.0,,27.0,1887.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),1.0,1.0,,0.0,693.0,,4.0,699.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,837.0,,19.0,856.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,0.0,973.0,,13.0,991.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,1043.0,,10.0,1053.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,811.0,,10.0,821.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2019-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,597.0,,22.0,619.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,0.0,1475.0,,23.0,1503.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,0.0,1023.0,,14.0,1042.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),1.0,1.0,,0.0,1100.0,,33.0,1135.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,0.0,740.0,,34.0,774.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),3.0,1.0,,0.0,543.0,,20.0,567.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,0.0,,0.0,642.0,,9.0,655.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,685.0,,18.0,705.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,0.0,,1.0,643.0,,18.0,662.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),1.0,0.0,,2.0,921.0,,33.0,957.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),0.0,1.0,,0.0,897.0,,23.0,921.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,736.0,,34.0,772.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2020-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,0.0,507.0,,28.0,540.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),6.0,0.0,,0.0,1282.0,,52.0,1340.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),3.0,0.0,,0.0,944.0,,55.0,1002.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,1.0,,0.0,1137.0,,55.0,1195.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),2.0,0.0,,0.0,990.0,,56.0,1048.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,1.0,,0.0,900.0,,53.0,958.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,1.0,998.0,,54.0,1058.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),3.0,2.0,,0.0,915.0,,32.0,952.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),6.0,0.0,,0.0,580.0,,23.0,609.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),12.0,0.0,,0.0,781.0,,20.0,813.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),7.0,0.0,,0.0,890.0,,20.0,917.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),5.0,0.0,,0.0,904.0,,38.0,947.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2021-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),10.0,2.0,,0.0,587.0,,19.0,618.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,1.0,,0.0,1367.0,,56.0,1428.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),1.0,0.0,,0.0,905.0,,32.0,938.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),7.0,1.0,,1.0,1299.0,,23.0,1331.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),4.0,0.0,,0.0,1010.0,,25.0,1039.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),7.0,3.0,,0.0,1035.0,,16.0,1061.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),9.0,0.0,,0.0,1124.0,,26.0,1159.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),11.0,1.0,,0.0,934.0,,15.0,961.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),12.0,0.0,,0.0,759.0,,10.0,781.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),9.0,1.0,,0.0,1068.0,,4.0,1082.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),10.0,1.0,,0.0,1177.0,,10.0,1198.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),18.0,0.0,,0.0,1241.0,,6.0,1265.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2022-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),9.0,0.0,,0.0,567.0,,8.0,584.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),33.0,3.0,,0.0,1513.0,,6.0,1555.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),24.0,1.0,,1.0,1200.0,,0.0,1226.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-03,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),31.0,0.0,,0.0,1508.0,,2.0,1541.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-04,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),26.0,2.0,,0.0,1109.0,,2.0,1139.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-05,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),36.0,2.0,,0.0,1176.0,,5.0,1219.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-06,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),35.0,2.0,,0.0,1222.0,,6.0,1265.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-07,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),47.0,1.0,,0.0,1254.0,,5.0,1307.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-08,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),46.0,8.0,,0.0,1851.0,,2.0,1907.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-09,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),21.0,0.0,,0.0,786.0,,5.0,812.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-10,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),35.0,0.0,,0.0,1057.0,,3.0,1095.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-11,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),39.0,2.0,,0.0,1109.0,,4.0,1154.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2023-12,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),35.0,4.0,,0.0,736.0,,4.0,779.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2024-01,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),48.0,3.0,,0.0,1554.0,,3.0,1608.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
2024-02,monthly,HDV,duurzamemobiliteit.databank.nl (RDW),38.0,2.0,,0.0,1161.0,,3.0,1204.0,workspace_guid=992eb09a-0828-4ef9-97b4-1577ebba3a21
