period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2012-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,72.0,13677.0,2398.0,0.0,16149.0,
2012-02,monthly,Whole,https://www.transport.govt.nz/statistics-and-insights/fleet-statistics/light-motor-vehicle-registrations/,5.0,0.0,113.0,11451.0,2674.0,0.0,14243.0,
2012-03,monthly,Whole,only Light passenger vehicles and light commercial vehicles,6.0,0.0,221.0,12500.0,3228.0,0.0,15955.0,
2012-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,0.0,0.0,217.0,10775.0,2725.0,0.0,13717.0,
2012-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,181.0,12208.0,3680.0,0.0,16071.0,
2012-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,9.0,0.0,114.0,12490.0,4385.0,0.0,16998.0,
2012-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,139.0,12176.0,3467.0,0.0,15784.0,
2012-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,3.0,0.0,101.0,12076.0,3511.0,0.0,15691.0,
2012-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,4.0,1.0,83.0,12646.0,3147.0,0.0,15881.0,
2012-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,4.0,0.0,141.0,13982.0,3222.0,0.0,17349.0,
2012-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,3.0,4.0,108.0,13276.0,3627.0,0.0,17018.0,
2012-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1.0,0.0,190.0,13188.0,2629.0,0.0,16008.0,
2013-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,168.0,14220.0,3551.0,0.0,17941.0,
2013-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,8.0,0.0,161.0,12452.0,3501.0,0.0,16122.0,
2013-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,9.0,1.0,142.0,14077.0,4199.0,0.0,18428.0,
2013-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,0.0,0.0,121.0,12846.0,3690.0,0.0,16657.0,
2013-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,7.0,0.0,153.0,14097.0,4443.0,0.0,18700.0,
2013-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,1.0,126.0,14399.0,5105.0,0.0,19633.0,
2013-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,153.0,15982.0,4083.0,0.0,20220.0,
2013-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,0.0,167.0,15071.0,4118.0,0.0,19358.0,
2013-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,3.0,1.0,147.0,14666.0,4168.0,0.0,18985.0,
2013-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,8.0,3.0,150.0,16443.0,4158.0,0.0,20762.0,
2013-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,5.0,0.0,149.0,16743.0,4489.0,0.0,21386.0,
2013-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,6.0,0.0,124.0,16273.0,3542.0,0.0,19945.0,
2014-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,5.0,3.0,162.0,17585.0,3907.0,10.0,21672.0,
2014-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2.0,11.0,138.0,15589.0,4099.0,18.0,19857.0,
2014-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,13.0,30.0,192.0,17976.0,4871.0,12.0,23094.0,
2014-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,7.0,37.0,137.0,15451.0,3899.0,7.0,19538.0,
2014-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,17.0,25.0,175.0,17692.0,4947.0,1.0,22857.0,
2014-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,4.0,20.0,172.0,18542.0,5800.0,2.0,24540.0,
2014-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,17.0,11.0,170.0,18874.0,4674.0,7.0,23753.0,
2014-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,14.0,10.0,135.0,18146.0,4520.0,19.0,22844.0,
2014-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,7.0,20.0,151.0,19586.0,5013.0,11.0,24788.0,
2014-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,10.0,17.0,189.0,20077.0,4649.0,0.0,24942.0,
2014-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,18.0,15.0,155.0,19516.0,4703.0,10.0,24417.0,
2014-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,12.0,17.0,137.0,19724.0,4006.0,4.0,23900.0,
2015-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,18.0,24.0,238.0,20811.0,4202.0,6.0,25299.0,
2015-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,18.0,13.0,165.0,17698.0,4310.0,10.0,22214.0,
2015-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,12.0,47.0,189.0,20540.0,5360.0,7.0,26155.0,
2015-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,20.0,14.0,194.0,17224.0,4466.0,14.0,21932.0,
2015-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,40.0,15.0,183.0,19077.0,4861.0,4.0,24180.0,
2015-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,46.0,22.0,255.0,20800.0,5864.0,8.0,26995.0,
2015-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,29.0,19.0,284.0,20796.0,4792.0,6.0,25926.0,
2015-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,14.0,17.0,202.0,19544.0,5006.0,2.0,24785.0,
2015-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,21.0,24.0,249.0,20263.0,5386.0,3.0,25946.0,
2015-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,26.0,15.0,239.0,20825.0,4613.0,0.0,25718.0,
2015-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,27.0,19.0,265.0,19648.0,5218.0,3.0,25180.0,
2015-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,45.0,11.0,272.0,19647.0,4795.0,1.0,24771.0,
2016-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,43.0,15.0,283.0,19088.0,4327.0,2.0,23758.0,
2016-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,22.0,14.0,253.0,17732.0,4298.0,1.0,22320.0,
2016-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,43.0,30.0,326.0,19086.0,5038.0,1.0,24524.0,
2016-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,54.0,40.0,295.0,17652.0,4360.0,0.0,22401.0,
2016-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,56.0,28.0,330.0,18753.0,4846.0,2.0,24015.0,
2016-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,147.0,48.0,358.0,19371.0,6045.0,2.0,25971.0,
2016-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,109.0,44.0,426.0,19355.0,4991.0,2.0,24927.0,
2016-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,80.0,45.0,399.0,20201.0,5217.0,0.0,25942.0,
2016-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,73.0,44.0,417.0,20538.0,5578.0,0.0,26650.0,
2016-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,105.0,60.0,336.0,21807.0,5449.0,4.0,27761.0,
2016-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,183.0,40.0,475.0,20580.0,5688.0,1.0,26967.0,
2016-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,158.0,27.0,385.0,19771.0,4562.0,4.0,24907.0,
2017-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,168.0,39.0,502.0,21281.0,5122.0,0.0,27112.0,
2017-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,191.0,38.0,473.0,18620.0,5101.0,1.0,24424.0,
2017-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,146.0,63.0,673.0,21643.0,6220.0,0.0,28745.0,
2017-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,143.0,43.0,500.0,17801.0,4966.0,0.0,23453.0,
2017-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,227.0,59.0,585.0,20747.0,6280.0,2.0,27900.0,
2017-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,230.0,78.0,446.0,21193.0,7723.0,0.0,29670.0,
2017-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,231.0,60.0,367.0,20412.0,5283.0,1.0,26354.0,
2017-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,267.0,76.0,475.0,21150.0,5878.0,0.0,27846.0,
2017-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,261.0,74.0,441.0,21556.0,6113.0,2.0,28447.0,
2017-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,371.0,64.0,575.0,23177.0,5835.0,0.0,30022.0,
2017-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,389.0,89.0,601.0,22742.0,6078.0,0.0,29899.0,
2017-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,292.0,89.0,676.0,20288.0,4627.0,2.0,25974.0,
2018-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,343.0,74.0,618.0,22221.0,5616.0,2.0,28874.0,
2018-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,203.0,86.0,538.0,17718.0,5305.0,3.0,23853.0,
2018-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,234.0,104.0,665.0,18751.0,6316.0,1.0,26071.0,
2018-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,299.0,79.0,686.0,15921.0,4499.0,0.0,21484.0,
2018-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,436.0,140.0,862.0,19909.0,6500.0,2.0,27849.0,
2018-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,416.0,106.0,805.0,19575.0,7025.0,1.0,27928.0,
2018-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,400.0,161.0,915.0,19524.0,5342.0,2.0,26344.0,
2018-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,392.0,117.0,951.0,19637.0,5762.0,2.0,26861.0,
2018-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,394.0,115.0,820.0,18534.0,5758.0,3.0,25624.0,
2018-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,535.0,118.0,1076.0,21005.0,6304.0,1.0,29039.0,
2018-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,383.0,116.0,1008.0,18030.0,6176.0,3.0,25716.0,
2018-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,303.0,69.0,968.0,16548.0,4595.0,0.0,22483.0,
2019-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,356.0,101.0,1125.0,18673.0,5467.0,2.0,25724.0,
2019-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,367.0,171.0,1004.0,16314.0,5262.0,3.0,23121.0,
2019-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,354.0,125.0,1125.0,17612.0,6108.0,1.0,25325.0,
2019-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,370.0,117.0,1418.0,15035.0,4754.0,3.0,21697.0,
2019-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,421.0,159.0,1546.0,16834.0,5636.0,1.0,24597.0,
2019-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,512.0,137.0,1424.0,16588.0,6662.0,1.0,25324.0,
2019-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,429.0,149.0,1713.0,17578.0,5001.0,4.0,24874.0,
2019-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,468.0,147.0,1713.0,17795.0,4998.0,2.0,25123.0,
2019-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,819.0,196.0,1726.0,18243.0,5248.0,3.0,26235.0,
2019-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,441.0,165.0,2074.0,18551.0,5558.0,1.0,26790.0,
2019-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,405.0,159.0,1942.0,17731.0,5514.0,1.0,25752.0,
2019-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,408.0,108.0,2030.0,16396.0,4191.0,1.0,23134.0,
2020-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,428.0,173.0,2149.0,17026.0,5208.0,1.0,24985.0,
2020-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,380.0,176.0,1977.0,15368.0,4567.0,1.0,22469.0,
2020-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,360.0,115.0,1688.0,11392.0,3422.0,0.0,16977.0,
2020-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,28.0,4.0,99.0,1171.0,325.0,0.0,1627.0,
2020-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,209.0,109.0,1818.0,12429.0,3501.0,1.0,18067.0,
2020-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,352.0,119.0,2068.0,16154.0,5109.0,0.0,23802.0,
2020-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,326.0,162.0,2675.0,16244.0,5144.0,2.0,24553.0,
2020-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,323.0,142.0,2339.0,12706.0,4286.0,1.0,19797.0,
2020-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,473.0,133.0,2461.0,14245.0,4118.0,0.0,21430.0,
2020-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,298.0,142.0,2455.0,14328.0,4491.0,1.0,21715.0,
2020-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,419.0,150.0,2811.0,13373.0,4690.0,1.0,21444.0,
2020-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,388.0,110.0,2434.0,11285.0,3461.0,4.0,17682.0,
2021-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,473.0,160.0,2944.0,14296.0,5313.0,1.0,23187.0,
2021-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,376.0,152.0,2624.0,13758.0,4580.0,0.0,21490.0,
2021-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,691.0,221.0,3127.0,16123.0,6090.0,1.0,26253.0,
2021-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,417.0,194.0,3108.0,14303.0,5107.0,0.0,23129.0,
2021-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,503.0,206.0,3469.0,16035.0,5441.0,1.0,25655.0,
2021-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,413.0,99.0,3464.0,16397.0,5833.0,0.0,26206.0,
2021-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1294.0,645.0,3878.0,16228.0,5970.0,0.0,28015.0,
2021-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,490.0,160.0,2332.0,8290.0,2510.0,0.0,13782.0,
2021-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1659.0,617.0,2789.0,13167.0,5435.0,1.0,23668.0,
2021-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,735.0,331.0,3697.0,14200.0,5509.0,0.0,24472.0,
2021-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1194.0,560.0,3930.0,15728.0,6003.0,2.0,27417.0,
2021-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1344.0,277.0,3428.0,11877.0,4881.0,0.0,21807.0,
2022-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,675.0,303.0,3117.0,13962.0,5455.0,1.0,23513.0,
2022-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1012.0,505.0,3139.0,12907.0,5699.0,8.0,23270.0,
2022-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2323.0,636.0,2470.0,28869.0,12253.0,2.0,46553.0,
2022-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,874.0,1226.0,5384.0,7086.0,1277.0,0.0,15847.0,
2022-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1039.0,927.0,4551.0,9952.0,3273.0,0.0,19742.0,
2022-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,918.0,947.0,4420.0,9532.0,3192.0,0.0,19009.0,
2022-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,955.0,870.0,5433.0,8613.0,3075.0,0.0,18946.0,
2022-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2878.0,813.0,4896.0,9494.0,4130.0,1.0,22212.0,
2022-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2631.0,665.0,4690.0,9607.0,4223.0,1.0,21817.0,
2022-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1336.0,1118.0,5347.0,9572.0,4144.0,0.0,21517.0,
2022-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2774.0,734.0,4671.0,9371.0,4733.0,0.0,22283.0,
2022-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2466.0,552.0,4212.0,7686.0,3691.0,0.0,18607.0,
2023-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1432.0,648.0,5276.0,8285.0,3744.0,1.0,19386.0,
2023-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,942.0,509.0,4788.0,7365.0,3389.0,1.0,16994.0,
2023-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,3073.0,737.0,7166.0,9641.0,4648.0,1.0,25266.0,
2023-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1298.0,754.0,5683.0,6811.0,3335.0,1.0,17882.0,
2023-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1522.0,961.0,7238.0,8853.0,4144.0,1.0,22719.0,
2023-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2925.0,1555.0,11032.0,17463.0,7396.0,1.0,40372.0,
2023-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1098.0,577.0,4975.0,4014.0,1535.0,0.0,12199.0,
2023-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1261.0,981.0,7349.0,5877.0,2586.0,1.0,18055.0,
2023-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2540.0,996.0,7215.0,6020.0,2564.0,0.0,19335.0,
2023-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,2610.0,1166.0,8421.0,7000.0,3022.0,1.0,22220.0,
2023-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,3201.0,1466.0,8932.0,7124.0,2862.0,0.0,23585.0,
2023-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,4456.0,1611.0,10821.0,4442.0,854.0,1.0,22185.0,
2024-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,295.0,308.0,6317.0,9580.0,4854.0,1.0,21355.0,
2024-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,483.0,268.0,6040.0,7688.0,3807.0,2.0,18288.0,
2024-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,605.0,354.0,7024.0,8268.0,4046.0,0.0,20297.0,
2024-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,368.0,299.0,6736.0,7388.0,2928.0,1.0,17720.0,
2024-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,515.0,277.0,6604.0,8001.0,3387.0,0.0,18784.0,
2024-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,621.0,319.0,5971.0,7020.0,3040.0,0.0,16971.0,
2024-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,631.0,332.0,6460.0,8028.0,2747.0,1.0,18199.0,
2024-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,657.0,317.0,6500.0,7634.0,2759.0,1.0,17868.0,
2024-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,955.0,493.0,6836.0,7518.0,2899.0,0.0,18701.0,
2024-10,monthly,Whole,transport.govt.nz & Prof. Ray Willis,732.0,400.0,7036.0,8429.0,2906.0,0.0,19503.0,
2024-11,monthly,Whole,transport.govt.nz & Prof. Ray Willis,778.0,441.0,7517.0,6816.0,3094.0,0.0,18646.0,
2024-12,monthly,Whole,transport.govt.nz & Prof. Ray Willis,958.0,765.0,6233.0,6448.0,2895.0,17.0,17316.0,
2025-01,monthly,Whole,transport.govt.nz & Prof. Ray Willis,721.0,539.0,6565.0,7743.0,2477.0,0.0,18045.0,
2025-02,monthly,Whole,transport.govt.nz & Prof. Ray Willis,702.0,732.0,6087.0,6452.0,2483.0,0.0,16456.0,
2025-03,monthly,Whole,transport.govt.nz & Prof. Ray Willis,758.0,533.0,7074.0,7506.0,3176.0,0.0,19047.0,
2025-04,monthly,Whole,transport.govt.nz & Prof. Ray Willis,602.0,367.0,5788.0,6031.0,2305.0,0.0,15093.0,
2025-05,monthly,Whole,transport.govt.nz & Prof. Ray Willis,634.0,431.0,6536.0,6586.0,3101.0,0.0,17288.0,
2025-06,monthly,Whole,transport.govt.nz & Prof. Ray Willis,1189.0,979.0,6664.0,6620.0,2966.0,0.0,18418.0,
2025-07,monthly,Whole,transport.govt.nz & Prof. Ray Willis,762.0,846.0,7658.0,6778.0,3382.0,0.0,19426.0,
2025-08,monthly,Whole,transport.govt.nz & Prof. Ray Willis,648.0,582.0,7513.0,6726.0,3373.0,1.0,18843.0,
2025-09,monthly,Whole,transport.govt.nz & Prof. Ray Willis,814.0,606.0,8152.0,7738.0,3444.0,0.0,20754.0,
