period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2005-01,monthly,Whole,ofv.no & ACEA,2.0,0.0,0.0,4971.0,2839.0,0.0,7812.0,
2005-02,monthly,Whole,https://ofv.no/bilsalget/bilsalget-i-august-2025,0.0,0.0,0.0,5670.0,3235.0,0.0,8905.0,
2005-03,monthly,Whole,ofv.no & ACEA,1.0,0.0,0.0,6462.0,3808.0,0.0,10271.0,
2005-04,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,6421.0,4482.0,0.0,10903.0,
2005-05,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,6274.0,4294.0,0.0,10568.0,
2005-06,monthly,Whole,ofv.no & ACEA,1.0,0.0,0.0,6205.0,4601.0,0.0,10807.0,
2005-07,monthly,Whole,ofv.no & ACEA,1.0,0.0,0.0,6071.0,4492.0,0.0,10564.0,
2005-08,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,5284.0,4063.0,0.0,9347.0,
2005-09,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,5074.0,4618.0,0.0,9692.0,
2005-10,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4890.0,4722.0,0.0,9612.0,
2005-11,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4657.0,5339.0,0.0,9996.0,
2005-12,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4978.0,5849.0,0.0,10827.0,
2006-01,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,3543.0,4568.0,0.0,8111.0,
2006-02,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,3990.0,4183.0,0.0,8173.0,
2006-03,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,5107.0,5688.0,0.0,10795.0,
2006-04,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4310.0,4832.0,0.0,9142.0,
2006-05,monthly,Whole,ofv.no & ACEA,2.0,0.0,0.0,5259.0,6197.0,0.0,11458.0,
2006-06,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4797.0,5783.0,0.0,10580.0,
2006-07,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,5035.0,5972.0,0.0,11007.0,
2006-08,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4355.0,5204.0,0.0,9559.0,
2006-09,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,4379.0,5300.0,0.0,9679.0,
2006-10,monthly,Whole,ofv.no & ACEA,5.0,0.0,0.0,4471.0,5001.0,0.0,9477.0,
2006-11,monthly,Whole,ofv.no & ACEA,2.0,0.0,0.0,4656.0,5008.0,0.0,9666.0,
2006-12,monthly,Whole,ofv.no & ACEA,4.0,0.0,0.0,6466.0,6704.0,1.0,13175.0,
2007-01,monthly,Whole,ofv.no & ACEA,2.0,0.0,0.0,2591.0,10372.0,1.0,12966.0,
2007-02,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2564.0,7799.0,0.0,10363.0,
2007-03,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,3293.0,8874.0,0.0,12167.0,
2007-04,monthly,Whole,ofv.no & ACEA,1.0,0.0,0.0,2734.0,6803.0,0.0,9538.0,
2007-05,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,3477.0,9483.0,1.0,12961.0,
2007-06,monthly,Whole,ofv.no & ACEA,0.0,0.0,1.0,2764.0,9078.0,7.0,11850.0,
2007-07,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2846.0,9971.0,1.0,12818.0,
2007-08,monthly,Whole,ofv.no & ACEA,2.0,0.0,0.0,2827.0,8649.0,1.0,11479.0,
2007-09,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2312.0,7650.0,0.0,9962.0,
2007-10,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2668.0,9732.0,0.0,12400.0,
2007-11,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2771.0,8370.0,0.0,11141.0,
2007-12,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2166.0,8049.0,0.0,10215.0,
2008-01,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2628.0,7571.0,0.0,10199.0,
2008-02,monthly,Whole,ofv.no & ACEA,4.0,0.0,0.0,2608.0,8470.0,0.0,11082.0,
2008-03,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2563.0,7592.0,0.0,10155.0,
2008-04,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,3140.0,9378.0,0.0,12518.0,
2008-05,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2623.0,8253.0,0.0,10876.0,
2008-06,monthly,Whole,ofv.no & ACEA,5.0,0.0,0.0,2538.0,7809.0,1.0,10353.0,
2008-07,monthly,Whole,ofv.no & ACEA,48.0,0.0,0.0,2831.0,7344.0,1.0,10224.0,
2008-08,monthly,Whole,ofv.no & ACEA,33.0,0.0,1.0,2345.0,5914.0,0.0,8293.0,
2008-09,monthly,Whole,ofv.no & ACEA,0.0,0.0,1.0,2480.0,6412.0,0.0,8893.0,
2008-10,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2602.0,6142.0,0.0,8744.0,
2008-11,monthly,Whole,ofv.no & ACEA,10.0,0.0,0.0,1903.0,5360.0,-1.0,7272.0,
2008-12,monthly,Whole,ofv.no & ACEA,65.0,0.0,0.0,1889.0,6279.0,0.0,8233.0,
2009-01,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,1729.0,3776.0,0.0,5505.0,
2009-02,monthly,Whole,ofv.no & ACEA,28.0,0.0,0.0,1851.0,4614.0,2.0,6495.0,
2009-03,monthly,Whole,ofv.no & ACEA,27.0,0.0,0.0,2221.0,5703.0,0.0,7951.0,
2009-04,monthly,Whole,ofv.no & ACEA,14.0,0.0,1.0,2191.0,5646.0,0.0,7852.0,
2009-05,monthly,Whole,ofv.no & ACEA,0.0,0.0,0.0,2055.0,5768.0,0.0,7823.0,
2009-06,monthly,Whole,ofv.no & ACEA,5.0,0.0,0.0,2013.0,6001.0,0.0,8019.0,
2009-07,monthly,Whole,ofv.no & ACEA,6.0,0.0,0.0,2425.0,7334.0,0.0,9765.0,
2009-08,monthly,Whole,ofv.no & ACEA,7.0,0.0,0.0,2457.0,5769.0,0.0,8233.0,
2009-09,monthly,Whole,ofv.no & ACEA,4.0,0.0,0.0,2804.0,6973.0,0.0,9781.0,
2009-10,monthly,Whole,ofv.no & ACEA,8.0,0.0,0.0,2724.0,7699.0,1.0,10432.0,
2009-11,monthly,Whole,ofv.no & ACEA,6.0,0.0,1.0,2251.0,7538.0,1.0,9797.0,
2009-12,monthly,Whole,ofv.no & ACEA,5.0,0.0,0.0,1898.0,8658.0,0.0,10561.0,
2010-01,monthly,Whole,ofv.no & ACEA,0.0,0.0,8.0,2696.0,7137.0,1.0,9842.0,
2010-02,monthly,Whole,ofv.no & ACEA,0.0,0.0,6.0,2327.0,6948.0,0.0,9281.0,
2010-03,monthly,Whole,ofv.no & ACEA,39.0,0.0,14.0,2882.0,9067.0,0.0,12002.0,
2010-04,monthly,Whole,ofv.no & ACEA,40.0,0.0,21.0,2819.0,8309.0,1.0,11190.0,
2010-05,monthly,Whole,ofv.no & ACEA,38.0,0.0,16.0,2619.0,7753.0,0.0,10426.0,
2010-06,monthly,Whole,ofv.no & ACEA,17.0,0.0,19.0,2735.0,8870.0,0.0,11641.0,
2010-07,monthly,Whole,ofv.no & ACEA,11.0,0.0,11.0,2698.0,9270.0,0.0,11990.0,
2010-08,monthly,Whole,ofv.no & ACEA,55.0,0.0,20.0,2654.0,8014.0,0.0,10743.0,
2010-09,monthly,Whole,ofv.no & ACEA,46.0,0.0,11.0,2798.0,8608.0,4.0,11467.0,
2010-10,monthly,Whole,ofv.no & ACEA,38.0,0.0,4.0,2406.0,8443.0,0.0,10891.0,
2010-11,monthly,Whole,ofv.no & ACEA,29.0,0.0,6.0,2596.0,9446.0,0.0,12077.0,
2010-12,monthly,Whole,ofv.no & ACEA,25.0,0.0,9.0,2110.0,8291.0,3.0,10438.0,
