period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2011-01,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,24528.0,
2011-02,quarterly,Whole,https://www.pzpm.org.pl/en/Electromobility/eRegistrations,3.583333333,0.0,0.0,,,,23458.0,
2011-03,quarterly,Whole,https://www.pzpm.org.pl/en/Automotive-market/FIRST-REGISTRATIONS-PZPM-CEP/Passenger-Cars-Light-Commercial-Vehicles/Year-2026/Registrations-of-PC-and-LCV-in-March-2026,3.583333333,0.0,0.0,,,,28396.0,
2011-04,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,24350.0,
2011-05,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,24422.0,
2011-06,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,26138.0,
2011-07,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,23288.0,
2011-08,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,19340.0,
2011-09,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,24318.0,
2011-10,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,24883.0,
2011-11,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,26595.0,
2011-12,quarterly,Whole,ACEA / PZPM,3.583333333,0.0,0.0,,,,28221.0,
2012-01,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,24057.0,
2012-02,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,23732.0,
2012-03,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,29349.0,
2012-04,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,23602.0,
2012-05,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,23684.0,
2012-06,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,23157.0,
2012-07,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,20681.0,
2012-08,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,17976.0,
2012-09,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,18727.0,
2012-10,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,22048.0,
2012-11,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,23062.0,
2012-12,quarterly,Whole,ACEA / PZPM,3.666666667,0.0,0.0,,,,20820.0,
2013-01,quarterly,Whole,ACEA / PZPM,2.583333333,0.0,0.0,,,,26188.0,
2013-02,quarterly,Whole,ACEA / PZPM,2.583333333,0.0,0.0,,,,24072.0,
2013-03,quarterly,Whole,ACEA / PZPM,2.583333333,0.0,0.0,,,,25374.0,
