period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2026-04,monthly,Buses,PZPM,145.0,,31.0,,201.0,11.0,388.0,
2026-05,monthly,Buses,PZPM,146.0,,11.0,,223.0,9.0,389.0,
2026-06,monthly,Buses,PZPM,234.0,,17.0,,188.0,42.0,481.0,
2026-07,monthly,Buses,PZPM,127.0,,55.0,,157.0,26.0,365.0,
2026-08,monthly,Buses,PZPM,130.0,,59.0,,180.0,15.0,384.0,
2021-07,yearly,Buses,ACEA,,,,,,,1362.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,1156.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,35.0,,17.0,0.0,223.0,20.0,295.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Buses,ACEA,68.0,,32.0,0.0,189.0,35.0,324.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,49.0,,34.0,0.0,322.0,28.0,433.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,Buses,ACEA,33.0,,-3.0,0.0,232.0,13.0,275.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,45.0,,17.0,0.0,421.0,15.0,498.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
