period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2010-01,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,14558.0,
2010-02,monthly,Whole,https://www.acap.pt/pt/estatisticas/dados,2.0,0.0,0.0,,,,,15358.0,
2010-03,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,23836.0,
2010-04,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,16219.0,
2010-05,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,19250.0,
2010-06,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,26029.0,
2010-07,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,20299.0,
2010-08,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,11932.0,
2010-09,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,13918.0,
2010-10,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,15341.0,
2010-11,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,18606.0,
2010-12,monthly,Whole,ACAP,2.0,0.0,0.0,,,,,28118.0,
2011-01,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,13221.0,
2011-02,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,13426.0,
2011-03,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,18930.0,
2011-04,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,14418.0,
2011-05,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,14714.0,
2011-06,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,17150.0,
2011-07,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,14269.0,
2011-08,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,8131.0,
2011-09,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,9205.0,
2011-10,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,9137.0,
2011-11,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,9555.0,
2011-12,monthly,Whole,ACAP,17.0,0.0,0.0,,,,,11248.0,
2012-01,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,6959.0,
2012-02,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,6902.0,
2012-03,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,9643.0,
2012-04,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,8400.0,
2012-05,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,10668.0,
2012-06,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,10803.0,
2012-07,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,9256.0,
2012-08,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,5442.0,
2012-09,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,6357.0,
2012-10,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,7387.0,
2012-11,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,7133.0,
2012-12,monthly,Whole,ACAP,5.0,3.0,3.0,,,,,6359.0,
2013-01,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,7021.0,
2013-02,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,7517.0,
2013-03,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,9624.0,
2013-04,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,8042.0,
2013-05,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,10093.0,
2013-06,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,12735.0,
2013-07,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,10843.0,
2013-08,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,6141.0,
2013-09,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,7369.0,
2013-10,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,9092.0,
2013-11,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,8810.0,
2013-12,monthly,Whole,ACAP,14.0,1.0,1.0,,,,,8634.0,
2014-01,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,9261.0,
2014-02,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,10547.0,
2014-03,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,14152.0,
2014-04,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,12314.0,
2014-05,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,13782.0,
2014-06,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,15735.0,
2014-07,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,14169.0,
2014-08,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,7741.0,
2014-09,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,9707.0,
2014-10,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,11795.0,
2014-11,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,11719.0,
2014-12,monthly,Whole,ACAP,17.0,8.0,9.0,,,,,11904.0,
2015-01,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,11840.0,
2015-02,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,14307.0,
2015-03,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,20081.0,
2015-04,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,15016.0,
2015-05,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,18345.0,
2015-06,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,21072.0,
2015-07,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,15545.0,
2015-08,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,9437.0,
2015-09,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,12623.0,
2015-10,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,13719.0,
2015-11,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,13376.0,
2015-12,monthly,Whole,ACAP,58.0,41.0,47.0,,,,,13142.0,
2016-01,monthly,Whole,ACAP,52.0,85.0,97.0,,,,,13940.0,
2016-02,monthly,Whole,ACAP,52.0,85.0,97.0,,,,,18029.0,
2016-03,monthly,Whole,ACAP,52.0,85.0,97.0,,,,,26459.0,
2016-04,monthly,Whole,ACAP,60.0,85.0,97.0,,,,,15978.0,
2016-05,monthly,Whole,ACAP,60.0,85.0,97.0,,,,,20851.0,
2016-06,monthly,Whole,ACAP,60.0,85.0,97.0,,,,,23369.0,
2016-07,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,15632.0,
2016-08,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,10708.0,
2016-09,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,13960.0,
2016-10,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,14933.0,
2016-11,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,16483.0,
2016-12,monthly,Whole,ACAP,80.0,85.0,97.0,,,,,16988.0,
2017-01,monthly,Whole,ACAP,22.0,129.0,338.0,,,,,15028.0,
2017-02,monthly,Whole,ACAP,22.0,129.0,338.0,,,,,18861.0,
2017-03,monthly,Whole,ACAP,22.0,129.0,338.0,,,,,25980.0,
2017-04,monthly,Whole,ACAP,120.0,178.0,386.0,,,,,18830.0,
2017-05,monthly,Whole,ACAP,120.0,178.0,386.0,,,,,23653.0,
2017-06,monthly,Whole,ACAP,120.0,178.0,386.0,,,,,24834.0,
2017-07,monthly,Whole,ACAP,22.0,250.0,286.0,,,,,17572.0,
2017-08,monthly,Whole,ACAP,120.0,229.0,263.0,,,,,11937.0,
2017-09,monthly,Whole,ACAP,120.0,213.0,244.0,,,,,14857.0,
2017-10,monthly,Whole,ACAP,120.0,199.0,228.0,,,,,15898.0,
2017-11,monthly,Whole,ACAP,22.0,195.0,224.0,,,,,17626.0,
2017-12,monthly,Whole,ACAP,120.0,193.0,221.0,,,,,17053.0,
2018-01,monthly,Whole,ACAP,187.0,295.0,338.0,8438.0,11379.0,,197.0,14509.0,
2018-02,monthly,Whole,ACAP,220.0,218.0,250.0,8438.0,11379.0,,197.0,20812.0,
2018-03,monthly,Whole,ACAP,343.0,279.0,320.0,8438.0,11379.0,,197.0,27908.0,
2018-04,monthly,Whole,ACAP,465.0,314.0,360.0,9889.0,12319.0,,175.0,21481.0,
2018-05,monthly,Whole,ACAP,387.0,351.0,403.0,9889.0,12319.0,,175.0,23634.0,
2018-06,monthly,Whole,ACAP,372.0,351.0,403.0,9889.0,12319.0,,175.0,26217.0,
2018-07,monthly,Whole,ACAP,331.0,265.0,304.0,6019.0,8734.0,,82.0,19987.0,
2018-08,monthly,Whole,ACAP,315.0,287.0,329.0,6019.0,8734.0,,82.0,15361.0,
2018-09,monthly,Whole,ACAP,424.0,342.0,392.0,6019.0,8734.0,,82.0,12786.0,
2018-10,monthly,Whole,ACAP,457.0,319.0,366.0,5769.0,7895.0,,180.0,13951.0,
2018-11,monthly,Whole,ACAP,608.0,395.0,453.0,5769.0,7895.0,,180.0,15500.0,
2018-12,monthly,Whole,ACAP,375.0,350.0,401.0,5769.0,7895.0,,180.0,16181.0,
2019-01,monthly,Whole,ACAP,652.0,275.0,315.0,9846.0,8120.0,,187.0,15684.0,
2019-02,monthly,Whole,ACAP,529.0,317.0,364.0,9846.0,8120.0,,187.0,18861.0,
2019-03,monthly,Whole,ACAP,943.0,340.0,390.0,9846.0,8120.0,,187.0,24900.0,
