period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-06,yearly,Whole,ACEA,187.0,0.0,0.0,196675.0,113019.0,71.0,309952.0,
2011-06,yearly,Whole,ACEA,270.0,0.0,0.0,108107.0,68085.0,93.0,176555.0,
2012-06,yearly,Whole,ACEA,168.0,0.0,0.0,31968.0,34637.0,16.0,66789.0,
2013-06,yearly,Whole,ACEA,247.0,0.0,0.0,25617.0,31481.0,355.0,57700.0,
2014-06,yearly,Whole,ACEA,254.0,0.0,0.0,29362.0,39774.0,785.0,70175.0,
2015-06,yearly,Whole,ACEA,479.0,0.0,0.0,35101.0,44861.0,734.0,81175.0,
2016-06,yearly,Whole,ACEA,69.0,0.0,1060.0,44422.0,48591.0,1039.0,95181.0,
2017-06,yearly,Whole,ACEA,232.0,0.0,2089.0,49664.0,53979.0,909.0,106873.0,
2018-01,quarterly,Whole,ACEA,41.0,23.0,248.08333333333334,5989.416667,4436.583333,172.0,10910.08333,
2018-02,quarterly,Whole,ACEA,78.0,33.0,248.08333333333334,5989.416667,4436.583333,125.0,10910.08333,
2018-03,quarterly,Whole,ACEA,36.0,17.0,248.08333333333334,5989.416667,4436.583333,183.0,10910.08333,
2018-04,quarterly,Whole,ACEA,21.0,7.0,248.08333333333334,5989.416667,4436.583333,208.0,10910.08333,
2018-05,quarterly,Whole,ACEA,28.0,6.0,248.08333333333334,5989.416667,4436.583333,202.0,10910.08333,
2018-06,quarterly,Whole,ACEA,57.0,35.0,248.08333333333334,5989.416667,4436.583333,144.0,10910.08333,
2018-07,quarterly,Whole,ACEA,36.0,16.0,248.08333333333334,5989.416667,4436.583333,184.0,10910.08333,
2018-08,quarterly,Whole,ACEA,36.0,3.0,248.08333333333334,5989.416667,4436.583333,197.0,10910.08333,
2018-09,quarterly,Whole,ACEA,41.0,5.0,248.08333333333334,5989.416667,4436.583333,190.0,10910.08333,
2018-10,quarterly,Whole,ACEA,31.0,1.0,248.08333333333334,5989.416667,4436.583333,204.0,10910.08333,
2018-11,quarterly,Whole,ACEA,32.0,21.0,248.08333333333334,5989.416667,4436.583333,183.0,10910.08333,
2018-12,quarterly,Whole,ACEA,67.0,21.0,248.08333333333334,5989.416667,4436.583333,148.0,10910.08333,
2019-01,quarterly,Whole,ACEA,101.0,14.0,622.25,8984.166667,3613.75,128.5,13463.66667,
2019-02,quarterly,Whole,ACEA,59.0,12.0,622.25,8984.166667,3613.75,172.5,13463.66667,
2019-03,quarterly,Whole,ACEA,82.0,16.0,622.25,8984.166667,3613.75,145.5,13463.66667,
2019-04,quarterly,Whole,ACEA,43.0,28.0,622.25,8984.166667,3613.75,172.5,13463.66667,
