period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2016-01,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6644.0,321.0,107.0,7072.833333333333,
2016-02,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,5379.0,270.0,85.0,5734.833333333333,
2016-03,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6637.0,318.0,151.0,7106.833333333333,
2016-04,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6693.0,362.0,133.0,7188.833333333333,
2016-05,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,7700.0,359.0,153.0,8212.833333333334,
2016-06,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,7437.0,447.0,227.0,8111.833333333333,
2016-07,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6301.0,421.0,192.0,6914.833333333333,
2016-08,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6502.0,317.0,312.0,7131.833333333333,
2016-09,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,7024.0,410.0,510.0,7944.833333333333,
2016-10,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6663.0,367.0,779.0,7809.833333333333,
2016-11,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6064.0,529.0,901.0,7494.833333333333,
2016-12,yearly,Whole,lta.gov.sg,0.8333333333333334,0.0,0.0,6017.0,314.0,458.0,6789.833333333333,
2017-01,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,6208.0,528.0,803.0,7563.833333333333,
2017-02,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5404.0,360.0,395.0,6183.833333333333,
2017-03,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,7361.0,488.0,768.0,8641.833333333334,
2017-04,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5864.0,396.0,540.0,6824.833333333333,
2017-05,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,7222.0,406.0,790.0,8442.833333333334,
2017-06,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,6733.0,506.0,1011.0,8274.833333333334,
2017-07,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5743.0,466.0,1324.0,7557.833333333333,
2017-08,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5937.0,415.0,1372.0,7748.833333333333,
2017-09,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5064.0,294.0,551.0,5933.833333333333,
2017-10,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,5860.0,346.0,952.0,7182.833333333333,
2017-11,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,6251.0,465.0,967.0,7707.833333333333,
2017-12,yearly,Whole,lta.gov.sg,24.833333333333332,0.0,0.0,7406.0,589.0,2137.0,10156.833333333334,
2018-01,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,5373.0,71.0,134.0,5596.333333333333,
2018-02,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,4863.0,92.0,263.0,5236.333333333333,
2018-03,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,6476.0,188.0,337.0,7019.333333333333,
2018-04,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,6077.0,268.0,631.0,6994.333333333333,
2018-05,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,6524.0,186.0,710.0,7438.333333333333,
2018-06,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,8525.0,334.0,1605.0,10482.333333333334,
2018-07,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,4587.0,314.0,373.0,5292.333333333333,
2018-08,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,5337.0,107.0,497.0,5959.333333333333,
2018-09,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,5370.0,133.0,674.0,6195.333333333333,
2018-10,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,5831.0,84.0,844.0,6777.333333333333,
2018-11,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,6008.0,139.0,622.0,6787.333333333333,
2018-12,yearly,Whole,lta.gov.sg,18.333333333333332,0.0,0.0,5655.0,179.0,870.0,6722.333333333333,
2019-01,monthly,Whole,lta.gov.sg,23.916666666666664,0.0,0.0,6922.0,140.0,1195.0,8280.916666666666,
2020-01,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,4193.0,58.0,778.0,5030.916666666667,
2020-02,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,3870.0,67.0,732.0,4670.916666666667,
2020-03,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,4038.0,119.0,844.0,5002.916666666667,
2020-04,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,543.0,18.0,121.0,683.9166666666666,
2020-05,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,28.0,3.0,17.0,49.916666666666664,
2020-06,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,904.0,14.0,146.0,1065.9166666666667,
2020-07,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2883.0,23.0,399.0,3306.9166666666665,
2020-08,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2842.0,23.0,352.0,3218.9166666666665,
2020-09,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2485.0,11.0,360.0,2857.9166666666665,
2020-10,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2689.0,22.0,560.0,3272.9166666666665,
2020-11,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2669.0,29.0,442.0,3141.9166666666665,
2020-12,quarterly,Whole,lta.gov.sg,1.9166666666666667,0.0,0.0,2215.0,39.0,326.0,2581.9166666666665,
2021-01,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,3631.0,80.0,1573.0,5371.75,
2021-02,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2631.0,62.0,955.0,3735.75,
2021-03,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,3263.0,51.0,1286.0,4687.75,
2021-04,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2730.0,48.0,1272.0,4137.75,
2021-05,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2585.0,46.0,1135.0,3853.75,
2021-06,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,3068.0,51.0,1310.0,4516.75,
2021-07,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2130.0,42.0,1274.0,3533.75,
2021-08,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2149.0,32.0,1324.0,3592.75,
2021-09,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,2234.0,17.0,1650.0,3988.75,
2021-10,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1811.0,26.0,1109.0,3033.75,
2021-11,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1690.0,35.0,1240.0,3052.75,
2021-12,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1685.0,51.0,1166.0,2989.75,
2022-01,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1739.0,62.0,1163.0,3051.75,
2022-02,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1269.0,27.0,975.0,2358.75,
2022-03,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1334.0,35.0,1258.0,2714.75,
2022-04,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1145.0,45.0,1311.0,2588.75,
2022-05,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1456.0,29.0,1462.0,3034.75,
2022-06,monthly,Whole,lta.gov.sg,87.75,0.0,0.0,1386.0,115.0,1756.0,3344.75,
2022-07,monthly,Whole,lta.gov.sg,297.0,14.0,1037.0,1125.0,56.0,0.0,2529.0,
2022-08,monthly,Whole,lta.gov.sg,275.0,22.0,797.0,1256.0,24.0,0.0,2374.0,
2022-09,monthly,Whole,lta.gov.sg,434.0,9.0,777.0,1128.0,9.0,0.0,2357.0,
2022-10,monthly,Whole,lta.gov.sg,386.0,22.0,1019.0,963.0,6.0,0.0,2396.0,
2022-11,monthly,Whole,lta.gov.sg,345.0,22.0,930.0,1007.0,5.0,0.0,2309.0,
2022-12,monthly,Whole,lta.gov.sg,302.8333333333333,0.0,0.0,1009.0,22.0,1376.0,2709.8333333333335,
2023-01,monthly,Whole,lta.gov.sg,278.0,11.0,776.0,813.0,10.0,0.0,1888.0,
2023-02,monthly,Whole,lta.gov.sg,241.0,19.0,918.0,905.0,53.0,0.0,2136.0,
2023-03,monthly,Whole,lta.gov.sg,291.0,21.0,1010.0,1138.0,9.0,0.0,2469.0,
2023-04,monthly,Whole,lta.gov.sg,303.0,29.0,865.0,972.0,16.0,0.0,2185.0,
2023-05,monthly,Whole,lta.gov.sg,348.0,46.0,972.0,827.0,21.0,0.0,2214.0,
2023-06,monthly,Whole,lta.gov.sg,431.0,20.0,945.0,926.0,10.0,0.0,2332.0,
2023-07,monthly,Whole,lta.gov.sg,486.0,18.0,1091.0,784.0,3.0,0.0,2382.0,
2023-08,monthly,Whole,lta.gov.sg,588.0,17.0,1140.0,796.0,0.0,0.0,2541.0,
2023-09,monthly,Whole,lta.gov.sg,549.0,13.0,1122.0,727.0,0.0,0.0,2411.0,
2023-10,monthly,Whole,lta.gov.sg,431.0,26.0,1154.0,740.0,1.0,0.0,2352.0,
2023-11,monthly,Whole,lta.gov.sg,560.0,21.0,1299.0,641.0,20.0,0.0,2541.0,
2023-12,monthly,Whole,lta.gov.sg,962.0,25.0,2573.0,1192.0,22.0,0.0,4774.0,
2024-01,monthly,Whole,lta.gov.sg,635.0,11.0,1091.0,501.0,2.0,0.0,2240.0,
2024-02,monthly,Whole,lta.gov.sg,758.0,5.0,1136.0,514.0,1.0,0.0,2414.0,
2024-03,monthly,Whole,lta.gov.sg,1192.0,23.0,1714.0,579.0,0.0,0.0,3508.0,
2024-04,monthly,Whole,lta.gov.sg,1197.0,28.0,1562.0,663.0,2.0,0.0,3452.0,
2024-05,monthly,Whole,lta.gov.sg,1037.0,12.0,1587.0,551.0,1.0,0.0,3188.0,
2024-06,monthly,Whole,lta.gov.sg,1200.0,17.0,1833.0,723.0,1.0,0.0,3774.0,
2024-07,monthly,Whole,lta.gov.sg,1197.0,22.0,1964.0,732.0,2.0,0.0,3917.0,
2024-08,monthly,Whole,lta.gov.sg,1411.0,22.0,1756.0,759.0,1.0,0.0,3949.0,
2024-09,monthly,Whole,lta.gov.sg,1314.0,15.0,2077.0,717.0,2.0,0.0,4125.0,
2024-10,monthly,Whole,lta.gov.sg,1184.0,16.0,1596.0,608.0,3.0,0.0,3407.0,
2024-11,monthly,Whole,lta.gov.sg,1309.0,13.0,1641.0,643.0,0.0,0.0,3606.0,
2024-12,monthly,Whole,lta.gov.sg,2014.0,26.0,2701.0,674.0,27.0,0.0,5442.0,
2025-01,monthly,Whole,lta.gov.sg,1037.0,27.0,1205.0,433.0,1.0,0.0,2703.0,
2025-02,monthly,Whole,lta.gov.sg,1668.0,32.0,1485.0,692.0,1.0,0.0,3878.0,
2025-03,monthly,Whole,lta.gov.sg,1678.0,46.0,1862.0,747.0,0.0,0.0,4333.0,
2025-04,monthly,Whole,lta.gov.sg,1564.0,25.0,1677.0,683.0,0.0,0.0,3949.0,
2025-05,monthly,Whole,lta.gov.sg,1890.0,29.0,1896.0,640.0,0.0,0.0,4455.0,
2025-06,monthly,Whole,lta.gov.sg,1985.0,56.0,1920.0,678.0,0.0,0.0,4639.0,
2025-07,monthly,Whole,lta.gov.sg,2065.0,69.0,1793.0,699.0,0.0,0.0,4626.0,
2025-08,monthly,Whole,lta.gov.sg,2055.0,172.0,1804.0,618.0,1.0,0.0,4650.0,
2025-09,monthly,Whole,lta.gov.sg,2336.0,134.0,1521.0,713.0,0.0,0.0,4704.0,
2025-10,monthly,Whole,lta.gov.sg,2081.0,92.0,1351.0,432.0,0.0,0.0,3956.0,
2025-11,monthly,Whole,lta.gov.sg,2232.0,93.0,1601.0,469.0,0.0,0.0,4395.0,
2025-12,monthly,Whole,lta.gov.sg,3093.0,143.0,2320.0,834.0,0.0,0.0,6390.0,
2026-01,monthly,Whole,lta.gov.sg,2355.0,106.0,1548.0,257.0,0.0,0.0,4266.0,
2026-02,monthly,Whole,lta.gov.sg,2237.0,75.0,1369.0,326.0,0.0,0.0,4007.0,
2026-03,monthly,Whole,lta.gov.sg,3087.0,84.0,1583.0,295.0,0.0,0.0,5049.0,
2026-04,monthly,Whole,lta.gov.sg,2982.0,97.0,1243.0,230.0,1.0,,4553.0,
2026-05,monthly,Whole,lta.gov.sg,2930.0,121.0,1230.0,196.0,1.0,,4478.0,
