period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-01,quarterly,Whole,ACEA,18.0,0.0,183.0,5093.0,3802.0,81.0,9178.0,
2018-02,quarterly,Whole,ACEA,18.0,0.0,183.0,5093.0,3802.0,81.0,9178.0,
2018-03,quarterly,Whole,ACEA,18.0,0.0,183.0,5093.0,3802.0,81.0,9178.0,
2018-04,quarterly,Whole,ACEA,51.0,0.0,218.3333333,6149.333333,2705.333333,58.66666667,9182.666667,
2018-05,quarterly,Whole,ACEA,51.0,0.0,218.3333333,6149.333333,2705.333333,58.66666667,9182.666667,
2018-06,quarterly,Whole,ACEA,51.0,0.0,218.3333333,6149.333333,2705.333333,58.66666667,9182.666667,
2018-07,quarterly,Whole,ACEA,6.333333333,0.0,208.6666667,5562.333333,2105.0,61.0,7943.333333,
2018-08,quarterly,Whole,ACEA,6.333333333,0.0,208.6666667,5562.333333,2105.0,61.0,7943.333333,
2018-09,quarterly,Whole,ACEA,6.333333333,0.0,208.6666667,5562.333333,2105.0,61.0,7943.333333,
2018-10,quarterly,Whole,ACEA,23.66666667,0.0,201.3333333,4982.0,2205.0,41.0,7453.0,
2018-11,quarterly,Whole,ACEA,23.66666667,0.0,201.3333333,4982.0,2205.0,41.0,7453.0,
2018-12,quarterly,Whole,ACEA,23.66666667,0.0,201.3333333,4982.0,2205.0,41.0,7453.0,
2019-01,quarterly,Whole,ACEA,18.0,17.33333333,195.6666667,5534.666667,2148.0,52.0,7965.666667,
2019-02,quarterly,Whole,ACEA,18.0,17.33333333,195.6666667,5534.666667,2148.0,52.0,7965.666667,
2019-03,quarterly,Whole,ACEA,18.0,17.33333333,195.6666667,5534.666667,2148.0,52.0,7965.666667,
2019-04,quarterly,Whole,ACEA,13.0,0.0,346.0,6748.0,2243.0,29.0,9381.0,
2019-05,quarterly,Whole,ACEA,13.0,0.0,346.0,6747.0,2241.0,29.0,9378.0,
2019-06,quarterly,Whole,ACEA,13.0,0.0,346.0,6747.0,2241.0,29.0,9378.0,
2019-07,quarterly,Whole,ACEA,9.0,0.0,355.0,5747.0,1964.0,21.0,8097.0,
2019-08,quarterly,Whole,ACEA,9.0,0.0,355.0,5747.0,1964.0,21.0,8097.0,
2019-09,quarterly,Whole,ACEA,9.0,0.0,355.0,5747.0,1964.0,21.0,8097.0,
2019-10,quarterly,Whole,ACEA,14.0,0.0,538.0,5637.0,2147.0,27.0,8364.0,
2019-11,quarterly,Whole,ACEA,14.0,0.0,538.0,5637.0,2147.0,27.0,8364.0,
2019-12,quarterly,Whole,ACEA,14.0,0.0,538.0,5637.0,2147.0,27.0,8364.0,
2020-01,quarterly,Whole,ACEA,56.0,52.0,444.0,4070.0,1662.0,37.0,6323.0,
2020-02,quarterly,Whole,ACEA,55.0,52.0,444.0,4070.0,1662.0,37.0,6322.0,
2020-03,quarterly,Whole,ACEA,55.0,52.0,444.0,4070.0,1662.0,37.0,6322.0,
2020-04,quarterly,Whole,ACEA,54.0,49.33333333,420.0,3236.666667,1183.666667,72.66666667,5016.333333,
