period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-07,yearly,Buses,ACEA,,,,,,,529.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2022-07,yearly,Buses,ACEA,,,,,,,394.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,158.0,0.0,158.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2022-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,98.0,0.0,98.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,115.0,0.0,115.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,58.0,0.0,58.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,69.0,0.0,69.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2024-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,92.0,0.0,92.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_H1-2024.pdf
2024-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,12.0,0.0,12.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2023-08,quarterly,Buses,ACEA,4.0,,0.0,0.0,193.0,4.0,201.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q3_2024.pdf
2022-08,quarterly,Buses,ACEA,1.0,,0.0,0.0,77.0,43.0,121.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Buses,ACEA,7.0,,0.0,0.0,305.0,7.0,319.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,117.0,0.0,117.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2024-11,quarterly,Buses,ACEA,0.0,,0.0,0.0,79.0,0.0,79.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2024.pdf
2025-02,quarterly,Buses,ACEA,0.0,,0.0,0.0,36.0,0.0,36.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Buses,ACEA,0.0,,0.0,0.0,45.0,0.0,45.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Buses,ACEA,0.0,,0.0,0.0,26.0,0.0,26.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
