period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-06,yearly,Whole,ACEA,123.0,20.52020353,1060.964083,29038.0,31031.0,240.0,72710.0,
2016-06,yearly,Whole,ACEA,151.0,37.47545645,215.4797965,31429.0,32589.0,299.0,53367.0,
2017-06,yearly,Whole,ACEA,297.0,101.0359174,393.5245435,38229.0,32410.0,379.0,53428.0,
2018-01,monthly,Whole,ACEA,29.0,26.0,0.0,,,,6958.0,
2018-02,monthly,Whole,ACEA,26.0,21.0,1.460594839,,,,5726.0,
2018-03,monthly,Whole,ACEA,55.0,30.0,2.086564055,,,,8003.0,
2018-04,monthly,Whole,ACEA,81.0,9.0,0.6259692165,,,,6827.0,
2018-05,monthly,Whole,ACEA,37.0,23.0,1.599699109,,,,7554.0,
2018-06,monthly,Whole,ACEA,33.0,30.0,2.086564055,,,,7580.0,
2018-07,monthly,Whole,ACEA,32.0,14.0,0.9737298924,,,,6407.0,
2018-08,monthly,Whole,ACEA,24.0,18.0,1.251938433,,,,5784.0,
2018-09,monthly,Whole,ACEA,50.0,8.0,0.5564170814,,,,5001.0,
2018-10,monthly,Whole,ACEA,49.0,10.0,0.6955213517,,,,5647.0,
2018-11,monthly,Whole,ACEA,35.0,18.0,1.251938433,,,,5324.0,
2018-12,monthly,Whole,ACEA,29.0,9.0,0.6259692165,,,,3707.0,
2019-01,monthly,Whole,ACEA,24.0,10.0,0.6955213517,,,,6760.0,
2019-02,monthly,Whole,ACEA,25.0,13.0,0.9041777572,,,,6162.0,
2019-03,monthly,Whole,ACEA,86.0,8.0,0.5564170814,,,,7266.0,
2019-04,monthly,Whole,ACEA,55.0,5.0,0.3477606758,,,,6350.0,
2019-05,monthly,Whole,ACEA,28.0,8.0,0.5564170814,,,,7422.0,
2019-06,monthly,Whole,ACEA,72.0,4.0,0.2782085407,,,,6927.0,
2019-07,monthly,Whole,ACEA,34.0,1.0,0.06955213517,,,,5929.0,
2019-08,monthly,Whole,ACEA,24.0,4.0,0.2782085407,,,,5011.0,
2019-09,monthly,Whole,ACEA,55.0,7.0,0.4868649462,,,,5273.0,
2019-10,monthly,Whole,ACEA,93.0,14.0,0.9737298924,,,,5958.0,
2019-11,monthly,Whole,ACEA,70.0,6.0,0.417312811,,,,5202.0,
2019-12,monthly,Whole,ACEA,13.0,4.0,0.2782085407,,,,4450.0,
2020-01,monthly,Whole,ACEA,116.0,8.0,0.5564170814,,,,6196.0,
2020-02,monthly,Whole,ACEA,167.0,5.0,0.3477606758,,,,5524.0,
2020-03,monthly,Whole,ACEA,105.0,5.0,0.3477606758,,,,2717.0,
2020-04,monthly,Whole,ACEA,80.0,5.0,0.3477606758,,,,1830.0,
2020-05,monthly,Whole,ACEA,101.0,7.0,0.4868649462,,,,5065.0,
2020-06,monthly,Whole,ACEA,135.0,24.0,1.669251244,,,,6499.0,
2020-07,monthly,Whole,ACEA,144.0,3.0,0.2086564055,,,,6360.0,
2020-08,monthly,Whole,ACEA,69.0,11.0,0.7650734869,,,,4341.0,
2020-09,monthly,Whole,ACEA,165.0,15.0,1.043282028,,,,4418.0,
2020-10,monthly,Whole,ACEA,212.0,12.0,0.834625622,,,,4526.0,
2020-11,monthly,Whole,ACEA,135.0,8.0,0.5564170814,,,,3549.0,
2020-12,monthly,Whole,ACEA,238.0,15.0,1.043282028,,,,2342.0,
2021-01,monthly,Whole,ACEA,59.0,10.0,0.6955213517,,,,4371.0,
2021-02,monthly,Whole,ACEA,110.0,15.0,1.043282028,,,,4826.0,
2021-03,monthly,Whole,ACEA,167.0,11.0,0.7650734869,,,,7029.0,
2021-04,monthly,Whole,ACEA,96.0,12.0,0.834625622,,,,4211.0,
2021-05,monthly,Whole,ACEA,121.0,29.0,2.01701192,,,,5237.0,
2021-06,monthly,Whole,ACEA,139.0,38.0,2.642981136,,,,5128.0,
2021-07,monthly,Whole,ACEA,93.0,30.0,2.086564055,,,,4372.0,
2021-08,monthly,Whole,ACEA,154.0,22.0,1.530146974,,,,3529.0,
2021-09,monthly,Whole,ACEA,170.0,39.0,2.712533272,,,,4060.0,
2021-10,monthly,Whole,ACEA,237.0,37.0,2.573429001,,,,4168.0,
2021-11,monthly,Whole,ACEA,228.0,18.0,1.251938433,,,,4007.0,
2021-12,monthly,Whole,ACEA,114.0,23.0,1.599699109,,,,2490.0,
2022-01,monthly,Whole,ACEA,140.0,51.0,600.0,2687.0,768.0,74.0,4320.0,
2022-02,monthly,Whole,ACEA,145.0,62.0,434.0,2521.0,609.0,42.0,3813.0,
2022-03,monthly,Whole,ACEA,256.0,59.0,569.0,2850.0,838.0,55.0,4627.0,
2022-04,monthly,Whole,ACEA,113.0,29.0,503.0,2453.0,762.0,58.0,3918.0,
2022-05,monthly,Whole,ACEA,159.0,39.0,601.0,2986.0,953.0,62.0,4800.0,
2022-06,monthly,Whole,ACEA,238.0,39.0,645.0,2429.0,926.0,116.0,4393.0,
2022-07,monthly,Whole,ACEA,135.0,53.0,436.0,2325.0,782.0,65.0,3796.0,
2022-08,monthly,Whole,ACEA,163.0,39.0,514.0,1973.0,573.0,77.0,3339.0,
2022-09,monthly,Whole,ACEA,293.0,69.0,582.0,2033.0,750.0,49.0,3776.0,
2022-10,monthly,Whole,ACEA,192.0,49.0,487.0,1950.0,734.0,21.0,3433.0,
2022-11,monthly,Whole,ACEA,221.0,63.0,507.0,2075.0,731.0,36.0,3633.0,
2022-12,monthly,Whole,ACEA,229.0,29.0,223.0,1511.0,489.0,44.0,2525.0,
2023-01,monthly,Whole,ACEA,316.0,73.0,723.0,2587.0,673.0,63.0,4435.0,
2023-02,monthly,Whole,ACEA,265.0,70.0,488.0,2247.0,619.0,65.0,3754.0,
2023-03,monthly,Whole,ACEA,565.0,119.0,763.0,2866.0,912.0,46.0,5271.0,
2023-04,monthly,Whole,ACEA,307.0,99.0,651.0,2366.0,867.0,48.0,4338.0,
2023-05,monthly,Whole,ACEA,383.0,102.0,730.0,2741.0,865.0,32.0,4853.0,
2023-06,monthly,Whole,ACEA,328.0,135.0,588.0,2733.0,846.0,39.0,4669.0,
2023-07,monthly,Whole,ACEA,276.0,100.0,552.0,2051.0,728.0,69.0,3776.0,
2023-08,monthly,Whole,ACEA,385.0,73.0,449.0,1751.0,552.0,30.0,3240.0,
2023-09,monthly,Whole,ACEA,350.0,109.0,682.0,2271.0,597.0,42.0,4051.0,
2023-10,monthly,Whole,ACEA,396.0,95.0,593.0,2134.0,636.0,27.0,3881.0,
