period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,monthly,Whole,ACEA / DGT / asierlizarraga,46.0,13.0,,538.0,21536.0,47515.0,200.0,69848.0,
2015-02,monthly,Whole,ACEA / DGT / asierlizarraga,29.0,24.0,,423.0,30162.0,57904.0,155.0,88697.0,
2015-03,monthly,Whole,ACEA / DGT / asierlizarraga,131.0,26.0,,537.0,41274.0,72821.0,306.0,115095.0,
2015-04,monthly,Whole,ACEA / DGT / asierlizarraga,55.0,50.0,,522.0,30337.0,53846.0,374.0,85184.0,
2015-05,monthly,Whole,ACEA / DGT / asierlizarraga,49.0,64.0,,510.0,35286.0,60574.0,318.0,96801.0,
2015-06,monthly,Whole,ACEA / DGT / asierlizarraga,62.0,57.0,,698.0,41465.0,71973.0,327.0,114582.0,
2015-07,monthly,Whole,ACEA / DGT / asierlizarraga,88.0,95.0,,984.0,37834.0,67333.0,256.0,106590.0,
2015-08,monthly,Whole,ACEA / DGT / asierlizarraga,65.0,39.0,,670.0,20043.0,37432.0,233.0,58482.0,
2015-09,monthly,Whole,ACEA / DGT / asierlizarraga,76.0,117.0,,793.0,24971.0,48019.0,236.0,74212.0,
2015-10,monthly,Whole,DGT,370.0,88.0,0.0,540.0,31012.0,51218.0,177.0,83405.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,Whole,DGT,262.0,59.0,0.0,85.0,31786.0,52214.0,158.0,84564.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,Whole,DGT,114.0,72.0,1.0,1434.0,32615.0,57641.0,150.0,92027.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,Whole,DGT,98.0,91.0,13.0,2116.0,27511.0,49307.0,192.0,79328.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,Whole,DGT,103.0,77.0,9.0,2042.0,39797.0,58713.0,185.0,100926.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,Whole,DGT,240.0,198.0,16.0,2098.0,45530.0,67847.0,317.0,116246.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
