period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,2-Wheelers,DGT,55.0,0.0,0.0,0.0,12150.0,0.0,2.0,12207.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,2-Wheelers,DGT,81.0,0.0,0.0,0.0,9578.0,0.0,2.0,9661.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,2-Wheelers,DGT,51.0,0.0,0.0,1.0,9790.0,0.0,0.0,9842.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,2-Wheelers,DGT,69.0,0.0,0.0,0.0,9545.0,3.0,0.0,9617.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,2-Wheelers,DGT,124.0,0.0,1.0,0.0,9899.0,0.0,2.0,10026.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,2-Wheelers,DGT,219.0,0.0,0.0,0.0,11786.0,2.0,1.0,12008.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,2-Wheelers,DGT,95.0,0.0,0.0,0.0,14370.0,2.0,1.0,14468.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,2-Wheelers,DGT,167.0,0.0,0.0,0.0,15314.0,2.0,1.0,15484.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,2-Wheelers,DGT,159.0,0.0,0.0,0.0,19007.0,7.0,4.0,19177.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,2-Wheelers,DGT,120.0,0.0,0.0,0.0,17832.0,5.0,9.0,17966.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,2-Wheelers,DGT,20.0,0.0,1.0,0.0,12267.0,11.0,5.0,12304.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,2-Wheelers,DGT,75.0,0.0,0.0,1.0,16193.0,12.0,4.0,16285.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,2-Wheelers,DGT,75.0,0.0,0.0,0.0,13605.0,12.0,4.0,13696.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,2-Wheelers,DGT,96.0,0.0,0.0,0.0,13152.0,12.0,2.0,13262.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,2-Wheelers,DGT,191.0,0.0,0.0,0.0,16959.0,22.0,4.0,17176.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,2-Wheelers,DGT,113.0,0.0,0.0,0.0,8075.0,19.0,4.0,8211.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,2-Wheelers,DGT,160.0,0.0,0.0,0.0,8100.0,17.0,3.0,8280.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,2-Wheelers,DGT,156.0,0.0,0.0,0.0,12380.0,15.0,1.0,12552.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
2017-04,monthly,2-Wheelers,DGT,483.0,0.0,0.0,0.0,12278.0,15.0,0.0,12776.0,https://www.dgt.es/microdatos/salida/2017/4/vehiculos/matriculaciones/export_mensual_mat_201704.zip
2017-05,monthly,2-Wheelers,DGT,192.0,0.0,0.0,0.0,15882.0,15.0,1.0,16090.0,https://www.dgt.es/microdatos/salida/2017/5/vehiculos/matriculaciones/export_mensual_mat_201705.zip
2017-06,monthly,2-Wheelers,DGT,123.0,0.0,0.0,0.0,18676.0,23.0,2.0,18824.0,https://www.dgt.es/microdatos/salida/2017/6/vehiculos/matriculaciones/export_mensual_mat_201706.zip
2017-07,monthly,2-Wheelers,DGT,615.0,0.0,1.0,0.0,16907.0,16.0,1.0,17540.0,https://www.dgt.es/microdatos/salida/2017/7/vehiculos/matriculaciones/export_mensual_mat_201707.zip
2017-08,monthly,2-Wheelers,DGT,368.0,0.0,0.0,0.0,11964.0,15.0,0.0,12347.0,https://www.dgt.es/microdatos/salida/2017/8/vehiculos/matriculaciones/export_mensual_mat_201708.zip
2017-09,monthly,2-Wheelers,DGT,386.0,0.0,0.0,0.0,14086.0,16.0,0.0,14488.0,https://www.dgt.es/microdatos/salida/2017/9/vehiculos/matriculaciones/export_mensual_mat_201709.zip
2017-10,monthly,2-Wheelers,DGT,579.0,0.0,0.0,0.0,13691.0,22.0,1.0,14293.0,https://www.dgt.es/microdatos/salida/2017/10/vehiculos/matriculaciones/export_mensual_mat_201710.zip
2017-11,monthly,2-Wheelers,DGT,645.0,0.0,0.0,0.0,12625.0,24.0,4.0,13298.0,https://www.dgt.es/microdatos/salida/2017/11/vehiculos/matriculaciones/export_mensual_mat_201711.zip
2017-12,monthly,2-Wheelers,DGT,500.0,0.0,0.0,0.0,10455.0,14.0,0.0,10969.0,https://www.dgt.es/microdatos/salida/2017/12/vehiculos/matriculaciones/export_mensual_mat_201712.zip
2018-01,monthly,2-Wheelers,DGT,745.0,0.0,0.0,0.0,10920.0,30.0,0.0,11695.0,https://www.dgt.es/microdatos/salida/2018/1/vehiculos/matriculaciones/export_mensual_mat_201801.zip
2018-02,monthly,2-Wheelers,DGT,269.0,0.0,0.0,0.0,9693.0,17.0,1.0,9980.0,https://www.dgt.es/microdatos/salida/2018/2/vehiculos/matriculaciones/export_mensual_mat_201802.zip
2018-03,monthly,2-Wheelers,DGT,886.0,0.0,0.0,0.0,11881.0,32.0,2.0,12801.0,https://www.dgt.es/microdatos/salida/2018/3/vehiculos/matriculaciones/export_mensual_mat_201803.zip
2018-04,monthly,2-Wheelers,DGT,392.0,0.0,0.0,0.0,13961.0,32.0,0.0,14385.0,https://www.dgt.es/microdatos/salida/2018/4/vehiculos/matriculaciones/export_mensual_mat_201804.zip
2018-05,monthly,2-Wheelers,DGT,542.0,0.0,0.0,0.0,17676.0,32.0,2.0,18252.0,https://www.dgt.es/microdatos/salida/2018/5/vehiculos/matriculaciones/export_mensual_mat_201805.zip
2018-06,monthly,2-Wheelers,DGT,842.0,0.0,0.0,0.0,18112.0,38.0,3.0,18995.0,https://www.dgt.es/microdatos/salida/2018/6/vehiculos/matriculaciones/export_mensual_mat_201806.zip
