period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,Buses,DGT,0.0,0.0,0.0,4.0,0.0,224.0,2.0,230.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,Buses,DGT,0.0,0.0,0.0,0.0,0.0,174.0,1.0,175.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,Buses,DGT,14.0,2.0,0.0,15.0,0.0,175.0,42.0,248.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,Buses,DGT,1.0,2.0,0.0,0.0,0.0,292.0,0.0,295.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,Buses,DGT,2.0,0.0,0.0,0.0,0.0,218.0,0.0,220.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,Buses,DGT,0.0,0.0,0.0,0.0,0.0,310.0,0.0,310.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,Buses,DGT,0.0,0.0,0.0,0.0,0.0,234.0,0.0,234.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,Buses,DGT,2.0,0.0,0.0,0.0,1.0,263.0,14.0,280.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,Buses,DGT,1.0,0.0,0.0,1.0,0.0,230.0,5.0,237.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,Buses,DGT,6.0,0.0,0.0,6.0,1.0,170.0,1.0,184.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,Buses,DGT,0.0,0.0,0.0,14.0,0.0,121.0,7.0,142.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,Buses,DGT,1.0,0.0,0.0,13.0,1.0,661.0,7.0,683.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,Buses,DGT,0.0,5.0,0.0,0.0,0.0,241.0,18.0,264.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,Buses,DGT,0.0,0.0,0.0,16.0,1.0,220.0,78.0,315.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,Buses,DGT,3.0,0.0,1.0,53.0,0.0,214.0,132.0,403.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,Buses,DGT,0.0,0.0,0.0,19.0,1.0,252.0,0.0,272.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,Buses,DGT,0.0,0.0,0.0,0.0,2.0,222.0,4.0,228.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,Buses,DGT,1.0,0.0,0.0,2.0,0.0,321.0,6.0,330.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
2017-04,monthly,Buses,DGT,0.0,0.0,0.0,2.0,2.0,365.0,0.0,369.0,https://www.dgt.es/microdatos/salida/2017/4/vehiculos/matriculaciones/export_mensual_mat_201704.zip
2017-05,monthly,Buses,DGT,0.0,0.0,0.0,1.0,2.0,315.0,6.0,324.0,https://www.dgt.es/microdatos/salida/2017/5/vehiculos/matriculaciones/export_mensual_mat_201705.zip
2017-06,monthly,Buses,DGT,6.0,0.0,0.0,7.0,0.0,277.0,15.0,305.0,https://www.dgt.es/microdatos/salida/2017/6/vehiculos/matriculaciones/export_mensual_mat_201706.zip
2017-07,monthly,Buses,DGT,0.0,0.0,0.0,14.0,0.0,189.0,19.0,222.0,https://www.dgt.es/microdatos/salida/2017/7/vehiculos/matriculaciones/export_mensual_mat_201707.zip
2017-08,monthly,Buses,DGT,0.0,0.0,0.0,21.0,0.0,125.0,6.0,152.0,https://www.dgt.es/microdatos/salida/2017/8/vehiculos/matriculaciones/export_mensual_mat_201708.zip
2017-09,monthly,Buses,DGT,0.0,0.0,0.0,8.0,4.0,642.0,27.0,681.0,https://www.dgt.es/microdatos/salida/2017/9/vehiculos/matriculaciones/export_mensual_mat_201709.zip
2017-10,monthly,Buses,DGT,0.0,0.0,0.0,4.0,1.0,217.0,100.0,322.0,https://www.dgt.es/microdatos/salida/2017/10/vehiculos/matriculaciones/export_mensual_mat_201710.zip
2017-11,monthly,Buses,DGT,2.0,0.0,0.0,20.0,0.0,214.0,80.0,316.0,https://www.dgt.es/microdatos/salida/2017/11/vehiculos/matriculaciones/export_mensual_mat_201711.zip
2017-12,monthly,Buses,DGT,15.0,0.0,0.0,57.0,0.0,177.0,62.0,311.0,https://www.dgt.es/microdatos/salida/2017/12/vehiculos/matriculaciones/export_mensual_mat_201712.zip
2018-01,monthly,Buses,DGT,21.0,0.0,0.0,28.0,1.0,270.0,39.0,359.0,https://www.dgt.es/microdatos/salida/2018/1/vehiculos/matriculaciones/export_mensual_mat_201801.zip
2018-02,monthly,Buses,DGT,2.0,0.0,0.0,8.0,0.0,325.0,30.0,365.0,https://www.dgt.es/microdatos/salida/2018/2/vehiculos/matriculaciones/export_mensual_mat_201802.zip
2018-03,monthly,Buses,DGT,0.0,1.0,0.0,10.0,0.0,302.0,36.0,349.0,https://www.dgt.es/microdatos/salida/2018/3/vehiculos/matriculaciones/export_mensual_mat_201803.zip
2018-04,monthly,Buses,DGT,0.0,1.0,0.0,0.0,1.0,259.0,23.0,284.0,https://www.dgt.es/microdatos/salida/2018/4/vehiculos/matriculaciones/export_mensual_mat_201804.zip
2018-05,monthly,Buses,DGT,1.0,0.0,0.0,50.0,0.0,208.0,28.0,287.0,https://www.dgt.es/microdatos/salida/2018/5/vehiculos/matriculaciones/export_mensual_mat_201805.zip
2018-06,monthly,Buses,DGT,0.0,1.0,0.0,12.0,0.0,183.0,24.0,220.0,https://www.dgt.es/microdatos/salida/2018/6/vehiculos/matriculaciones/export_mensual_mat_201806.zip
2018-07,monthly,Buses,DGT,8.0,0.0,0.0,5.0,0.0,169.0,50.0,232.0,https://www.dgt.es/microdatos/salida/2018/7/vehiculos/matriculaciones/export_mensual_mat_201807.zip
2018-08,monthly,Buses,DGT,11.0,0.0,0.0,0.0,0.0,71.0,0.0,82.0,https://www.dgt.es/microdatos/salida/2018/8/vehiculos/matriculaciones/export_mensual_mat_201808.zip
2018-09,monthly,Buses,DGT,2.0,1.0,0.0,12.0,0.0,591.0,30.0,636.0,https://www.dgt.es/microdatos/salida/2018/9/vehiculos/matriculaciones/export_mensual_mat_201809.zip
2018-10,monthly,Buses,DGT,2.0,3.0,0.0,27.0,0.0,259.0,59.0,350.0,https://www.dgt.es/microdatos/salida/2018/10/vehiculos/matriculaciones/export_mensual_mat_201810.zip
2018-11,monthly,Buses,DGT,2.0,0.0,0.0,5.0,0.0,180.0,51.0,238.0,https://www.dgt.es/microdatos/salida/2018/11/vehiculos/matriculaciones/export_mensual_mat_201811.zip
2018-12,monthly,Buses,DGT,5.0,1.0,0.0,25.0,0.0,185.0,46.0,262.0,https://www.dgt.es/microdatos/salida/2018/12/vehiculos/matriculaciones/export_mensual_mat_201812.zip
2019-01,monthly,Buses,DGT,47.0,3.0,0.0,66.0,0.0,198.0,28.0,342.0,https://www.dgt.es/microdatos/salida/2019/1/vehiculos/matriculaciones/export_mensual_mat_201901.zip
2019-02,monthly,Buses,DGT,2.0,1.0,0.0,53.0,0.0,252.0,11.0,319.0,https://www.dgt.es/microdatos/salida/2019/2/vehiculos/matriculaciones/export_mensual_mat_201902.zip
2019-03,monthly,Buses,DGT,15.0,8.0,0.0,28.0,0.0,254.0,25.0,330.0,https://www.dgt.es/microdatos/salida/2019/3/vehiculos/matriculaciones/export_mensual_mat_201903.zip
2019-04,monthly,Buses,DGT,17.0,0.0,0.0,15.0,0.0,242.0,39.0,313.0,https://www.dgt.es/microdatos/salida/2019/4/vehiculos/matriculaciones/export_mensual_mat_201904.zip
2019-05,monthly,Buses,DGT,17.0,0.0,0.0,69.0,0.0,239.0,61.0,386.0,https://www.dgt.es/microdatos/salida/2019/5/vehiculos/matriculaciones/export_mensual_mat_201905.zip
2019-06,monthly,Buses,DGT,0.0,0.0,0.0,5.0,0.0,248.0,38.0,291.0,https://www.dgt.es/microdatos/salida/2019/6/vehiculos/matriculaciones/export_mensual_mat_201906.zip
2019-07,monthly,Buses,DGT,9.0,0.0,0.0,37.0,0.0,99.0,48.0,193.0,https://www.dgt.es/microdatos/salida/2019/7/vehiculos/matriculaciones/export_mensual_mat_201907.zip
2019-08,monthly,Buses,DGT,1.0,0.0,0.0,32.0,0.0,104.0,29.0,166.0,https://www.dgt.es/microdatos/salida/2019/8/vehiculos/matriculaciones/export_mensual_mat_201908.zip
2019-09,monthly,Buses,DGT,5.0,0.0,0.0,4.0,1.0,417.0,19.0,446.0,https://www.dgt.es/microdatos/salida/2019/9/vehiculos/matriculaciones/export_mensual_mat_201909.zip
2019-10,monthly,Buses,DGT,20.0,0.0,0.0,15.0,0.0,176.0,117.0,328.0,https://www.dgt.es/microdatos/salida/2019/10/vehiculos/matriculaciones/export_mensual_mat_201910.zip
2019-11,monthly,Buses,DGT,1.0,0.0,0.0,38.0,0.0,159.0,15.0,213.0,https://www.dgt.es/microdatos/salida/2019/11/vehiculos/matriculaciones/export_mensual_mat_201911.zip
2019-12,monthly,Buses,DGT,3.0,0.0,0.0,16.0,0.0,127.0,28.0,174.0,https://www.dgt.es/microdatos/salida/2019/12/vehiculos/matriculaciones/export_mensual_mat_201912.zip
2020-01,monthly,Buses,DGT,3.0,0.0,0.0,2.0,0.0,293.0,38.0,336.0,https://www.dgt.es/microdatos/salida/2020/1/vehiculos/matriculaciones/export_mensual_mat_202001.zip
2020-02,monthly,Buses,DGT,15.0,0.0,0.0,1.0,0.0,156.0,24.0,196.0,https://www.dgt.es/microdatos/salida/2020/2/vehiculos/matriculaciones/export_mensual_mat_202002.zip
2020-03,monthly,Buses,DGT,3.0,0.0,0.0,12.0,0.0,72.0,15.0,102.0,https://www.dgt.es/microdatos/salida/2020/3/vehiculos/matriculaciones/export_mensual_mat_202003.zip
2020-04,monthly,Buses,DGT,0.0,0.0,0.0,0.0,0.0,18.0,39.0,57.0,https://www.dgt.es/microdatos/salida/2020/4/vehiculos/matriculaciones/export_mensual_mat_202004.zip
2020-05,monthly,Buses,DGT,0.0,0.0,0.0,9.0,0.0,46.0,34.0,89.0,https://www.dgt.es/microdatos/salida/2020/5/vehiculos/matriculaciones/export_mensual_mat_202005.zip
2020-06,monthly,Buses,DGT,3.0,0.0,0.0,39.0,0.0,66.0,31.0,139.0,https://www.dgt.es/microdatos/salida/2020/6/vehiculos/matriculaciones/export_mensual_mat_202006.zip
2020-07,monthly,Buses,DGT,0.0,4.0,0.0,63.0,0.0,78.0,45.0,190.0,https://www.dgt.es/microdatos/salida/2020/7/vehiculos/matriculaciones/export_mensual_mat_202007.zip
2020-08,monthly,Buses,DGT,1.0,0.0,0.0,32.0,0.0,45.0,21.0,99.0,https://www.dgt.es/microdatos/salida/2020/8/vehiculos/matriculaciones/export_mensual_mat_202008.zip
2020-09,monthly,Buses,DGT,0.0,0.0,0.0,44.0,0.0,165.0,45.0,254.0,https://www.dgt.es/microdatos/salida/2020/9/vehiculos/matriculaciones/export_mensual_mat_202009.zip
2020-10,monthly,Buses,DGT,7.0,0.0,0.0,32.0,0.0,87.0,80.0,206.0,https://www.dgt.es/microdatos/salida/2020/10/vehiculos/matriculaciones/export_mensual_mat_202010.zip
2020-11,monthly,Buses,DGT,1.0,3.0,0.0,37.0,0.0,85.0,97.0,223.0,https://www.dgt.es/microdatos/salida/2020/11/vehiculos/matriculaciones/export_mensual_mat_202011.zip
2020-12,monthly,Buses,DGT,19.0,0.0,0.0,20.0,0.0,185.0,59.0,283.0,https://www.dgt.es/microdatos/salida/2020/12/vehiculos/matriculaciones/export_mensual_mat_202012.zip
2021-01,monthly,Buses,DGT,13.0,2.0,0.0,29.0,0.0,57.0,21.0,122.0,https://www.dgt.es/microdatos/salida/2021/1/vehiculos/matriculaciones/export_mensual_mat_202101.zip
2021-02,monthly,Buses,DGT,3.0,0.0,0.0,47.0,0.0,54.0,37.0,141.0,https://www.dgt.es/microdatos/salida/2021/2/vehiculos/matriculaciones/export_mensual_mat_202102.zip
2021-03,monthly,Buses,DGT,4.0,4.0,0.0,47.0,0.0,32.0,12.0,99.0,https://www.dgt.es/microdatos/salida/2021/3/vehiculos/matriculaciones/export_mensual_mat_202103.zip
2021-04,monthly,Buses,DGT,14.0,10.0,0.0,49.0,0.0,45.0,1.0,119.0,https://www.dgt.es/microdatos/salida/2021/4/vehiculos/matriculaciones/export_mensual_mat_202104.zip
2021-05,monthly,Buses,DGT,31.0,0.0,0.0,33.0,0.0,47.0,5.0,116.0,https://www.dgt.es/microdatos/salida/2021/5/vehiculos/matriculaciones/export_mensual_mat_202105.zip
2021-06,monthly,Buses,DGT,18.0,0.0,0.0,97.0,0.0,49.0,4.0,168.0,https://www.dgt.es/microdatos/salida/2021/6/vehiculos/matriculaciones/export_mensual_mat_202106.zip
2021-07,monthly,Buses,DGT,7.0,0.0,0.0,66.0,0.0,65.0,15.0,153.0,https://www.dgt.es/microdatos/salida/2021/7/vehiculos/matriculaciones/export_mensual_mat_202107.zip
2021-08,monthly,Buses,DGT,6.0,0.0,0.0,0.0,0.0,22.0,10.0,38.0,https://www.dgt.es/microdatos/salida/2021/8/vehiculos/matriculaciones/export_mensual_mat_202108.zip
2021-09,monthly,Buses,DGT,1.0,0.0,0.0,20.0,0.0,372.0,7.0,400.0,https://www.dgt.es/microdatos/salida/2021/9/vehiculos/matriculaciones/export_mensual_mat_202109.zip
2021-10,monthly,Buses,DGT,0.0,0.0,0.0,26.0,0.0,95.0,45.0,166.0,https://www.dgt.es/microdatos/salida/2021/10/vehiculos/matriculaciones/export_mensual_mat_202110.zip
2021-11,monthly,Buses,DGT,0.0,0.0,0.0,37.0,0.0,123.0,86.0,246.0,https://www.dgt.es/microdatos/salida/2021/11/vehiculos/matriculaciones/export_mensual_mat_202111.zip
2021-12,monthly,Buses,DGT,32.0,0.0,0.0,8.0,0.0,66.0,72.0,178.0,https://www.dgt.es/microdatos/salida/2021/12/vehiculos/matriculaciones/export_mensual_mat_202112.zip
