period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,HDV,DGT,0.0,0.0,0.0,1.0,2.0,3322.0,6.0,3331.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,HDV,DGT,0.0,0.0,0.0,0.0,0.0,2311.0,6.0,2317.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,HDV,DGT,0.0,0.0,0.0,0.0,0.0,1918.0,8.0,1926.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,HDV,DGT,0.0,0.0,0.0,0.0,1.0,2224.0,8.0,2233.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,HDV,DGT,0.0,0.0,0.0,1.0,2.0,1734.0,8.0,1745.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,HDV,DGT,0.0,0.0,0.0,0.0,1.0,1682.0,23.0,1706.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,HDV,DGT,0.0,0.0,0.0,0.0,1.0,1941.0,39.0,1981.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,HDV,DGT,1.0,0.0,0.0,0.0,2.0,1797.0,15.0,1815.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,HDV,DGT,0.0,0.0,0.0,1.0,0.0,1920.0,19.0,1940.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,HDV,DGT,0.0,0.0,0.0,3.0,1.0,1766.0,6.0,1776.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,HDV,DGT,0.0,0.0,0.0,0.0,1.0,1350.0,14.0,1365.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,HDV,DGT,1.0,0.0,0.0,1.0,0.0,2050.0,55.0,2107.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,HDV,DGT,1.0,0.0,0.0,0.0,9.0,3044.0,18.0,3072.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,HDV,DGT,0.0,0.0,0.0,2.0,2.0,2794.0,74.0,2872.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,HDV,DGT,0.0,0.0,0.0,1.0,0.0,1854.0,54.0,1909.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
