period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,NonRental,DGT,140.0,62.0,0.0,485.0,28191.0,40764.0,144.0,69786.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,NonRental,DGT,101.0,39.0,0.0,77.0,28952.0,41211.0,77.0,70457.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,NonRental,DGT,90.0,68.0,1.0,1348.0,28940.0,44451.0,69.0,74967.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,NonRental,DGT,90.0,75.0,3.0,2006.0,21888.0,36670.0,166.0,60898.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,NonRental,DGT,98.0,60.0,6.0,1611.0,26044.0,37168.0,175.0,65162.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,NonRental,DGT,180.0,174.0,11.0,1696.0,29094.0,40907.0,247.0,72309.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,NonRental,DGT,94.0,179.0,4.0,1902.0,29952.0,40843.0,296.0,73270.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,NonRental,DGT,84.0,121.0,7.0,2376.0,29167.0,39659.0,218.0,71632.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,NonRental,DGT,89.0,84.0,17.0,2472.0,32646.0,45566.0,205.0,81079.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,NonRental,DGT,102.0,76.0,6.0,2696.0,36096.0,45940.0,185.0,85101.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,NonRental,DGT,35.0,56.0,1.0,2149.0,23257.0,31213.0,151.0,56862.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,NonRental,DGT,91.0,98.0,3.0,2210.0,28293.0,37429.0,150.0,68274.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,NonRental,DGT,72.0,54.0,7.0,2588.0,28819.0,38460.0,173.0,70173.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,NonRental,DGT,77.0,67.0,6.0,2948.0,32666.0,41598.0,154.0,77516.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,NonRental,DGT,150.0,66.0,6.0,2926.0,34301.0,42336.0,226.0,80011.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,NonRental,DGT,77.0,72.0,6.0,3999.0,28504.0,33625.0,228.0,66511.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,NonRental,DGT,143.0,76.0,11.0,3438.0,30265.0,34408.0,209.0,68550.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,NonRental,DGT,230.0,124.0,10.0,3836.0,38256.0,40128.0,291.0,82875.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
2017-04,monthly,NonRental,DGT,117.0,114.0,26.0,3217.0,30308.0,32388.0,243.0,66413.0,https://www.dgt.es/microdatos/salida/2017/4/vehiculos/matriculaciones/export_mensual_mat_201704.zip
2017-05,monthly,NonRental,DGT,191.0,181.0,13.0,4411.0,36220.0,37209.0,374.0,78599.0,https://www.dgt.es/microdatos/salida/2017/5/vehiculos/matriculaciones/export_mensual_mat_201705.zip
2017-06,monthly,NonRental,DGT,250.0,235.0,9.0,4737.0,41097.0,41724.0,475.0,88527.0,https://www.dgt.es/microdatos/salida/2017/6/vehiculos/matriculaciones/export_mensual_mat_201706.zip
2017-07,monthly,NonRental,DGT,215.0,260.0,10.0,4587.0,40521.0,39975.0,458.0,86026.0,https://www.dgt.es/microdatos/salida/2017/7/vehiculos/matriculaciones/export_mensual_mat_201707.zip
2017-08,monthly,NonRental,DGT,244.0,283.0,2.0,4000.0,29678.0,29854.0,422.0,64483.0,https://www.dgt.es/microdatos/salida/2017/8/vehiculos/matriculaciones/export_mensual_mat_201708.zip
2017-09,monthly,NonRental,DGT,371.0,226.0,8.0,3784.0,33439.0,33316.0,510.0,71654.0,https://www.dgt.es/microdatos/salida/2017/9/vehiculos/matriculaciones/export_mensual_mat_201709.zip
2017-10,monthly,NonRental,DGT,322.0,253.0,5.0,4379.0,40245.0,34283.0,769.0,80256.0,https://www.dgt.es/microdatos/salida/2017/10/vehiculos/matriculaciones/export_mensual_mat_201710.zip
2017-11,monthly,NonRental,DGT,181.0,264.0,12.0,4904.0,44261.0,36357.0,733.0,86712.0,https://www.dgt.es/microdatos/salida/2017/11/vehiculos/matriculaciones/export_mensual_mat_201711.zip
2017-12,monthly,NonRental,DGT,314.0,379.0,12.0,4020.0,43643.0,35078.0,834.0,84280.0,https://www.dgt.es/microdatos/salida/2017/12/vehiculos/matriculaciones/export_mensual_mat_201712.zip
2018-01,monthly,NonRental,DGT,315.0,283.0,11.0,5190.0,40476.0,31434.0,822.0,78531.0,https://www.dgt.es/microdatos/salida/2018/1/vehiculos/matriculaciones/export_mensual_mat_201801.zip
2018-02,monthly,NonRental,DGT,320.0,208.0,6.0,4437.0,40978.0,29301.0,1026.0,76276.0,https://www.dgt.es/microdatos/salida/2018/2/vehiculos/matriculaciones/export_mensual_mat_201802.zip
2018-03,monthly,NonRental,DGT,404.0,207.0,7.0,4584.0,45986.0,30159.0,1113.0,82460.0,https://www.dgt.es/microdatos/salida/2018/3/vehiculos/matriculaciones/export_mensual_mat_201803.zip
2018-04,monthly,NonRental,DGT,368.0,179.0,7.0,4900.0,43952.0,28265.0,1475.0,79146.0,https://www.dgt.es/microdatos/salida/2018/4/vehiculos/matriculaciones/export_mensual_mat_201804.zip
2018-05,monthly,NonRental,DGT,230.0,192.0,14.0,5505.0,49751.0,30767.0,1822.0,88281.0,https://www.dgt.es/microdatos/salida/2018/5/vehiculos/matriculaciones/export_mensual_mat_201805.zip
2018-06,monthly,NonRental,DGT,265.0,403.0,11.0,5214.0,50609.0,33429.0,2010.0,91941.0,https://www.dgt.es/microdatos/salida/2018/6/vehiculos/matriculaciones/export_mensual_mat_201806.zip
2018-07,monthly,NonRental,DGT,209.0,296.0,2.0,5412.0,58321.0,34437.0,2180.0,100857.0,https://www.dgt.es/microdatos/salida/2018/7/vehiculos/matriculaciones/export_mensual_mat_201807.zip
2018-08,monthly,NonRental,DGT,182.0,314.0,5.0,5245.0,52686.0,33613.0,2269.0,94314.0,https://www.dgt.es/microdatos/salida/2018/8/vehiculos/matriculaciones/export_mensual_mat_201808.zip
2018-09,monthly,NonRental,DGT,415.0,259.0,7.0,4667.0,33667.0,20387.0,1033.0,60435.0,https://www.dgt.es/microdatos/salida/2018/9/vehiculos/matriculaciones/export_mensual_mat_201809.zip
2018-10,monthly,NonRental,DGT,435.0,293.0,6.0,5662.0,44295.0,22418.0,1985.0,75094.0,https://www.dgt.es/microdatos/salida/2018/10/vehiculos/matriculaciones/export_mensual_mat_201810.zip
2018-11,monthly,NonRental,DGT,419.0,351.0,6.0,5287.0,46757.0,22788.0,1834.0,77442.0,https://www.dgt.es/microdatos/salida/2018/11/vehiculos/matriculaciones/export_mensual_mat_201811.zip
2018-12,monthly,NonRental,DGT,676.0,382.0,4.0,4671.0,46202.0,24459.0,1674.0,78068.0,https://www.dgt.es/microdatos/salida/2018/12/vehiculos/matriculaciones/export_mensual_mat_201812.zip
2019-01,monthly,NonRental,DGT,454.0,316.0,3.0,5846.0,43193.0,20492.0,1673.0,71977.0,https://www.dgt.es/microdatos/salida/2019/1/vehiculos/matriculaciones/export_mensual_mat_201901.zip
