period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,Rental,DGT,230.0,26.0,0.0,55.0,2821.0,10454.0,33.0,13619.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,Rental,DGT,161.0,20.0,0.0,8.0,2834.0,11003.0,81.0,14107.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,Rental,DGT,24.0,4.0,0.0,86.0,3675.0,13190.0,81.0,17060.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,Rental,DGT,8.0,16.0,10.0,110.0,5623.0,12637.0,26.0,18430.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,Rental,DGT,5.0,17.0,3.0,431.0,13753.0,21545.0,10.0,35764.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,Rental,DGT,60.0,24.0,5.0,402.0,16436.0,26940.0,70.0,43937.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,Rental,DGT,89.0,31.0,1.0,153.0,11484.0,19120.0,76.0,30954.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,Rental,DGT,90.0,37.0,22.0,254.0,17930.0,27441.0,32.0,45806.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,Rental,DGT,16.0,54.0,1.0,195.0,20258.0,26910.0,79.0,47513.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,Rental,DGT,47.0,35.0,8.0,206.0,8404.0,17819.0,61.0,26580.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,Rental,DGT,40.0,34.0,2.0,151.0,2025.0,7730.0,5.0,9987.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,Rental,DGT,21.0,45.0,1.0,189.0,3343.0,11537.0,7.0,15143.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,Rental,DGT,47.0,30.0,0.0,157.0,4528.0,11687.0,2.0,16451.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,Rental,DGT,326.0,47.0,0.0,198.0,4720.0,13790.0,14.0,19095.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,Rental,DGT,207.0,25.0,0.0,176.0,5352.0,15766.0,25.0,21551.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,Rental,DGT,22.0,49.0,0.0,247.0,7400.0,14904.0,6.0,22628.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,Rental,DGT,66.0,23.0,2.0,496.0,12888.0,20440.0,56.0,33971.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,Rental,DGT,67.0,29.0,17.0,654.0,20339.0,26972.0,16.0,48094.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
