period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,Used,DGT,1.0,0.0,0.0,1.0,1045.0,3666.0,5.0,4718.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,Used,DGT,1.0,0.0,0.0,8.0,1057.0,3494.0,4.0,4564.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,Used,DGT,3.0,1.0,0.0,4.0,988.0,3288.0,4.0,4288.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,Used,DGT,0.0,0.0,1.0,4.0,852.0,3382.0,3.0,4242.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,Used,DGT,4.0,0.0,2.0,3.0,1127.0,3750.0,2.0,4888.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,Used,DGT,4.0,0.0,2.0,6.0,1087.0,3922.0,7.0,5028.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,Used,DGT,0.0,0.0,1.0,5.0,1237.0,4229.0,6.0,5478.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,Used,DGT,0.0,0.0,2.0,8.0,1059.0,3842.0,5.0,4916.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,Used,DGT,0.0,1.0,0.0,12.0,1122.0,4570.0,4.0,5709.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,Used,DGT,1.0,0.0,2.0,3.0,1085.0,4338.0,7.0,5436.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,Used,DGT,4.0,1.0,2.0,8.0,1034.0,3865.0,2.0,4916.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,Used,DGT,3.0,1.0,2.0,5.0,1079.0,4098.0,6.0,5194.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,Used,DGT,3.0,4.0,0.0,5.0,1169.0,4495.0,7.0,5683.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,Used,DGT,1.0,1.0,2.0,7.0,1201.0,4360.0,2.0,5574.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,Used,DGT,6.0,0.0,4.0,7.0,1182.0,4200.0,8.0,5407.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,Used,DGT,1.0,1.0,7.0,12.0,1020.0,4091.0,7.0,5139.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,Used,DGT,3.0,0.0,4.0,15.0,1255.0,4408.0,10.0,5695.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,Used,DGT,2.0,3.0,8.0,19.0,1526.0,5387.0,7.0,6952.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
2017-04,monthly,Used,DGT,5.0,0.0,10.0,10.0,1081.0,4586.0,3.0,5695.0,https://www.dgt.es/microdatos/salida/2017/4/vehiculos/matriculaciones/export_mensual_mat_201704.zip
2017-05,monthly,Used,DGT,3.0,1.0,16.0,18.0,1417.0,5351.0,7.0,6813.0,https://www.dgt.es/microdatos/salida/2017/5/vehiculos/matriculaciones/export_mensual_mat_201705.zip
2017-06,monthly,Used,DGT,11.0,3.0,26.0,14.0,1376.0,5288.0,8.0,6726.0,https://www.dgt.es/microdatos/salida/2017/6/vehiculos/matriculaciones/export_mensual_mat_201706.zip
2017-07,monthly,Used,DGT,19.0,2.0,19.0,17.0,1414.0,5392.0,8.0,6871.0,https://www.dgt.es/microdatos/salida/2017/7/vehiculos/matriculaciones/export_mensual_mat_201707.zip
2017-08,monthly,Used,DGT,7.0,0.0,8.0,22.0,1256.0,4943.0,9.0,6245.0,https://www.dgt.es/microdatos/salida/2017/8/vehiculos/matriculaciones/export_mensual_mat_201708.zip
2017-09,monthly,Used,DGT,6.0,2.0,11.0,31.0,1174.0,4870.0,14.0,6108.0,https://www.dgt.es/microdatos/salida/2017/9/vehiculos/matriculaciones/export_mensual_mat_201709.zip
2017-10,monthly,Used,DGT,10.0,2.0,12.0,20.0,1337.0,5514.0,7.0,6902.0,https://www.dgt.es/microdatos/salida/2017/10/vehiculos/matriculaciones/export_mensual_mat_201710.zip
2017-11,monthly,Used,DGT,8.0,4.0,12.0,20.0,1508.0,5575.0,6.0,7133.0,https://www.dgt.es/microdatos/salida/2017/11/vehiculos/matriculaciones/export_mensual_mat_201711.zip
2017-12,monthly,Used,DGT,10.0,3.0,12.0,18.0,1167.0,4628.0,12.0,5850.0,https://www.dgt.es/microdatos/salida/2017/12/vehiculos/matriculaciones/export_mensual_mat_201712.zip
2018-01,monthly,Used,DGT,11.0,2.0,8.0,30.0,1222.0,5082.0,9.0,6364.0,https://www.dgt.es/microdatos/salida/2018/1/vehiculos/matriculaciones/export_mensual_mat_201801.zip
2018-02,monthly,Used,DGT,15.0,10.0,14.0,25.0,1307.0,5255.0,9.0,6635.0,https://www.dgt.es/microdatos/salida/2018/2/vehiculos/matriculaciones/export_mensual_mat_201802.zip
2018-03,monthly,Used,DGT,11.0,13.0,16.0,28.0,1390.0,5505.0,8.0,6971.0,https://www.dgt.es/microdatos/salida/2018/3/vehiculos/matriculaciones/export_mensual_mat_201803.zip
2018-04,monthly,Used,DGT,13.0,5.0,16.0,39.0,1436.0,5205.0,8.0,6722.0,https://www.dgt.es/microdatos/salida/2018/4/vehiculos/matriculaciones/export_mensual_mat_201804.zip
2018-05,monthly,Used,DGT,25.0,6.0,8.0,19.0,1449.0,5488.0,15.0,7010.0,https://www.dgt.es/microdatos/salida/2018/5/vehiculos/matriculaciones/export_mensual_mat_201805.zip
2018-06,monthly,Used,DGT,17.0,11.0,21.0,26.0,1464.0,5657.0,11.0,7207.0,https://www.dgt.es/microdatos/salida/2018/6/vehiculos/matriculaciones/export_mensual_mat_201806.zip
2018-07,monthly,Used,DGT,22.0,6.0,17.0,33.0,1576.0,5439.0,11.0,7104.0,https://www.dgt.es/microdatos/salida/2018/7/vehiculos/matriculaciones/export_mensual_mat_201807.zip
2018-08,monthly,Used,DGT,28.0,10.0,17.0,43.0,1533.0,4889.0,8.0,6528.0,https://www.dgt.es/microdatos/salida/2018/8/vehiculos/matriculaciones/export_mensual_mat_201808.zip
2018-09,monthly,Used,DGT,26.0,17.0,23.0,43.0,1445.0,4175.0,15.0,5744.0,https://www.dgt.es/microdatos/salida/2018/9/vehiculos/matriculaciones/export_mensual_mat_201809.zip
2018-10,monthly,Used,DGT,43.0,17.0,40.0,61.0,1704.0,5238.0,17.0,7120.0,https://www.dgt.es/microdatos/salida/2018/10/vehiculos/matriculaciones/export_mensual_mat_201810.zip
2018-11,monthly,Used,DGT,39.0,33.0,28.0,54.0,1725.0,4877.0,10.0,6766.0,https://www.dgt.es/microdatos/salida/2018/11/vehiculos/matriculaciones/export_mensual_mat_201811.zip
2018-12,monthly,Used,DGT,40.0,32.0,23.0,48.0,1405.0,3969.0,9.0,5526.0,https://www.dgt.es/microdatos/salida/2018/12/vehiculos/matriculaciones/export_mensual_mat_201812.zip
2019-01,monthly,Used,DGT,55.0,28.0,27.0,63.0,1388.0,4692.0,16.0,6269.0,https://www.dgt.es/microdatos/salida/2019/1/vehiculos/matriculaciones/export_mensual_mat_201901.zip
2019-02,monthly,Used,DGT,43.0,61.0,34.0,62.0,1623.0,5003.0,25.0,6851.0,https://www.dgt.es/microdatos/salida/2019/2/vehiculos/matriculaciones/export_mensual_mat_201902.zip
2019-03,monthly,Used,DGT,41.0,44.0,26.0,56.0,1690.0,5363.0,9.0,7229.0,https://www.dgt.es/microdatos/salida/2019/3/vehiculos/matriculaciones/export_mensual_mat_201903.zip
2019-04,monthly,Used,DGT,46.0,40.0,24.0,50.0,1492.0,5366.0,21.0,7039.0,https://www.dgt.es/microdatos/salida/2019/4/vehiculos/matriculaciones/export_mensual_mat_201904.zip
2019-05,monthly,Used,DGT,40.0,41.0,30.0,67.0,1727.0,6047.0,14.0,7966.0,https://www.dgt.es/microdatos/salida/2019/5/vehiculos/matriculaciones/export_mensual_mat_201905.zip
2019-06,monthly,Used,DGT,23.0,54.0,19.0,57.0,1597.0,5147.0,17.0,6914.0,https://www.dgt.es/microdatos/salida/2019/6/vehiculos/matriculaciones/export_mensual_mat_201906.zip
2019-07,monthly,Used,DGT,25.0,42.0,23.0,66.0,1718.0,5750.0,18.0,7642.0,https://www.dgt.es/microdatos/salida/2019/7/vehiculos/matriculaciones/export_mensual_mat_201907.zip
2019-08,monthly,Used,DGT,22.0,30.0,11.0,53.0,1479.0,4488.0,27.0,6110.0,https://www.dgt.es/microdatos/salida/2019/8/vehiculos/matriculaciones/export_mensual_mat_201908.zip
2019-09,monthly,Used,DGT,18.0,31.0,19.0,46.0,1589.0,4790.0,19.0,6512.0,https://www.dgt.es/microdatos/salida/2019/9/vehiculos/matriculaciones/export_mensual_mat_201909.zip
2019-10,monthly,Used,DGT,41.0,34.0,27.0,53.0,2022.0,6090.0,22.0,8289.0,https://www.dgt.es/microdatos/salida/2019/10/vehiculos/matriculaciones/export_mensual_mat_201910.zip
2019-11,monthly,Used,DGT,40.0,44.0,16.0,56.0,1635.0,5266.0,18.0,7075.0,https://www.dgt.es/microdatos/salida/2019/11/vehiculos/matriculaciones/export_mensual_mat_201911.zip
2019-12,monthly,Used,DGT,26.0,37.0,7.0,48.0,1479.0,4566.0,22.0,6185.0,https://www.dgt.es/microdatos/salida/2019/12/vehiculos/matriculaciones/export_mensual_mat_201912.zip
2020-01,monthly,Used,DGT,39.0,44.0,18.0,57.0,1630.0,5031.0,18.0,6837.0,https://www.dgt.es/microdatos/salida/2020/1/vehiculos/matriculaciones/export_mensual_mat_202001.zip
2020-02,monthly,Used,DGT,30.0,66.0,24.0,59.0,1724.0,5377.0,13.0,7293.0,https://www.dgt.es/microdatos/salida/2020/2/vehiculos/matriculaciones/export_mensual_mat_202002.zip
2020-03,monthly,Used,DGT,26.0,40.0,7.0,34.0,868.0,2662.0,12.0,3649.0,https://www.dgt.es/microdatos/salida/2020/3/vehiculos/matriculaciones/export_mensual_mat_202003.zip
2020-04,monthly,Used,DGT,2.0,8.0,0.0,2.0,65.0,289.0,1.0,367.0,https://www.dgt.es/microdatos/salida/2020/4/vehiculos/matriculaciones/export_mensual_mat_202004.zip
2020-05,monthly,Used,DGT,2.0,10.0,8.0,13.0,326.0,1440.0,0.0,1799.0,https://www.dgt.es/microdatos/salida/2020/5/vehiculos/matriculaciones/export_mensual_mat_202005.zip
2020-06,monthly,Used,DGT,35.0,57.0,9.0,47.0,1616.0,4603.0,15.0,6382.0,https://www.dgt.es/microdatos/salida/2020/6/vehiculos/matriculaciones/export_mensual_mat_202006.zip
2020-07,monthly,Used,DGT,37.0,45.0,15.0,64.0,1760.0,5505.0,14.0,7440.0,https://www.dgt.es/microdatos/salida/2020/7/vehiculos/matriculaciones/export_mensual_mat_202007.zip
2020-08,monthly,Used,DGT,31.0,34.0,8.0,63.0,1562.0,4904.0,15.0,6617.0,https://www.dgt.es/microdatos/salida/2020/8/vehiculos/matriculaciones/export_mensual_mat_202008.zip
