period,time_interval,variant,source,BEV,PHEV,EREV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-10,monthly,Vans,DGT,54.0,0.0,0.0,0.0,45.0,8246.0,29.0,8374.0,https://www.dgt.es/microdatos/salida/2015/10/vehiculos/matriculaciones/export_mensual_mat_201510.zip
2015-11,monthly,Vans,DGT,33.0,0.0,0.0,0.0,42.0,7914.0,31.0,8020.0,https://www.dgt.es/microdatos/salida/2015/11/vehiculos/matriculaciones/export_mensual_mat_201511.zip
2015-12,monthly,Vans,DGT,138.0,0.0,0.0,0.0,68.0,7722.0,24.0,7952.0,https://www.dgt.es/microdatos/salida/2015/12/vehiculos/matriculaciones/export_mensual_mat_201512.zip
2016-01,monthly,Vans,DGT,29.0,0.0,0.0,0.0,74.0,5525.0,8.0,5636.0,https://www.dgt.es/microdatos/salida/2016/1/vehiculos/matriculaciones/export_mensual_mat_201601.zip
2016-02,monthly,Vans,DGT,49.0,0.0,0.0,0.0,49.0,6743.0,16.0,6857.0,https://www.dgt.es/microdatos/salida/2016/2/vehiculos/matriculaciones/export_mensual_mat_201602.zip
2016-03,monthly,Vans,DGT,82.0,0.0,0.0,0.0,63.0,7600.0,8.0,7753.0,https://www.dgt.es/microdatos/salida/2016/3/vehiculos/matriculaciones/export_mensual_mat_201603.zip
2016-04,monthly,Vans,DGT,61.0,0.0,0.0,1.0,69.0,8065.0,31.0,8227.0,https://www.dgt.es/microdatos/salida/2016/4/vehiculos/matriculaciones/export_mensual_mat_201604.zip
2016-05,monthly,Vans,DGT,92.0,0.0,0.0,0.0,78.0,8160.0,31.0,8361.0,https://www.dgt.es/microdatos/salida/2016/5/vehiculos/matriculaciones/export_mensual_mat_201605.zip
2016-06,monthly,Vans,DGT,70.0,0.0,0.0,0.0,67.0,9110.0,56.0,9303.0,https://www.dgt.es/microdatos/salida/2016/6/vehiculos/matriculaciones/export_mensual_mat_201606.zip
2016-07,monthly,Vans,DGT,85.0,0.0,0.0,1.0,65.0,7297.0,34.0,7482.0,https://www.dgt.es/microdatos/salida/2016/7/vehiculos/matriculaciones/export_mensual_mat_201607.zip
2016-08,monthly,Vans,DGT,40.0,0.0,0.0,0.0,64.0,5642.0,27.0,5773.0,https://www.dgt.es/microdatos/salida/2016/8/vehiculos/matriculaciones/export_mensual_mat_201608.zip
2016-09,monthly,Vans,DGT,66.0,0.0,0.0,0.0,85.0,7193.0,12.0,7356.0,https://www.dgt.es/microdatos/salida/2016/9/vehiculos/matriculaciones/export_mensual_mat_201609.zip
2016-10,monthly,Vans,DGT,109.0,0.0,0.0,0.0,106.0,7469.0,28.0,7712.0,https://www.dgt.es/microdatos/salida/2016/10/vehiculos/matriculaciones/export_mensual_mat_201610.zip
2016-11,monthly,Vans,DGT,38.0,0.0,0.0,0.0,60.0,8559.0,24.0,8681.0,https://www.dgt.es/microdatos/salida/2016/11/vehiculos/matriculaciones/export_mensual_mat_201611.zip
2016-12,monthly,Vans,DGT,64.0,0.0,0.0,0.0,90.0,8196.0,77.0,8427.0,https://www.dgt.es/microdatos/salida/2016/12/vehiculos/matriculaciones/export_mensual_mat_201612.zip
2017-01,monthly,Vans,DGT,32.0,0.0,0.0,0.0,66.0,6554.0,49.0,6701.0,https://www.dgt.es/microdatos/salida/2017/1/vehiculos/matriculaciones/export_mensual_mat_201701.zip
2017-02,monthly,Vans,DGT,44.0,0.0,0.0,0.0,39.0,6372.0,36.0,6491.0,https://www.dgt.es/microdatos/salida/2017/2/vehiculos/matriculaciones/export_mensual_mat_201702.zip
2017-03,monthly,Vans,DGT,80.0,0.0,0.0,0.0,69.0,8922.0,40.0,9111.0,https://www.dgt.es/microdatos/salida/2017/3/vehiculos/matriculaciones/export_mensual_mat_201703.zip
2017-04,monthly,Vans,DGT,39.0,0.0,0.0,0.0,94.0,6897.0,46.0,7076.0,https://www.dgt.es/microdatos/salida/2017/4/vehiculos/matriculaciones/export_mensual_mat_201704.zip
2017-05,monthly,Vans,DGT,86.0,0.0,0.0,0.0,114.0,8839.0,65.0,9104.0,https://www.dgt.es/microdatos/salida/2017/5/vehiculos/matriculaciones/export_mensual_mat_201705.zip
2017-06,monthly,Vans,DGT,59.0,0.0,0.0,0.0,88.0,8567.0,80.0,8794.0,https://www.dgt.es/microdatos/salida/2017/6/vehiculos/matriculaciones/export_mensual_mat_201706.zip
2017-07,monthly,Vans,DGT,33.0,0.0,0.0,0.0,101.0,8003.0,66.0,8203.0,https://www.dgt.es/microdatos/salida/2017/7/vehiculos/matriculaciones/export_mensual_mat_201707.zip
2017-08,monthly,Vans,DGT,67.0,0.0,0.0,0.0,71.0,5870.0,66.0,6074.0,https://www.dgt.es/microdatos/salida/2017/8/vehiculos/matriculaciones/export_mensual_mat_201708.zip
2017-09,monthly,Vans,DGT,79.0,0.0,0.0,1.0,73.0,7218.0,59.0,7430.0,https://www.dgt.es/microdatos/salida/2017/9/vehiculos/matriculaciones/export_mensual_mat_201709.zip
