period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,monthly,Whole,ACEA / DGT / asierlizarraga,46.0,13.0,538.0,21536.0,47515.0,200.0,69848.0,
2015-02,monthly,Whole,ACEA / DGT / asierlizarraga,29.0,24.0,423.0,30162.0,57904.0,155.0,88697.0,
2015-03,monthly,Whole,ACEA / DGT / asierlizarraga,131.0,26.0,537.0,41274.0,72821.0,306.0,115095.0,
2015-04,monthly,Whole,ACEA / DGT / asierlizarraga,55.0,50.0,522.0,30337.0,53846.0,374.0,85184.0,
2015-05,monthly,Whole,ACEA / DGT / asierlizarraga,49.0,64.0,510.0,35286.0,60574.0,318.0,96801.0,
2015-06,monthly,Whole,ACEA / DGT / asierlizarraga,62.0,57.0,698.0,41465.0,71973.0,327.0,114582.0,
2015-07,monthly,Whole,ACEA / DGT / asierlizarraga,88.0,95.0,984.0,37834.0,67333.0,256.0,106590.0,
2015-08,monthly,Whole,ACEA / DGT / asierlizarraga,65.0,39.0,670.0,20043.0,37432.0,233.0,58482.0,
2015-09,monthly,Whole,ACEA / DGT / asierlizarraga,76.0,117.0,793.0,24971.0,48019.0,236.0,74212.0,
2015-10,monthly,Whole,ACEA / DGT / asierlizarraga,301.0,88.0,540.0,31183.0,51541.0,250.0,83903.0,
2015-11,monthly,Whole,ACEA / DGT / asierlizarraga,213.0,59.0,85.0,31779.0,52202.0,205.0,84543.0,
2015-12,monthly,Whole,ACEA / DGT / asierlizarraga,46.0,73.0,1433.0,32601.0,57631.0,216.0,92000.0,
2016-01,monthly,Whole,ACEA / DGT / asierlizarraga,98.0,104.0,2116.0,27515.0,49323.0,1284.0,80440.0,
2016-02,monthly,Whole,ACEA / DGT / asierlizarraga,98.0,91.0,2062.0,39760.0,58746.0,1332.0,102089.0,
2016-03,monthly,Whole,ACEA / DGT / asierlizarraga,240.0,214.0,2098.0,45540.0,67871.0,1435.0,117398.0,
2016-04,monthly,Whole,ACEA / DGT / asierlizarraga,179.0,215.0,2055.0,41440.0,59978.0,1393.0,105260.0,
2016-05,monthly,Whole,ACEA / DGT / asierlizarraga,169.0,187.0,2631.0,47119.0,67133.0,1335.0,118574.0,
2016-06,monthly,Whole,ACEA / DGT / asierlizarraga,101.0,156.0,2667.0,52921.0,72502.0,1297.0,129644.0,
2016-07,monthly,Whole,ACEA / DGT / asierlizarraga,145.0,125.0,2902.0,44512.0,63786.0,1142.0,112612.0,
2016-08,monthly,Whole,ACEA / DGT / asierlizarraga,74.0,93.0,2300.0,25297.0,38972.0,995.0,67731.0,
