period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,FLEXFUEL,OTHERS,TOTAL,notes
2006-01,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,216.0,13617.0,3521.0,1646.0,171.0,19173.0,
2006-02,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,163.0,14687.0,3444.0,1798.0,234.0,20326.0,
2006-03,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,214.0,19609.0,4764.0,3165.0,255.0,28007.0,
2006-04,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,239.0,21439.0,4598.0,2105.0,370.0,28751.0,
2006-05,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,260.0,24117.0,5168.0,2481.0,530.0,32556.0,
2006-06,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,307.0,23148.0,5340.0,2469.0,398.0,31662.0,
2006-07,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,224.0,15593.0,4089.0,1686.0,199.0,21791.0,
2006-08,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,277.0,17504.0,4619.0,2086.0,181.0,24667.0,
2006-09,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,293.0,19129.0,5438.0,2061.0,321.0,27242.0,
2006-10,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,166.0,18271.0,6176.0,1819.0,364.0,26796.0,
2006-11,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,256.0,17054.0,7046.0,2465.0,348.0,27169.0,
2006-12,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,236.0,15834.0,7000.0,2337.0,265.0,25672.0,
2007-01,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,287.0,13521.0,6965.0,1891.0,201.0,22865.0,
2007-02,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,243.0,13479.0,6615.0,1965.0,169.0,22471.0,
2007-03,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,280.0,19340.0,8418.0,2361.0,200.0,30599.0,
2007-04,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,286.0,19362.0,8269.0,2464.0,152.0,30533.0,
2007-05,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,351.0,20085.0,9492.0,3429.0,169.0,33526.0,
2007-06,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,313.0,17837.0,8877.0,3155.0,248.0,30430.0,
2007-07,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,256.0,13520.0,6979.0,2508.0,136.0,23399.0,
2007-08,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,319.0,14772.0,8630.0,2229.0,112.0,26063.0,
2007-09,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,255.0,14276.0,8803.0,2756.0,96.0,26186.0,
2007-10,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,243.0,15476.0,11332.0,4183.0,81.0,31315.0,
2007-11,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,261.0,12810.0,12240.0,4251.0,119.0,29681.0,
2007-12,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,300.0,9823.0,16944.0,4321.0,81.0,31470.0,
2008-01,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,307.0,8977.0,5292.0,4677.0,90.0,19343.0,
2008-02,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,363.0,9634.0,8221.0,4595.0,85.0,22898.0,
2008-03,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,316.0,11105.0,9180.0,4317.0,62.0,24980.0,
2008-04,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,451.0,13284.0,11334.0,5032.0,97.0,30198.0,
2008-05,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,435.0,12672.0,10458.0,5477.0,86.0,29129.0,
2008-06,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,340.0,10656.0,9024.0,5948.0,75.0,26043.0,
2008-07,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,297.0,8504.0,6673.0,3680.0,49.0,19203.0,
2008-08,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,352.0,8558.0,6923.0,3940.0,79.0,19852.0,
2008-09,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,376.0,9584.0,8407.0,6080.0,187.0,24634.0,
2008-10,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,307.0,8668.0,8275.0,6431.0,185.0,23866.0,
2008-11,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,279.0,6736.0,6504.0,4565.0,192.0,18276.0,
2008-12,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,423.0,6137.0,6874.0,4282.0,206.0,17922.0,
2009-01,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,148.0,4872.0,4852.0,2378.0,119.0,12371.0,
2009-02,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,127.0,6244.0,5911.0,3069.0,155.0,15508.0,
2009-03,monthly,Whole,statistikdatabasen.scb.se,6.0,0.0,143.0,7636.0,7125.0,3997.0,318.0,19225.0,
2009-04,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,184.0,7931.0,7527.0,3854.0,487.0,19983.0,
2009-05,monthly,Whole,statistikdatabasen.scb.se,5.0,0.0,155.0,7646.0,6748.0,4663.0,543.0,19760.0,
2009-06,monthly,Whole,statistikdatabasen.scb.se,3.0,0.0,261.0,9334.0,9030.0,4861.0,652.0,24141.0,
2009-07,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,148.0,6459.0,6340.0,2341.0,623.0,15913.0,
2009-08,monthly,Whole,statistikdatabasen.scb.se,3.0,0.0,279.0,6218.0,6583.0,2915.0,725.0,16723.0,
2009-09,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,514.0,7703.0,8603.0,3220.0,752.0,20793.0,
2009-10,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,456.0,8674.0,9984.0,3052.0,643.0,22811.0,
2009-11,monthly,Whole,statistikdatabasen.scb.se,2.0,0.0,358.0,8235.0,9021.0,3064.0,505.0,21185.0,
2009-12,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,312.0,6974.0,9459.0,2752.0,617.0,20115.0,
2010-01,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,281.0,5876.0,7270.0,2359.0,565.0,16352.0,
2010-02,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,258.0,6012.0,9329.0,2633.0,670.0,18902.0,
2010-03,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,438.0,10201.0,13018.0,3053.0,620.0,27331.0,
2010-04,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,334.0,10457.0,13255.0,3094.0,630.0,27771.0,
2010-05,monthly,Whole,statistikdatabasen.scb.se,0.0,0.0,325.0,10489.0,12561.0,3297.0,603.0,27275.0,
2010-06,monthly,Whole,statistikdatabasen.scb.se,1.0,0.0,273.0,11517.0,15028.0,3513.0,707.0,31039.0,
