period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2022-07,yearly,Vans,ACEA,,,,,,,34516.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2021-07,yearly,Vans,ACEA,,,,,,,36238.0,https://www.acea.auto/files/20230125_PRCV_2212_FINAL.pdf (pre-fuel-split ACEA CV release: TOTAL only)
2023-02,quarterly,Vans,ACEA,1208.0,,0.0,287.0,7220.0,278.0,8993.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2024.pdf
2022-02,quarterly,Vans,ACEA,911.0,,0.0,258.0,6844.0,96.0,8109.0,https://www.acea.auto/files/20230407_PRCV_Q1-2023_FINAL.pdf
2023-05,quarterly,Vans,ACEA,1890.0,,0.0,300.0,8580.0,463.0,11233.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2022-05,quarterly,Vans,ACEA,1110.0,,0.0,257.0,7115.0,58.0,8540.0,https://www.acea.auto/files/20230727_PRCV_Q1-Q2_2023.pdf
2024-02,quarterly,Vans,ACEA,2770.0,,0.0,240.0,6327.0,1080.0,10417.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2024-05,quarterly,Vans,ACEA,2191.0,,0.0,235.0,7949.0,979.0,11354.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2024-08,quarterly,Vans,ACEA,1562.0,,1.0,227.0,4674.0,556.0,7020.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2023-08,quarterly,Vans,ACEA,2583.0,,0.0,243.0,7109.0,596.0,10531.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2022-08,quarterly,Vans,ACEA,1248.0,,0.0,228.0,6299.0,101.0,7876.0,https://www.acea.auto/files/Press_release_commercial_vehicles_Q1-Q3_2023.pdf
2023-11,quarterly,Vans,ACEA,2986.0,,0.0,214.0,9105.0,651.0,12956.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2022-11,quarterly,Vans,ACEA,1998.0,,0.0,223.0,7480.0,290.0,9991.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_2023.pdf
2025-02,quarterly,Vans,ACEA,2107.0,,1.0,138.0,4622.0,800.0,7668.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2025-1.pdf
2025-05,quarterly,Vans,ACEA,2698.0,,0.0,286.0,5414.0,640.0,9038.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-Q2_2025.pdf
2025-08,quarterly,Vans,ACEA,1649.0,,0.0,98.0,4881.0,379.0,7007.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q3-2025.pdf
2025-11,quarterly,Vans,ACEA,3211.0,,-1.0,76.0,6015.0,444.0,9745.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2024-11,quarterly,Vans,ACEA,2175.0,,-1.0,159.0,6561.0,643.0,9537.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_fulll_year_2025.pdf
2026-02,quarterly,Vans,ACEA,2457.0,,0.0,135.0,5789.0,469.0,8850.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations_Q1-2026.pdf
2026-05,quarterly,Vans,ACEA,3786.0,,5.0,205.0,6662.0,571.0,11229.0,https://www.acea.auto/files/Press_release_commercial_vehicle_registrations-H1_2026.pdf
