period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2010-01,monthly,Whole,pxweb.bfs.admin.ch / ACEA,10.0,2.0,307.0,12561.0,6295.0,106.0,19281.0,
2010-02,monthly,Whole,https://www.pxweb.bfs.admin.ch/pxweb/de/px-x-1103020200_101/px-x-1103020200_101/px-x-1103020200_101.px/table/tableViewLayout1/,7.0,1.0,245.0,12645.0,5923.0,78.0,18899.0,
2010-03,monthly,Whole,pxweb.bfs.admin.ch / ACEA,10.0,1.0,354.0,20136.0,8160.0,149.0,28810.0,
2010-04,monthly,Whole,pxweb.bfs.admin.ch / ACEA,6.0,3.0,308.0,18581.0,7087.0,70.0,26055.0,
2010-05,monthly,Whole,pxweb.bfs.admin.ch / ACEA,5.0,2.0,446.0,17554.0,7008.0,97.0,25112.0,
2010-06,monthly,Whole,pxweb.bfs.admin.ch / ACEA,65.0,3.0,400.0,22357.0,9035.0,100.0,31960.0,
2010-07,monthly,Whole,pxweb.bfs.admin.ch / ACEA,13.0,5.0,377.0,17350.0,7834.0,80.0,25659.0,
2010-08,monthly,Whole,pxweb.bfs.admin.ch / ACEA,19.0,1.0,354.0,13650.0,6035.0,65.0,20124.0,
2010-09,monthly,Whole,pxweb.bfs.admin.ch / ACEA,9.0,5.0,313.0,15016.0,6931.0,75.0,22349.0,
2010-10,monthly,Whole,pxweb.bfs.admin.ch / ACEA,15.0,3.0,349.0,16251.0,8069.0,49.0,24736.0,
2010-11,monthly,Whole,pxweb.bfs.admin.ch / ACEA,16.0,1.0,389.0,16223.0,8449.0,64.0,25142.0,
2010-12,monthly,Whole,pxweb.bfs.admin.ch / ACEA,26.0,6.0,375.0,18252.0,9721.0,90.0,28470.0,
2011-01,monthly,Whole,pxweb.bfs.admin.ch / ACEA,38.0,6.0,300.0,13435.0,7583.0,75.0,21437.0,
2011-02,monthly,Whole,pxweb.bfs.admin.ch / ACEA,32.0,8.0,404.0,15101.0,7653.0,88.0,23286.0,
2011-03,monthly,Whole,pxweb.bfs.admin.ch / ACEA,67.0,15.0,551.0,20779.0,9821.0,149.0,31382.0,
2011-04,monthly,Whole,pxweb.bfs.admin.ch / ACEA,39.0,10.0,586.0,19068.0,8706.0,87.0,28496.0,
2011-05,monthly,Whole,pxweb.bfs.admin.ch / ACEA,39.0,11.0,396.0,19668.0,10069.0,141.0,30324.0,
2011-06,monthly,Whole,pxweb.bfs.admin.ch / ACEA,40.0,8.0,425.0,18922.0,9349.0,118.0,28862.0,
2011-07,monthly,Whole,pxweb.bfs.admin.ch / ACEA,27.0,8.0,252.0,17088.0,8800.0,105.0,26280.0,
2011-08,monthly,Whole,pxweb.bfs.admin.ch / ACEA,23.0,7.0,413.0,14664.0,7448.0,88.0,22643.0,
2011-09,monthly,Whole,pxweb.bfs.admin.ch / ACEA,49.0,17.0,531.0,17958.0,8839.0,70.0,27464.0,
2011-10,monthly,Whole,pxweb.bfs.admin.ch / ACEA,16.0,11.0,490.0,17855.0,9294.0,63.0,27729.0,
2011-11,monthly,Whole,pxweb.bfs.admin.ch / ACEA,55.0,13.0,476.0,18239.0,10591.0,88.0,29462.0,
2011-12,monthly,Whole,pxweb.bfs.admin.ch / ACEA,27.0,6.0,518.0,18763.0,11171.0,105.0,30590.0,
2012-01,monthly,Whole,pxweb.bfs.admin.ch / ACEA,51.0,9.0,281.0,14671.0,9812.0,98.0,24922.0,
2012-02,monthly,Whole,pxweb.bfs.admin.ch / ACEA,25.0,18.0,303.0,14781.0,9271.0,63.0,24461.0,
2012-03,monthly,Whole,pxweb.bfs.admin.ch / ACEA,90.0,23.0,608.0,21340.0,11790.0,113.0,33964.0,
2012-04,monthly,Whole,pxweb.bfs.admin.ch / ACEA,114.0,16.0,568.0,18173.0,10416.0,86.0,29373.0,
2012-05,monthly,Whole,pxweb.bfs.admin.ch / ACEA,92.0,15.0,510.0,18230.0,11178.0,86.0,30111.0,
2012-06,monthly,Whole,pxweb.bfs.admin.ch / ACEA,75.0,16.0,729.0,25504.0,14533.0,90.0,40947.0,
2012-07,monthly,Whole,pxweb.bfs.admin.ch / ACEA,68.0,17.0,570.0,14864.0,8920.0,48.0,24487.0,
2012-08,monthly,Whole,pxweb.bfs.admin.ch / ACEA,56.0,23.0,595.0,12898.0,8590.0,43.0,22205.0,
2012-09,monthly,Whole,pxweb.bfs.admin.ch / ACEA,107.0,29.0,573.0,12201.0,8322.0,85.0,21317.0,
2012-10,monthly,Whole,pxweb.bfs.admin.ch / ACEA,95.0,21.0,705.0,15207.0,10538.0,65.0,26631.0,
2012-11,monthly,Whole,pxweb.bfs.admin.ch / ACEA,60.0,19.0,593.0,15634.0,10473.0,90.0,26869.0,
2012-12,monthly,Whole,pxweb.bfs.admin.ch / ACEA,91.0,16.0,451.0,17073.0,11068.0,59.0,28758.0,
2013-01,monthly,Whole,pxweb.bfs.admin.ch / ACEA,66.0,25.0,527.0,12274.0,8915.0,65.0,21872.0,
2013-02,monthly,Whole,pxweb.bfs.admin.ch / ACEA,36.0,41.0,528.0,13114.0,8913.0,81.0,22713.0,
2013-03,monthly,Whole,pxweb.bfs.admin.ch / ACEA,70.0,45.0,789.0,17800.0,10444.0,72.0,29220.0,
2013-04,monthly,Whole,pxweb.bfs.admin.ch / ACEA,45.0,28.0,607.0,17461.0,10263.0,72.0,28476.0,
2013-05,monthly,Whole,pxweb.bfs.admin.ch / ACEA,67.0,27.0,520.0,16740.0,10032.0,82.0,27468.0,
2013-06,monthly,Whole,pxweb.bfs.admin.ch / ACEA,179.0,25.0,474.0,17854.0,10524.0,84.0,29140.0,
2013-07,monthly,Whole,pxweb.bfs.admin.ch / ACEA,107.0,34.0,524.0,15555.0,9991.0,70.0,26281.0,
2013-08,monthly,Whole,pxweb.bfs.admin.ch / ACEA,113.0,34.0,521.0,12860.0,7496.0,56.0,21080.0,
2013-09,monthly,Whole,pxweb.bfs.admin.ch / ACEA,135.0,50.0,494.0,13526.0,8416.0,85.0,22706.0,
2013-10,monthly,Whole,pxweb.bfs.admin.ch / ACEA,125.0,41.0,548.0,15598.0,10158.0,67.0,26537.0,
2013-11,monthly,Whole,pxweb.bfs.admin.ch / ACEA,176.0,73.0,496.0,14809.0,9289.0,101.0,24944.0,
2013-12,monthly,Whole,pxweb.bfs.admin.ch / ACEA,273.0,85.0,622.0,17479.0,11215.0,43.0,29717.0,
2014-01,monthly,Whole,pxweb.bfs.admin.ch / ACEA,109.0,54.0,409.0,12031.0,8343.0,31.0,20977.0,
2014-02,monthly,Whole,pxweb.bfs.admin.ch / ACEA,81.0,37.0,404.0,13115.0,8779.0,38.0,22454.0,
2014-03,monthly,Whole,pxweb.bfs.admin.ch / ACEA,237.0,53.0,643.0,16266.0,9616.0,64.0,26879.0,
2014-04,monthly,Whole,pxweb.bfs.admin.ch / ACEA,161.0,80.0,574.0,16991.0,10036.0,63.0,27905.0,
2014-05,monthly,Whole,pxweb.bfs.admin.ch / ACEA,170.0,40.0,537.0,15847.0,9429.0,68.0,26091.0,
2014-06,monthly,Whole,pxweb.bfs.admin.ch / ACEA,182.0,86.0,428.0,16993.0,10237.0,86.0,28012.0,
