period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2018-01,monthly,Whole,data.thaiauto.or.th,0.0,118.89948225129206,930.100517748708,2.0,89115.0,90166.0,
2018-02,monthly,Whole,https://data.thaiauto.or.th/auto/auto-stat/auto-registration/stat-auto-registration-energy-menu.html,3.0,143.83281625280847,1127.1671837471915,2.0,87839.0,89115.0,
2018-03,monthly,Whole,data.thaiauto.or.th,1.0,173.37239539023108,1362.627604609769,1.0,93722.0,95260.0,
2018-04,monthly,Whole,data.thaiauto.or.th,2.0,175.5882892922159,1385.411710707784,2.0,73858.0,75423.0,
2018-05,monthly,Whole,data.thaiauto.or.th,10.0,212.28932761061424,1683.7106723893858,0.0,89397.0,91303.0,
2018-06,monthly,Whole,data.thaiauto.or.th,4.0,251.03424137270622,2000.9657586272938,0.0,87586.0,89842.0,
2018-07,monthly,Whole,data.thaiauto.or.th,22.0,223.8616930493356,1793.1383069506644,0.0,77906.0,79945.0,
2018-08,monthly,Whole,data.thaiauto.or.th,37.0,233.26590880154822,1870.7340911984518,0.0,86994.0,89135.0,
2018-09,monthly,Whole,data.thaiauto.or.th,2.0,202.74461777670285,1623.2553822232971,0.0,78360.0,80188.0,
2018-10,monthly,Whole,data.thaiauto.or.th,2.0,190.44720369100833,1513.5527963089917,2.0,80680.0,82388.0,
2018-11,monthly,Whole,data.thaiauto.or.th,5.0,185.67212864441376,1460.3278713555862,3.0,78068.0,79722.0,
2018-12,monthly,Whole,data.thaiauto.or.th,21.0,136.26383526914992,1057.73616473085,0.0,59225.0,60440.0,
2019-01,monthly,Whole,data.thaiauto.or.th,8.0,274.7793590504225,2116.2206409495775,2.0,107783.0,110184.0,
2019-02,monthly,Whole,data.thaiauto.or.th,2.0,260.2071986444653,1988.7928013555347,0.0,91044.0,93295.0,
2019-03,monthly,Whole,data.thaiauto.or.th,1.0,266.70090433057226,2017.2990956694277,0.0,97119.0,99404.0,
2019-04,monthly,Whole,data.thaiauto.or.th,2.0,232.2809338371992,1736.7190661628008,3.0,82545.0,84519.0,
2019-05,monthly,Whole,data.thaiauto.or.th,22.0,257.5078544294606,2062.4921455705394,3.0,91643.0,93988.0,
2019-06,monthly,Whole,data.thaiauto.or.th,33.0,252.8347399819504,2062.1652600180496,1.0,85197.0,87546.0,
