period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2018-01,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,14,14,
2018-02,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,4,5,
2018-03,monthly,3-Wheelers,aiu.thaiauto.or.th,5,0,0,0,9,14,
2018-04,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,13,14,
2018-05,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,13,13,
2018-06,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,9,10,
2018-07,monthly,3-Wheelers,aiu.thaiauto.or.th,9,0,0,0,17,26,
2018-08,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,17,18,
2018-09,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,23,27,
2018-10,monthly,3-Wheelers,aiu.thaiauto.or.th,6,0,0,0,26,32,
2018-11,monthly,3-Wheelers,aiu.thaiauto.or.th,12,0,0,0,23,35,
2018-12,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,15,18,
2019-01,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,10,10,
2019-02,monthly,3-Wheelers,aiu.thaiauto.or.th,10,0,0,0,12,22,
2019-03,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,17,19,
2019-04,monthly,3-Wheelers,aiu.thaiauto.or.th,10,0,0,0,10,20,
2019-05,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,10,10,
2019-06,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,17,17,
2019-07,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,16,17,
2019-08,monthly,3-Wheelers,aiu.thaiauto.or.th,25,0,0,0,19,44,
2019-09,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,17,17,
2019-10,monthly,3-Wheelers,aiu.thaiauto.or.th,6,0,0,0,16,22,
2019-11,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,9,10,
2019-12,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,6,8,
2020-01,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,11,11,
2020-02,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,12,16,
2020-03,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,13,15,
2020-04,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,4,4,
2020-05,monthly,3-Wheelers,aiu.thaiauto.or.th,15,0,0,0,10,25,
2020-06,monthly,3-Wheelers,aiu.thaiauto.or.th,13,0,0,0,17,30,
2020-07,monthly,3-Wheelers,aiu.thaiauto.or.th,17,0,0,0,10,27,
2020-08,monthly,3-Wheelers,aiu.thaiauto.or.th,21,0,0,0,10,31,
2020-09,monthly,3-Wheelers,aiu.thaiauto.or.th,18,0,0,0,10,28,
2020-10,monthly,3-Wheelers,aiu.thaiauto.or.th,19,0,0,0,18,37,
2020-11,monthly,3-Wheelers,aiu.thaiauto.or.th,8,0,0,0,20,28,
2020-12,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,10,11,
2021-01,monthly,3-Wheelers,aiu.thaiauto.or.th,13,0,0,0,16,29,
2021-02,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,6,6,
2021-03,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,16,19,
2021-04,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,9,9,
2021-05,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,7,8,
2021-06,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,9,10,
2021-07,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,4,5,
2021-08,monthly,3-Wheelers,aiu.thaiauto.or.th,5,0,0,0,2,7,
2021-09,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,9,9,
2021-10,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,6,7,
2021-11,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,9,13,
2021-12,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,4,7,
2022-01,monthly,3-Wheelers,aiu.thaiauto.or.th,19,0,0,0,7,26,
2022-02,monthly,3-Wheelers,aiu.thaiauto.or.th,15,0,0,0,10,25,
2022-03,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,14,17,
2022-04,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,9,11,
2022-05,monthly,3-Wheelers,aiu.thaiauto.or.th,64,0,0,0,11,75,
2022-06,monthly,3-Wheelers,aiu.thaiauto.or.th,11,0,0,0,17,28,
2022-07,monthly,3-Wheelers,aiu.thaiauto.or.th,22,0,0,0,9,31,
2022-08,monthly,3-Wheelers,aiu.thaiauto.or.th,16,0,0,0,20,36,
2022-09,monthly,3-Wheelers,aiu.thaiauto.or.th,12,0,0,0,15,27,
2022-10,monthly,3-Wheelers,aiu.thaiauto.or.th,8,0,0,0,13,21,
2022-11,monthly,3-Wheelers,aiu.thaiauto.or.th,41,0,0,0,12,53,
2022-12,monthly,3-Wheelers,aiu.thaiauto.or.th,14,0,0,0,14,28,
2023-01,monthly,3-Wheelers,aiu.thaiauto.or.th,32,0,0,0,13,45,
2023-02,monthly,3-Wheelers,aiu.thaiauto.or.th,27,0,0,0,13,40,
2023-03,monthly,3-Wheelers,aiu.thaiauto.or.th,31,0,0,0,22,53,
2023-04,monthly,3-Wheelers,aiu.thaiauto.or.th,19,0,0,0,4,23,
2023-05,monthly,3-Wheelers,aiu.thaiauto.or.th,14,0,0,0,25,39,
2023-06,monthly,3-Wheelers,aiu.thaiauto.or.th,42,0,0,0,46,88,
2023-07,monthly,3-Wheelers,aiu.thaiauto.or.th,47,0,0,0,21,68,
2023-08,monthly,3-Wheelers,aiu.thaiauto.or.th,24,0,0,0,21,45,
2023-09,monthly,3-Wheelers,aiu.thaiauto.or.th,29,0,0,0,26,55,
2023-10,monthly,3-Wheelers,aiu.thaiauto.or.th,31,0,0,0,67,98,
2023-11,monthly,3-Wheelers,aiu.thaiauto.or.th,93,0,0,0,55,148,
2023-12,monthly,3-Wheelers,aiu.thaiauto.or.th,43,0,0,0,27,70,
2024-01,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,16,18,
2024-02,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,23,26,
2024-03,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,30,33,
2024-04,monthly,3-Wheelers,aiu.thaiauto.or.th,22,0,0,0,18,40,
2024-05,monthly,3-Wheelers,aiu.thaiauto.or.th,22,0,0,0,21,43,
2024-06,monthly,3-Wheelers,aiu.thaiauto.or.th,27,0,0,0,17,44,
2024-07,monthly,3-Wheelers,aiu.thaiauto.or.th,9,0,0,0,25,34,
2024-08,monthly,3-Wheelers,aiu.thaiauto.or.th,48,0,0,0,28,76,
2024-09,monthly,3-Wheelers,aiu.thaiauto.or.th,6,0,0,0,26,32,
2024-10,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,14,17,
2024-11,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,23,24,
2024-12,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,17,19,
2025-01,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,5,6,
2025-02,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,5,7,
2025-03,monthly,3-Wheelers,aiu.thaiauto.or.th,6,0,0,0,4,10,
2025-04,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,1,4,
2025-05,monthly,3-Wheelers,aiu.thaiauto.or.th,0,0,0,0,5,5,
2025-06,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,4,7,
2025-07,monthly,3-Wheelers,aiu.thaiauto.or.th,3,0,0,0,7,10,
2025-08,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,2,3,
2025-09,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,2,3,
2025-10,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,7,11,
2025-11,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,4,6,
2025-12,monthly,3-Wheelers,aiu.thaiauto.or.th,2,0,0,0,4,6,
2026-01,monthly,3-Wheelers,aiu.thaiauto.or.th,7,0,0,0,9,16,
2026-02,monthly,3-Wheelers,aiu.thaiauto.or.th,5,0,0,0,6,11,
2026-03,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,7,11,
2026-04,monthly,3-Wheelers,aiu.thaiauto.or.th,1,0,0,0,10,11,
2026-05,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,13,17,
2026-06,monthly,3-Wheelers,aiu.thaiauto.or.th,4,0,0,0,8,12,
2026-07,monthly,3-Wheelers,aiu.thaiauto.or.th,5,0,0,0,4,9,
