period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2018-01,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,939,939,
2018-02,monthly,Buses,aiu.thaiauto.or.th,4,0,0,0,978,982,
2018-03,monthly,Buses,aiu.thaiauto.or.th,19,0,0,0,1093,1112,
2018-04,monthly,Buses,aiu.thaiauto.or.th,4,0,0,0,831,835,
2018-05,monthly,Buses,aiu.thaiauto.or.th,7,0,0,0,1109,1116,
2018-06,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1202,1202,
2018-07,monthly,Buses,aiu.thaiauto.or.th,0,0,1,0,1058,1059,
2018-08,monthly,Buses,aiu.thaiauto.or.th,4,0,0,0,1067,1071,
2018-09,monthly,Buses,aiu.thaiauto.or.th,0,0,0,1,855,856,
2018-10,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1230,1230,
2018-11,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1320,1320,
2018-12,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1098,1098,
2019-01,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1054,1054,
2019-02,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,1061,1063,
2019-03,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1071,1071,
2019-04,monthly,Buses,aiu.thaiauto.or.th,10,0,0,0,914,924,
2019-05,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,852,854,
2019-06,monthly,Buses,aiu.thaiauto.or.th,10,0,0,0,822,832,
2019-07,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,1143,1143,
2019-08,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,1182,1183,
2019-09,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,1032,1033,
2019-10,monthly,Buses,aiu.thaiauto.or.th,4,0,0,0,1283,1287,
2019-11,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,879,881,
2019-12,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,949,950,
2020-01,monthly,Buses,aiu.thaiauto.or.th,0,0,0,1,900,901,
2020-02,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,758,758,
2020-03,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,839,840,
2020-04,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,346,346,
2020-05,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,363,364,
2020-06,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,712,712,
2020-07,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,627,627,
2020-08,monthly,Buses,aiu.thaiauto.or.th,0,0,0,1,511,512,
2020-09,monthly,Buses,aiu.thaiauto.or.th,0,0,1,0,515,516,
2020-10,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,479,479,
2020-11,monthly,Buses,aiu.thaiauto.or.th,0,0,0,1,392,393,
2020-12,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,329,329,
2021-01,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,306,306,
2021-02,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,444,444,
2021-03,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,287,287,
2021-04,monthly,Buses,aiu.thaiauto.or.th,0,0,0,2,253,255,
2021-05,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,212,212,
2021-06,monthly,Buses,aiu.thaiauto.or.th,3,0,0,0,326,329,
2021-07,monthly,Buses,aiu.thaiauto.or.th,1,0,0,0,271,272,
2021-08,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,192,192,
2021-09,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,297,297,
2021-10,monthly,Buses,aiu.thaiauto.or.th,68,0,0,0,198,266,
2021-11,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,301,303,
2021-12,monthly,Buses,aiu.thaiauto.or.th,45,0,0,0,333,378,
2022-01,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,306,306,
2022-02,monthly,Buses,aiu.thaiauto.or.th,7,0,0,0,221,228,
2022-03,monthly,Buses,aiu.thaiauto.or.th,12,0,0,0,248,260,
2022-04,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,239,239,
2022-05,monthly,Buses,aiu.thaiauto.or.th,30,0,0,0,267,297,
2022-06,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,277,277,
2022-07,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,330,330,
2022-08,monthly,Buses,aiu.thaiauto.or.th,52,0,0,0,396,448,
2022-09,monthly,Buses,aiu.thaiauto.or.th,158,0,0,0,427,585,
2022-10,monthly,Buses,aiu.thaiauto.or.th,161,0,1,0,405,567,
2022-11,monthly,Buses,aiu.thaiauto.or.th,221,0,0,0,405,626,
2022-12,monthly,Buses,aiu.thaiauto.or.th,335,0,0,0,517,852,
2023-01,monthly,Buses,aiu.thaiauto.or.th,160,0,0,0,439,599,
2023-02,monthly,Buses,aiu.thaiauto.or.th,200,0,0,0,468,668,
2023-03,monthly,Buses,aiu.thaiauto.or.th,250,0,0,0,550,800,
2023-04,monthly,Buses,aiu.thaiauto.or.th,93,0,0,0,475,568,
2023-05,monthly,Buses,aiu.thaiauto.or.th,133,0,0,1,647,781,
2023-06,monthly,Buses,aiu.thaiauto.or.th,256,0,0,0,612,868,
2023-07,monthly,Buses,aiu.thaiauto.or.th,34,0,0,0,656,690,
2023-08,monthly,Buses,aiu.thaiauto.or.th,9,0,0,0,591,600,
2023-09,monthly,Buses,aiu.thaiauto.or.th,10,0,0,0,672,682,
2023-10,monthly,Buses,aiu.thaiauto.or.th,66,0,0,0,692,758,
2023-11,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,610,610,
2023-12,monthly,Buses,aiu.thaiauto.or.th,7,0,0,0,612,619,
2024-01,monthly,Buses,aiu.thaiauto.or.th,21,0,0,0,629,650,
2024-02,monthly,Buses,aiu.thaiauto.or.th,18,0,0,1,433,452,
2024-03,monthly,Buses,aiu.thaiauto.or.th,7,0,0,0,408,415,
2024-04,monthly,Buses,aiu.thaiauto.or.th,61,0,0,0,404,465,
2024-05,monthly,Buses,aiu.thaiauto.or.th,74,0,0,0,522,596,
2024-06,monthly,Buses,aiu.thaiauto.or.th,27,0,0,0,403,430,
2024-07,monthly,Buses,aiu.thaiauto.or.th,16,0,0,0,530,546,
2024-08,monthly,Buses,aiu.thaiauto.or.th,13,0,0,0,537,550,
2024-09,monthly,Buses,aiu.thaiauto.or.th,44,0,0,0,462,506,
2024-10,monthly,Buses,aiu.thaiauto.or.th,7,0,0,0,440,447,
2024-11,monthly,Buses,aiu.thaiauto.or.th,8,0,0,0,489,497,
2024-12,monthly,Buses,aiu.thaiauto.or.th,79,0,0,0,439,518,
2025-01,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,185,187,
2025-02,monthly,Buses,aiu.thaiauto.or.th,8,0,0,0,193,201,
2025-03,monthly,Buses,aiu.thaiauto.or.th,37,0,0,0,247,284,
2025-04,monthly,Buses,aiu.thaiauto.or.th,3,0,0,0,177,180,
2025-05,monthly,Buses,aiu.thaiauto.or.th,2,0,0,0,156,158,
2025-06,monthly,Buses,aiu.thaiauto.or.th,10,0,0,0,158,168,
2025-07,monthly,Buses,aiu.thaiauto.or.th,6,0,0,0,193,199,
2025-08,monthly,Buses,aiu.thaiauto.or.th,19,0,0,0,217,236,
2025-09,monthly,Buses,aiu.thaiauto.or.th,13,0,0,0,226,239,
2025-10,monthly,Buses,aiu.thaiauto.or.th,0,0,0,0,171,171,
2025-11,monthly,Buses,aiu.thaiauto.or.th,27,0,0,0,182,209,
2025-12,monthly,Buses,aiu.thaiauto.or.th,4,0,0,0,217,221,
2026-01,monthly,Buses,aiu.thaiauto.or.th,3,0,0,0,521,524,
2026-02,monthly,Buses,aiu.thaiauto.or.th,16,0,0,0,227,243,
2026-03,monthly,Buses,aiu.thaiauto.or.th,33,0,0,0,250,283,
2026-04,monthly,Buses,aiu.thaiauto.or.th,10,0,0,0,240,250,
2026-05,monthly,Buses,aiu.thaiauto.or.th,6,0,0,0,109,115,
2026-06,monthly,Buses,aiu.thaiauto.or.th,11,0,0,0,97,108,
