period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2018-01,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1504,4227,5731,
2018-02,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1350,4321,5671,
2018-03,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1440,4450,5890,
2018-04,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1396,4084,5480,
2018-05,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1697,4557,6254,
2018-06,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1464,4265,5729,
2018-07,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1676,4499,6175,
2018-08,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1633,4713,6346,
2018-09,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1342,4031,5373,
2018-10,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1860,4762,6622,
2018-11,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1746,4632,6378,
2018-12,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1110,3646,4756,
2019-01,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1654,4630,6284,
2019-02,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1251,3930,5181,
2019-03,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1352,4262,5614,
2019-04,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1427,4080,5507,
2019-05,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1486,4611,6097,
2019-06,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1269,3933,5202,
2019-07,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1622,4818,6440,
2019-08,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1685,4790,6475,
2019-09,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1336,4112,5448,
2019-10,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1552,4588,6140,
2019-11,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1398,4212,5610,
2019-12,monthly,HDV,aiu.thaiauto.or.th,0,0,0,940,3546,4486,
2020-01,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1303,4362,5665,
2020-02,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1122,3886,5008,
2020-03,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1229,4462,5691,
2020-04,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1045,3327,4372,
2020-05,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1039,3292,4331,
2020-06,monthly,HDV,aiu.thaiauto.or.th,0,0,0,917,3552,4469,
2020-07,monthly,HDV,aiu.thaiauto.or.th,0,0,0,1162,4091,5253,
