period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2016-01,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-02,yearly,Whole,https://veriportali.tuik.gov.tr/tr/search?q=Motorlu+Kara+Ta%C5%9F%C4%B1tlar%C4%B1+Mart+2026&year=2026,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-03,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-04,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-05,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-06,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-07,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-08,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-09,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-10,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,79.16666666666667,,,,55092.99753111655,
2016-11,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,370.9166666666667,,,,55092.99753111655,
2016-12,yearly,Whole,data.tuik.gov.tr/,3.6666666666666665,370.9166666666667,,,,55092.99753111655,
2017-01,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-02,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-03,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-04,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-05,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-06,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-07,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-08,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-09,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-10,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-11,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2017-12,yearly,Whole,data.tuik.gov.tr/,6.416666666666667,370.9166666666667,,,,55092.99753111655,
2018-01,yearly,Whole,data.tuik.gov.tr/,9.0,517.0,,,,57503.0,
2018-02,yearly,Whole,data.tuik.gov.tr/,5.0,296.0,,,,57503.0,
2018-03,yearly,Whole,data.tuik.gov.tr/,44.0,276.0,,,,57503.0,
2018-04,yearly,Whole,data.tuik.gov.tr/,21.0,400.0,,,,57503.0,
2018-05,yearly,Whole,data.tuik.gov.tr/,23.0,354.0,,,,57503.0,
2018-06,yearly,Whole,data.tuik.gov.tr/,24.0,290.0,,,,57503.0,
2018-07,yearly,Whole,data.tuik.gov.tr/,6.0,659.8685544,,,,57503.0,
2018-08,yearly,Whole,data.tuik.gov.tr/,8.0,724.1349851,,,,57503.0,
2018-09,yearly,Whole,data.tuik.gov.tr/,11.0,753.3681119,,,,57503.0,
2018-10,yearly,Whole,data.tuik.gov.tr/,4.0,792.8220979,,,,57503.0,
2018-11,yearly,Whole,data.tuik.gov.tr/,10.0,812.5943357,,,,57503.0,
2018-12,yearly,Whole,data.tuik.gov.tr/,27.0,877.1603499,,,,57503.0,
2019-01,monthly,Whole,data.tuik.gov.tr/,4.0,131.0,,,,44406.0,
2019-02,monthly,Whole,data.tuik.gov.tr/,13.0,528.0,,,,18464.0,
2019-03,monthly,Whole,data.tuik.gov.tr/,35.0,1174.0,,,,32713.0,
2019-04,monthly,Whole,data.tuik.gov.tr/,22.0,958.0,,,,29927.0,
2019-05,monthly,Whole,data.tuik.gov.tr/,17.0,1069.0,,,,27136.0,
2019-06,monthly,Whole,data.tuik.gov.tr/,27.0,951.0,,,,18249.0,
2019-07,monthly,Whole,data.tuik.gov.tr/,7.0,1329.122449,,,,38484.0,
2019-08,monthly,Whole,data.tuik.gov.tr/,18.0,1334.857143,,,,19463.0,
2019-09,monthly,Whole,data.tuik.gov.tr/,27.0,1481.0,,,,28744.0,
2019-10,monthly,Whole,data.tuik.gov.tr/,1.0,1064.0,,,,43393.0,
2019-11,monthly,Whole,data.tuik.gov.tr/,18.0,1642.0,,,,43992.0,
2019-12,monthly,Whole,data.tuik.gov.tr/,40.0,1653.0,,,,41777.0,
2020-01,monthly,Whole,data.tuik.gov.tr/,9.0,797.0,,,,66001.0,
2020-02,monthly,Whole,data.tuik.gov.tr/,63.0,1332.0,,,,32053.0,
2020-03,monthly,Whole,data.tuik.gov.tr/,39.0,1375.0,,,,43300.0,
2020-04,monthly,Whole,data.tuik.gov.tr/,9.0,330.0,,,,19660.0,
2020-05,monthly,Whole,data.tuik.gov.tr/,12.0,488.0,,,,22748.0,
2020-06,monthly,Whole,data.tuik.gov.tr/,48.0,1382.0,,,,31360.0,
2020-07,monthly,Whole,data.tuik.gov.tr/,14.0,2418.0,,,,83119.0,
2020-08,monthly,Whole,data.tuik.gov.tr/,21.0,1164.0,29374.0,23612.0,2149.0,56592.0,
2020-09,monthly,Whole,data.tuik.gov.tr/,71.0,2551.0,29374.0,21060.0,1649.0,54705.0,
2020-10,monthly,Whole,data.tuik.gov.tr/,76.0,3560.0,37162.0,27240.0,2896.0,70934.0,
2020-11,monthly,Whole,data.tuik.gov.tr/,255.0,3948.0,31693.0,28443.0,2226.0,66565.0,
2020-12,monthly,Whole,data.tuik.gov.tr/,274.0,3758.0,28745.0,19379.0,2332.0,54488.0,
2021-01,monthly,Whole,data.tuik.gov.tr/,83.0,3467.0,39474.0,26732.0,4749.0,74505.0,
2021-02,monthly,Whole,data.tuik.gov.tr/,55.0,3834.0,23693.0,13072.0,2075.0,42729.0,
2021-03,monthly,Whole,data.tuik.gov.tr/,174.0,5423.0,50915.0,18500.0,4990.0,80002.0,
