period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2015-01,monthly,Whole,SMMT,512.0,1203.0,2883.0,0.0,0.0,,164856.0,
2015-02,monthly,Whole,SMMT,216.0,512.0,1134.0,0.0,0.0,,76958.0,
2015-03,monthly,Whole,SMMT,1905.0,4209.0,8221.0,0.0,0.0,,492774.0,
2015-04,monthly,Whole,SMMT,515.0,975.0,3523.0,0.0,0.0,,185778.0,
2015-05,monthly,Whole,SMMT,624.0,1248.0,3153.0,0.0,0.0,,198706.0,
2015-06,monthly,Whole,SMMT,909.0,1394.0,4807.0,0.0,0.0,,257817.0,
2015-07,monthly,Whole,SMMT,420.0,1169.0,2725.0,0.0,0.0,,178420.0,
2015-08,monthly,Whole,SMMT,301.0,578.0,1039.0,0.0,0.0,,79060.0,
2015-09,monthly,Whole,SMMT,1549.0,2363.0,8201.0,0.0,0.0,,462517.0,
2015-10,monthly,Whole,SMMT,686.0,1142.0,3532.0,0.0,0.0,,177664.0,
2015-11,monthly,Whole,SMMT,780.0,1496.0,3050.0,0.0,0.0,,178876.0,
2015-12,monthly,Whole,SMMT,1517.0,1573.0,2713.0,0.0,0.0,,180077.0,
2016-01,monthly,Whole,SMMT,584.0,1683.0,3800.0,0.0,0.0,,169678.0,
2016-02,monthly,Whole,SMMT,239.0,999.0,983.0,0.0,0.0,,83395.0,
2016-03,monthly,Whole,SMMT,2341.0,5193.0,9878.0,0.0,0.0,,518707.0,
2016-04,monthly,Whole,SMMT,580.0,2282.0,3499.0,0.0,0.0,,189505.0,
2016-05,monthly,Whole,SMMT,517.0,1846.0,3267.0,0.0,0.0,,203585.0,
2016-06,monthly,Whole,SMMT,1006.0,2226.0,5079.0,0.0,0.0,,255766.0,
2016-07,monthly,Whole,SMMT,419.0,1850.0,3110.0,0.0,0.0,,178523.0,
2016-08,monthly,Whole,SMMT,293.0,877.0,1337.0,0.0,0.0,,81640.0,
2016-09,monthly,Whole,SMMT,2128.0,4192.0,9731.0,0.0,0.0,,469696.0,
2016-10,monthly,Whole,SMMT,394.0,1882.0,3745.0,0.0,0.0,,180168.0,
2016-11,monthly,Whole,SMMT,605.0,1958.0,4098.0,0.0,0.0,,184101.0,
2016-12,monthly,Whole,SMMT,1158.0,1838.0,3270.0,0.0,0.0,,178022.0,
2017-01,monthly,Whole,SMMT,1010.0,1563.0,4688.0,0.0,0.0,,176470.0,
2017-02,monthly,Whole,SMMT,483.0,829.0,1996.0,0.0,0.0,,83115.0,
2017-03,monthly,Whole,SMMT,3141.0,4946.0,14729.0,0.0,0.0,,562337.0,
2017-04,monthly,Whole,SMMT,668.0,2048.0,3557.0,0.0,0.0,,152076.0,
2017-05,monthly,Whole,SMMT,926.0,2191.0,5141.0,0.0,0.0,,186265.0,
2017-06,monthly,Whole,SMMT,1466.0,2978.0,6275.0,0.0,0.0,,243454.0,
2017-07,monthly,Whole,SMMT,860.0,2643.0,5367.0,0.0,0.0,,161997.0,
2017-08,monthly,Whole,SMMT,476.0,1215.0,2277.0,0.0,0.0,,76433.0,
2017-09,monthly,Whole,SMMT,2097.0,5764.0,14758.0,0.0,0.0,,426170.0,
2017-10,monthly,Whole,SMMT,672.0,2764.0,4806.0,0.0,0.0,,160700.0,
2017-11,monthly,Whole,SMMT,834.0,3164.0,4869.0,0.0,0.0,,166316.0,
2017-12,monthly,Whole,SMMT,964.0,3462.0,4158.0,0.0,0.0,,152473.0,
2018-01,monthly,Whole,SMMT,635.0,2688.0,5396.0,102835.7326,52060.26744,0.0,163615.0,
2018-02,monthly,Whole,SMMT,355.0,1190.0,1829.0,50477.02342,26953.97658,0.0,80805.0,
2018-03,monthly,Whole,SMMT,2904.0,6389.0,14219.0,296849.5064,153707.4936,0.0,474069.0,
2018-04,monthly,Whole,SMMT,929.0,2929.0,5219.0,107409.0,51400.0,0.0,167911.0,
2018-05,monthly,Whole,SMMT,1099.0,3973.0,5800.0,121137.4836,60639.51643,0.0,192649.0,
2018-06,monthly,Whole,SMMT,1519.0,4571.0,9006.0,145465.0,74381.0,0.0,234945.0,
2018-07,monthly,Whole,SMMT,881.0,3503.0,5783.0,101419.0,52313.0,0.0,163898.0,
2018-08,monthly,Whole,SMMT,659.0,3215.0,2947.0,59273.0,28000.0,0.0,94094.0,
2018-09,monthly,Whole,SMMT,2290.0,5179.0,16827.0,217303.0,98191.0,0.0,338834.0,
2018-10,monthly,Whole,SMMT,1256.0,3173.0,6168.0,93941.0,49061.0,0.0,153599.0,
2018-11,monthly,Whole,SMMT,1414.0,3236.0,6118.0,96441.0,51429.0,0.0,158639.0,
2018-12,monthly,Whole,SMMT,1534.0,3679.0,3676.0,92731.0,42463.0,0.0,144089.0,
2019-01,monthly,Whole,SMMT,1334.0,2268.0,7412.0,100822.0946,49176.90537,0.0,161013.0,
2019-02,monthly,Whole,SMMT,731.0,1373.0,2417.0,51438.31068,26009.68932,0.0,81969.0,
2019-03,monthly,Whole,SMMT,3932.0,4941.0,16429.0,288023.8615,144728.1385,0.0,458054.0,
2019-04,monthly,Whole,SMMT,1522.0,1922.0,6810.0,104221.0,46589.0,0.0,161064.0,
2019-05,monthly,Whole,SMMT,1990.0,2362.0,7785.0,115329.3572,56257.64278,0.0,183724.0,
2019-06,monthly,Whole,SMMT,2461.0,2268.0,8585.0,150297.0,59810.0,0.0,223421.0,
2019-07,monthly,Whole,SMMT,2271.0,1764.0,7758.0,104073.0,41332.0,0.0,157198.0,
2019-08,monthly,Whole,SMMT,3147.0,907.0,4014.0,59507.0,24998.0,0.0,92573.0,
2019-09,monthly,Whole,SMMT,7704.0,5179.0,16932.0,229062.0,84378.0,0.0,343255.0,
2019-10,monthly,Whole,SMMT,3162.0,3119.0,7950.0,91103.0,37917.0,0.0,143251.0,
2019-11,monthly,Whole,SMMT,4652.0,4362.0,7038.0,99865.0,40704.0,0.0,156621.0,
2019-12,monthly,Whole,SMMT,4939.0,4480.0,4941.0,97431.0,37206.0,0.0,148997.0,
2020-01,monthly,Whole,SMMT,4054.0,4786.0,8971.0,97272.0,34196.0,0.0,149279.0,
2020-02,monthly,Whole,SMMT,2508.0,2058.0,4154.0,51527.0,19347.0,0.0,79594.0,
2020-03,monthly,Whole,SMMT,11694.0,6872.0,15211.0,165882.0,55025.0,0.0,254684.0,
2020-04,monthly,Whole,SMMT,1374.0,95.0,48.0,1650.0,1154.0,0.0,4321.0,
2020-05,monthly,Whole,SMMT,2424.0,827.0,649.0,12132.0,4215.0,0.0,20247.0,
2020-06,monthly,Whole,SMMT,8903.0,4940.0,10225.0,94405.0,26904.0,0.0,145377.0,
2020-07,monthly,Whole,SMMT,8162.0,7489.0,12737.0,111645.0,34854.0,0.0,174887.0,
2020-08,monthly,Whole,SMMT,5589.0,2933.0,5531.0,55904.0,17269.0,0.0,87226.0,
2020-09,monthly,Whole,SMMT,21903.0,12454.0,26290.0,206914.0,60480.0,0.0,328041.0,
2020-10,monthly,Whole,SMMT,9335.0,7794.0,11019.0,85727.0,27070.0,0.0,140945.0,
2020-11,monthly,Whole,SMMT,10345.0,7727.0,7106.0,67959.0,20644.0,0.0,113781.0,
2020-12,monthly,Whole,SMMT,21914.0,9130.0,7948.0,72123.0,21567.0,0.0,132682.0,
