period,time_interval,variant,source,BEV,PHEV,HEV,OTHERS,ICE,TOTAL,notes
2011-01,monthly,Whole,ANL,103.0,321.0,19540.0,0.0,799974.0,819938.0,
2011-02,monthly,Whole,https://www.anl.gov/esia/reference/light-duty-electric-drive-vehicles-monthly-sales-updates-historical-data,83.0,281.0,23306.0,0.0,969865.0,993535.0,
2011-03,monthly,Whole,https://dbedt.hawaii.gov/economic/energy-trends-2/,298.0,608.0,34533.0,0.0,1211229.0,1246668.0,
2011-04,monthly,Whole,ANL,573.0,493.0,25602.0,0.0,1131260.0,1157928.0,
2011-05,monthly,Whole,ANL,1150.0,481.0,17419.0,0.0,1042791.0,1061841.0,
2011-06,monthly,Whole,ANL,1708.0,561.0,12655.0,0.0,1038490.0,1053414.0,
2011-07,monthly,Whole,ANL,932.0,125.0,19621.0,0.0,1039052.0,1059730.0,
2011-08,monthly,Whole,ANL,1363.0,302.0,21181.0,0.0,1049533.0,1072379.0,
2011-09,monthly,Whole,ANL,1031.0,723.0,17625.0,0.0,1034382.0,1053761.0,
2011-10,monthly,Whole,ANL,866.0,1108.0,20257.0,0.0,998954.0,1021185.0,
2011-11,monthly,Whole,ANL,773.0,1139.0,26110.0,0.0,966764.0,994786.0,
2011-12,monthly,Whole,ANL,1212.0,1529.0,31100.0,0.0,1209943.0,1243784.0,
2012-01,monthly,Whole,ANL,824.0,603.0,21779.0,0.0,890078.0,913284.0,
2012-02,monthly,Whole,ANL,639.0,1023.0,36222.0,0.0,1111548.0,1149432.0,
2012-03,monthly,Whole,ANL,961.0,3200.0,48206.0,0.0,1352256.0,1404623.0,
2012-04,monthly,Whole,ANL,479.0,3116.0,39901.0,0.0,1141071.0,1184567.0,
2012-05,monthly,Whole,ANL,612.0,2766.0,37184.0,0.0,1294080.0,1334642.0,
2012-06,monthly,Whole,ANL,863.0,2455.0,34558.0,0.0,1247623.0,1285499.0,
2012-07,monthly,Whole,ANL,479.0,2537.0,31611.0,0.0,1119132.0,1153759.0,
2012-08,monthly,Whole,ANL,866.0,3878.0,38369.0,0.0,1242179.0,1285292.0,
2012-09,monthly,Whole,ANL,1306.0,4503.0,34836.0,0.0,1148254.0,1188899.0,
2012-10,monthly,Whole,ANL,2240.0,4994.0,33290.0,0.0,1051770.0,1092294.0,
2012-11,monthly,Whole,ANL,2614.0,4544.0,35002.0,0.0,1101756.0,1143916.0,
2012-12,monthly,Whole,ANL,2704.0,4965.0,43690.0,0.0,1304711.0,1356070.0,
2013-01,monthly,Whole,ANL,2372.0,2354.0,34611.0,0.0,1003901.0,1043238.0,
2013-02,monthly,Whole,ANL,2666.0,2789.0,40173.0,0.0,1146671.0,1192299.0,
2013-03,monthly,Whole,ANL,4553.0,3079.0,46327.0,0.0,1399079.0,1453038.0,
2013-04,monthly,Whole,ANL,4403.0,2735.0,42804.0,0.0,1235504.0,1285446.0,
2013-05,monthly,Whole,ANL,4545.0,3209.0,48796.0,0.0,1386761.0,1443311.0,
2013-06,monthly,Whole,ANL,4573.0,4169.0,44924.0,0.0,1349455.0,1403121.0,
2013-07,monthly,Whole,ANL,3943.0,3499.0,45494.0,0.0,1260908.0,1313844.0,
2013-08,monthly,Whole,ANL,4956.0,6407.0,53020.0,0.0,1436911.0,1501294.0,
2013-09,monthly,Whole,ANL,3650.0,4477.0,33576.0,0.0,1095503.0,1137206.0,
2013-10,monthly,Whole,ANL,3733.0,6367.0,33570.0,0.0,1162512.0,1206182.0,
2013-11,monthly,Whole,ANL,3930.0,4903.0,36085.0,0.0,1198934.0,1243852.0,
2013-12,monthly,Whole,ANL,4770.0,5020.0,36155.0,0.0,1312789.0,1358734.0,
2014-01,monthly,Whole,ANL,2971.0,2934.0,27555.0,0.0,977727.0,1011187.0,
2014-02,monthly,Whole,ANL,3324.0,3721.0,30561.0,0.0,1154861.0,1192467.0,
2014-03,monthly,Whole,ANL,4578.0,4594.0,43790.0,0.0,1484308.0,1537270.0,
2014-04,monthly,Whole,ANL,4187.0,4718.0,39430.0,0.0,1342968.0,1391303.0,
2014-05,monthly,Whole,ANL,5802.0,6651.0,52227.0,0.0,1544998.0,1609678.0,
2014-06,monthly,Whole,ANL,4982.0,6511.0,39225.0,0.0,1371245.0,1421963.0,
2014-07,monthly,Whole,ANL,5693.0,5740.0,44488.0,0.0,1379884.0,1435805.0,
2014-08,monthly,Whole,ANL,6483.0,4920.0,48208.0,0.0,1526763.0,1586374.0,
2014-09,monthly,Whole,ANL,5983.0,3357.0,31385.0,0.0,1205061.0,1245786.0,
2014-10,monthly,Whole,ANL,5927.0,3735.0,30892.0,0.0,1240578.0,1281132.0,
2014-11,monthly,Whole,ANL,6176.0,3609.0,31109.0,0.0,1261761.0,1302655.0,
2014-12,monthly,Whole,ANL,7419.0,3867.0,33302.0,0.0,1463340.0,1507928.0,
2015-01,monthly,Whole,ANL,3977.0,2113.0,25312.0,0.0,1121078.0,1152480.0,
2015-02,monthly,Whole,ANL,4436.0,2589.0,27038.0,0.0,1224507.0,1258570.0,
2015-03,monthly,Whole,ANL,5715.0,3020.0,33654.0,0.0,1503321.0,1545710.0,
