period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-09,monthly,Whole,MIA HSC (data.gov.ua),17.0,142.0,3435.0,2269.0,334.0,6197.0,
2018-10,monthly,Whole,MIA HSC (data.gov.ua),28.0,180.0,3780.0,2536.0,376.0,6900.0,
2018-11,monthly,Whole,MIA HSC (data.gov.ua),49.0,194.0,3809.0,2524.0,356.0,6932.0,
2018-12,monthly,Whole,MIA HSC (data.gov.ua),36.0,137.0,3564.0,2409.0,311.0,6457.0,
2019-01,monthly,Whole,MIA HSC (data.gov.ua),34.0,130.0,2784.0,2043.0,303.0,5294.0,
2019-02,monthly,Whole,MIA HSC (data.gov.ua),15.0,220.0,3144.0,1959.0,372.0,5710.0,
2019-03,monthly,Whole,MIA HSC (data.gov.ua),25.0,220.0,4042.0,2449.0,386.0,7122.0,
2019-04,monthly,Whole,MIA HSC (data.gov.ua),37.0,241.0,3660.0,2263.0,350.0,6551.0,MIA extract has no records after 2019-04-27 (month ends 2019-04-30)
2019-05,monthly,Whole,MIA HSC (data.gov.ua),37.0,443.0,3640.0,2296.0,377.0,6793.0,
2019-06,monthly,Whole,MIA HSC (data.gov.ua),34.0,290.0,3729.0,2192.0,453.0,6698.0,
2019-07,monthly,Whole,MIA HSC (data.gov.ua),46.0,168.0,4555.0,2654.0,433.0,7856.0,
2019-08,monthly,Whole,MIA HSC (data.gov.ua),43.0,316.0,4941.0,2769.0,466.0,8535.0,
2019-09,monthly,Whole,MIA HSC (data.gov.ua),57.0,213.0,3910.0,2617.0,456.0,7253.0,MIA extract has no records after 2019-09-29 (month ends 2019-09-30)
2019-10,monthly,Whole,MIA HSC (data.gov.ua),44.0,340.0,4831.0,3201.0,825.0,9241.0,
2019-11,monthly,Whole,MIA HSC (data.gov.ua),36.0,323.0,4683.0,3164.0,615.0,8821.0,
2019-12,monthly,Whole,MIA HSC (data.gov.ua),40.0,377.0,5356.0,3370.0,544.0,9687.0,MIA extract has no records after 2019-12-29 (month ends 2019-12-31)
2020-01,monthly,Whole,MIA HSC (data.gov.ua),39.0,301.0,4668.0,2270.0,76.0,7354.0,
2020-02,monthly,Whole,MIA HSC (data.gov.ua),28.0,279.0,4436.0,2095.0,102.0,6940.0,
2020-03,monthly,Whole,MIA HSC (data.gov.ua),54.0,190.0,4136.0,2074.0,88.0,6542.0,
2020-04,monthly,Whole,MIA HSC (data.gov.ua),37.0,194.0,2083.0,1363.0,90.0,3767.0,
2020-05,monthly,Whole,MIA HSC (data.gov.ua),61.0,488.0,3678.0,2085.0,90.0,6402.0,
2020-06,monthly,Whole,MIA HSC (data.gov.ua),46.0,391.0,4307.0,2227.0,135.0,7106.0,
2020-07,monthly,Whole,MIA HSC (data.gov.ua),64.0,511.0,5282.0,3044.0,122.0,9023.0,
2020-08,monthly,Whole,MIA HSC (data.gov.ua),54.0,414.0,4020.0,2233.0,127.0,6848.0,
2020-09,monthly,Whole,MIA HSC (data.gov.ua),58.0,557.0,4443.0,2657.0,130.0,7845.0,
2020-10,monthly,Whole,MIA HSC (data.gov.ua),69.0,573.0,4775.0,3062.0,141.0,8620.0,
2020-11,monthly,Whole,MIA HSC (data.gov.ua),55.0,500.0,4271.0,2610.0,137.0,7573.0,
2020-12,monthly,Whole,MIA HSC (data.gov.ua),76.0,660.0,6416.0,2673.0,169.0,9994.0,
2021-01,monthly,Whole,MIA HSC (data.gov.ua),47.0,396.0,3774.0,1616.0,151.0,5984.0,
2021-02,monthly,Whole,MIA HSC (data.gov.ua),59.0,559.0,3827.0,1925.0,151.0,6521.0,
2021-03,monthly,Whole,MIA HSC (data.gov.ua),70.0,825.0,5373.0,2731.0,226.0,9225.0,
2021-04,monthly,Whole,MIA HSC (data.gov.ua),67.0,1015.0,6169.0,2859.0,215.0,10325.0,
2021-05,monthly,Whole,MIA HSC (data.gov.ua),64.0,893.0,5156.0,2272.0,134.0,8519.0,
2021-06,monthly,Whole,MIA HSC (data.gov.ua),60.0,899.0,5740.0,2594.0,172.0,9465.0,
2021-07,monthly,Whole,MIA HSC (data.gov.ua),95.0,1083.0,6319.0,2614.0,193.0,10304.0,
2021-08,monthly,Whole,MIA HSC (data.gov.ua),143.0,763.0,5338.0,2270.0,169.0,8683.0,
2021-09,monthly,Whole,MIA HSC (data.gov.ua),144.0,868.0,6170.0,2395.0,182.0,9759.0,
2021-10,monthly,Whole,MIA HSC (data.gov.ua),135.0,877.0,5011.0,1942.0,107.0,8072.0,
2021-11,monthly,Whole,MIA HSC (data.gov.ua),159.0,953.0,5573.0,2079.0,125.0,8889.0,
2021-12,monthly,Whole,MIA HSC (data.gov.ua),167.0,1386.0,6264.0,2931.0,140.0,10888.0,
2022-01,monthly,Whole,MIA HSC (data.gov.ua),130.0,564.0,3180.0,1451.0,87.0,5412.0,
2022-02,monthly,Whole,MIA HSC (data.gov.ua),136.0,671.0,3143.0,1378.0,60.0,5388.0,MIA extract has no records after 2022-02-27 (month ends 2022-02-28)
2022-03,monthly,Whole,MIA HSC (data.gov.ua),16.0,75.0,304.0,165.0,1.0,561.0,
2022-04,monthly,Whole,MIA HSC (data.gov.ua),51.0,171.0,634.0,413.0,4.0,1273.0,
2022-05,monthly,Whole,MIA HSC (data.gov.ua),287.0,399.0,1337.0,592.0,16.0,2631.0,
2022-06,monthly,Whole,MIA HSC (data.gov.ua),134.0,435.0,1690.0,626.0,27.0,2912.0,
2022-07,monthly,Whole,MIA HSC (data.gov.ua),192.0,439.0,2121.0,922.0,27.0,3701.0,
2022-08,monthly,Whole,MIA HSC (data.gov.ua),171.0,496.0,1602.0,845.0,38.0,3152.0,
2022-09,monthly,Whole,MIA HSC (data.gov.ua),264.0,417.0,1938.0,812.0,63.0,3494.0,
2022-10,monthly,Whole,MIA HSC (data.gov.ua),282.0,397.0,1768.0,631.0,33.0,3111.0,
2022-11,monthly,Whole,MIA HSC (data.gov.ua),268.0,414.0,1681.0,733.0,25.0,3121.0,
2022-12,monthly,Whole,MIA HSC (data.gov.ua),324.0,568.0,1964.0,900.0,18.0,3774.0,
