period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-09,monthly,Industry,MIA HSC (data.gov.ua),4.0,21.0,953.0,911.0,84.0,1973.0,
2018-10,monthly,Industry,MIA HSC (data.gov.ua),8.0,33.0,1141.0,957.0,98.0,2237.0,
2018-11,monthly,Industry,MIA HSC (data.gov.ua),21.0,28.0,1371.0,1045.0,89.0,2554.0,
2018-12,monthly,Industry,MIA HSC (data.gov.ua),9.0,38.0,1294.0,1049.0,92.0,2482.0,
2019-01,monthly,Industry,MIA HSC (data.gov.ua),10.0,73.0,762.0,863.0,65.0,1773.0,
2019-02,monthly,Industry,MIA HSC (data.gov.ua),3.0,39.0,816.0,749.0,85.0,1692.0,
2019-03,monthly,Industry,MIA HSC (data.gov.ua),5.0,55.0,991.0,949.0,77.0,2077.0,
2019-04,monthly,Industry,MIA HSC (data.gov.ua),9.0,49.0,956.0,904.0,90.0,2008.0,MIA extract has no records after 2019-04-27 (month ends 2019-04-30); re-derived on the next upload
2019-05,monthly,Industry,MIA HSC (data.gov.ua),5.0,167.0,1010.0,861.0,93.0,2136.0,
2019-06,monthly,Industry,MIA HSC (data.gov.ua),7.0,55.0,910.0,851.0,185.0,2008.0,
2019-07,monthly,Industry,MIA HSC (data.gov.ua),6.0,30.0,1369.0,1045.0,93.0,2543.0,
2019-08,monthly,Industry,MIA HSC (data.gov.ua),9.0,69.0,1434.0,1064.0,151.0,2727.0,
2019-09,monthly,Industry,MIA HSC (data.gov.ua),17.0,50.0,1079.0,1054.0,164.0,2364.0,MIA extract has no records after 2019-09-29 (month ends 2019-09-30); re-derived on the next upload
2019-10,monthly,Industry,MIA HSC (data.gov.ua),5.0,82.0,1346.0,1281.0,369.0,3083.0,
2019-11,monthly,Industry,MIA HSC (data.gov.ua),10.0,106.0,1341.0,1369.0,226.0,3052.0,
2019-12,monthly,Industry,MIA HSC (data.gov.ua),11.0,110.0,1709.0,1506.0,279.0,3615.0,MIA extract has no records after 2019-12-29 (month ends 2019-12-31); re-derived on the next upload
2020-01,monthly,Industry,MIA HSC (data.gov.ua),13.0,88.0,1341.0,901.0,35.0,2378.0,
2020-02,monthly,Industry,MIA HSC (data.gov.ua),6.0,70.0,1156.0,798.0,38.0,2068.0,
2020-03,monthly,Industry,MIA HSC (data.gov.ua),15.0,56.0,962.0,809.0,26.0,1868.0,
2020-04,monthly,Industry,MIA HSC (data.gov.ua),7.0,44.0,558.0,569.0,39.0,1217.0,
2020-05,monthly,Industry,MIA HSC (data.gov.ua),16.0,92.0,726.0,745.0,22.0,1601.0,
2020-06,monthly,Industry,MIA HSC (data.gov.ua),13.0,112.0,856.0,873.0,34.0,1888.0,
2020-07,monthly,Industry,MIA HSC (data.gov.ua),15.0,150.0,1111.0,1305.0,33.0,2614.0,
2020-08,monthly,Industry,MIA HSC (data.gov.ua),12.0,116.0,1031.0,1001.0,23.0,2183.0,
2020-09,monthly,Industry,MIA HSC (data.gov.ua),9.0,146.0,976.0,1068.0,37.0,2236.0,
2020-10,monthly,Industry,MIA HSC (data.gov.ua),20.0,186.0,1150.0,1388.0,37.0,2781.0,
2020-11,monthly,Industry,MIA HSC (data.gov.ua),19.0,175.0,1136.0,1312.0,45.0,2687.0,
2020-12,monthly,Industry,MIA HSC (data.gov.ua),25.0,265.0,2423.0,1425.0,54.0,4192.0,
2021-01,monthly,Industry,MIA HSC (data.gov.ua),12.0,121.0,1056.0,783.0,86.0,2058.0,
2021-02,monthly,Industry,MIA HSC (data.gov.ua),13.0,171.0,955.0,855.0,53.0,2047.0,
2021-03,monthly,Industry,MIA HSC (data.gov.ua),13.0,233.0,1235.0,1237.0,82.0,2800.0,
2021-04,monthly,Industry,MIA HSC (data.gov.ua),15.0,305.0,1481.0,1284.0,74.0,3159.0,
2021-05,monthly,Industry,MIA HSC (data.gov.ua),13.0,277.0,1137.0,1041.0,29.0,2497.0,
2021-06,monthly,Industry,MIA HSC (data.gov.ua),16.0,274.0,1404.0,1306.0,40.0,3040.0,
2021-07,monthly,Industry,MIA HSC (data.gov.ua),28.0,318.0,1511.0,1365.0,34.0,3256.0,
2021-08,monthly,Industry,MIA HSC (data.gov.ua),63.0,289.0,1247.0,1140.0,38.0,2777.0,
2021-09,monthly,Industry,MIA HSC (data.gov.ua),56.0,272.0,1672.0,1243.0,67.0,3310.0,
2021-10,monthly,Industry,MIA HSC (data.gov.ua),43.0,305.0,1417.0,1015.0,27.0,2807.0,
2021-11,monthly,Industry,MIA HSC (data.gov.ua),40.0,299.0,1349.0,961.0,48.0,2697.0,
2021-12,monthly,Industry,MIA HSC (data.gov.ua),47.0,498.0,2309.0,1760.0,47.0,4661.0,
2022-01,monthly,Industry,MIA HSC (data.gov.ua),34.0,195.0,918.0,865.0,33.0,2045.0,
2022-02,monthly,Industry,MIA HSC (data.gov.ua),32.0,226.0,790.0,665.0,16.0,1729.0,MIA extract has no records after 2022-02-27 (month ends 2022-02-28); re-derived on the next upload
2022-03,monthly,Industry,MIA HSC (data.gov.ua),1.0,20.0,95.0,80.0,0.0,196.0,
2022-04,monthly,Industry,MIA HSC (data.gov.ua),8.0,39.0,173.0,204.0,2.0,426.0,
2022-05,monthly,Industry,MIA HSC (data.gov.ua),46.0,63.0,294.0,282.0,8.0,693.0,
2022-06,monthly,Industry,MIA HSC (data.gov.ua),21.0,71.0,445.0,298.0,2.0,837.0,
2022-07,monthly,Industry,MIA HSC (data.gov.ua),26.0,96.0,254.0,415.0,3.0,794.0,
2022-08,monthly,Industry,MIA HSC (data.gov.ua),20.0,110.0,303.0,371.0,11.0,815.0,
2022-09,monthly,Industry,MIA HSC (data.gov.ua),55.0,111.0,442.0,353.0,14.0,975.0,
2022-10,monthly,Industry,MIA HSC (data.gov.ua),54.0,92.0,365.0,289.0,8.0,808.0,
2022-11,monthly,Industry,MIA HSC (data.gov.ua),61.0,102.0,534.0,309.0,6.0,1012.0,
2022-12,monthly,Industry,MIA HSC (data.gov.ua),87.0,137.0,758.0,461.0,3.0,1446.0,
2023-01,monthly,Industry,MIA HSC (data.gov.ua),66.0,132.0,395.0,472.0,4.0,1069.0,
2023-02,monthly,Industry,MIA HSC (data.gov.ua),66.0,152.0,476.0,388.0,4.0,1086.0,
2023-03,monthly,Industry,MIA HSC (data.gov.ua),61.0,243.0,554.0,523.0,15.0,1396.0,
2023-04,monthly,Industry,MIA HSC (data.gov.ua),69.0,181.0,572.0,635.0,8.0,1465.0,
2023-05,monthly,Industry,MIA HSC (data.gov.ua),60.0,259.0,795.0,737.0,1.0,1852.0,
2023-06,monthly,Industry,MIA HSC (data.gov.ua),51.0,289.0,540.0,823.0,4.0,1707.0,
2023-07,monthly,Industry,MIA HSC (data.gov.ua),45.0,248.0,647.0,655.0,3.0,1598.0,
2023-08,monthly,Industry,MIA HSC (data.gov.ua),73.0,313.0,703.0,817.0,5.0,1911.0,
