period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-09,monthly,Private,MIA HSC (data.gov.ua),13.0,121.0,2482.0,1358.0,250.0,4224.0,
2018-10,monthly,Private,MIA HSC (data.gov.ua),20.0,147.0,2639.0,1579.0,278.0,4663.0,
2018-11,monthly,Private,MIA HSC (data.gov.ua),28.0,166.0,2438.0,1479.0,267.0,4378.0,
2018-12,monthly,Private,MIA HSC (data.gov.ua),27.0,99.0,2270.0,1360.0,219.0,3975.0,
2019-01,monthly,Private,MIA HSC (data.gov.ua),24.0,57.0,2022.0,1180.0,238.0,3521.0,
2019-02,monthly,Private,MIA HSC (data.gov.ua),12.0,181.0,2328.0,1210.0,287.0,4018.0,
2019-03,monthly,Private,MIA HSC (data.gov.ua),20.0,165.0,3051.0,1500.0,309.0,5045.0,
2019-04,monthly,Private,MIA HSC (data.gov.ua),28.0,192.0,2704.0,1359.0,260.0,4543.0,MIA extract has no records after 2019-04-27 (month ends 2019-04-30); re-derived on the next upload
2019-05,monthly,Private,MIA HSC (data.gov.ua),32.0,276.0,2630.0,1435.0,284.0,4657.0,
2019-06,monthly,Private,MIA HSC (data.gov.ua),27.0,235.0,2819.0,1341.0,268.0,4690.0,
2019-07,monthly,Private,MIA HSC (data.gov.ua),40.0,138.0,3186.0,1609.0,340.0,5313.0,
2019-08,monthly,Private,MIA HSC (data.gov.ua),34.0,247.0,3507.0,1705.0,315.0,5808.0,
2019-09,monthly,Private,MIA HSC (data.gov.ua),40.0,163.0,2831.0,1563.0,292.0,4889.0,MIA extract has no records after 2019-09-29 (month ends 2019-09-30); re-derived on the next upload
2019-10,monthly,Private,MIA HSC (data.gov.ua),39.0,258.0,3485.0,1920.0,456.0,6158.0,
2019-11,monthly,Private,MIA HSC (data.gov.ua),26.0,217.0,3342.0,1795.0,389.0,5769.0,
2019-12,monthly,Private,MIA HSC (data.gov.ua),29.0,267.0,3647.0,1864.0,265.0,6072.0,MIA extract has no records after 2019-12-29 (month ends 2019-12-31); re-derived on the next upload
2020-01,monthly,Private,MIA HSC (data.gov.ua),26.0,213.0,3327.0,1369.0,41.0,4976.0,
2020-02,monthly,Private,MIA HSC (data.gov.ua),22.0,209.0,3280.0,1297.0,64.0,4872.0,
2020-03,monthly,Private,MIA HSC (data.gov.ua),39.0,134.0,3174.0,1265.0,62.0,4674.0,
2020-04,monthly,Private,MIA HSC (data.gov.ua),30.0,150.0,1525.0,794.0,51.0,2550.0,
2020-05,monthly,Private,MIA HSC (data.gov.ua),45.0,396.0,2952.0,1340.0,68.0,4801.0,
2020-06,monthly,Private,MIA HSC (data.gov.ua),33.0,279.0,3451.0,1354.0,101.0,5218.0,
2020-07,monthly,Private,MIA HSC (data.gov.ua),49.0,361.0,4171.0,1739.0,89.0,6409.0,
2020-08,monthly,Private,MIA HSC (data.gov.ua),42.0,298.0,2989.0,1232.0,104.0,4665.0,
2020-09,monthly,Private,MIA HSC (data.gov.ua),49.0,411.0,3467.0,1589.0,93.0,5609.0,
2020-10,monthly,Private,MIA HSC (data.gov.ua),49.0,387.0,3625.0,1674.0,104.0,5839.0,
2020-11,monthly,Private,MIA HSC (data.gov.ua),36.0,325.0,3135.0,1298.0,92.0,4886.0,
2020-12,monthly,Private,MIA HSC (data.gov.ua),51.0,395.0,3993.0,1248.0,115.0,5802.0,
2021-01,monthly,Private,MIA HSC (data.gov.ua),35.0,275.0,2718.0,833.0,65.0,3926.0,
2021-02,monthly,Private,MIA HSC (data.gov.ua),46.0,388.0,2872.0,1070.0,98.0,4474.0,
2021-03,monthly,Private,MIA HSC (data.gov.ua),57.0,592.0,4138.0,1494.0,144.0,6425.0,
2021-04,monthly,Private,MIA HSC (data.gov.ua),52.0,710.0,4688.0,1575.0,141.0,7166.0,
2021-05,monthly,Private,MIA HSC (data.gov.ua),51.0,616.0,4019.0,1231.0,105.0,6022.0,
2021-06,monthly,Private,MIA HSC (data.gov.ua),44.0,625.0,4336.0,1288.0,132.0,6425.0,
2021-07,monthly,Private,MIA HSC (data.gov.ua),67.0,765.0,4808.0,1249.0,159.0,7048.0,
2021-08,monthly,Private,MIA HSC (data.gov.ua),80.0,474.0,4091.0,1130.0,131.0,5906.0,
2021-09,monthly,Private,MIA HSC (data.gov.ua),88.0,596.0,4498.0,1152.0,115.0,6449.0,
2021-10,monthly,Private,MIA HSC (data.gov.ua),92.0,572.0,3594.0,927.0,80.0,5265.0,
2021-11,monthly,Private,MIA HSC (data.gov.ua),119.0,654.0,4224.0,1118.0,77.0,6192.0,
2021-12,monthly,Private,MIA HSC (data.gov.ua),120.0,888.0,3955.0,1171.0,93.0,6227.0,
2022-01,monthly,Private,MIA HSC (data.gov.ua),96.0,369.0,2262.0,586.0,54.0,3367.0,
2022-02,monthly,Private,MIA HSC (data.gov.ua),104.0,445.0,2353.0,713.0,44.0,3659.0,MIA extract has no records after 2022-02-27 (month ends 2022-02-28); re-derived on the next upload
2022-03,monthly,Private,MIA HSC (data.gov.ua),15.0,55.0,209.0,85.0,1.0,365.0,
2022-04,monthly,Private,MIA HSC (data.gov.ua),43.0,132.0,461.0,209.0,2.0,847.0,
2022-05,monthly,Private,MIA HSC (data.gov.ua),241.0,336.0,1043.0,310.0,8.0,1938.0,
2022-06,monthly,Private,MIA HSC (data.gov.ua),113.0,364.0,1245.0,328.0,25.0,2075.0,
2022-07,monthly,Private,MIA HSC (data.gov.ua),166.0,343.0,1867.0,507.0,24.0,2907.0,
2022-08,monthly,Private,MIA HSC (data.gov.ua),151.0,386.0,1299.0,474.0,27.0,2337.0,
2022-09,monthly,Private,MIA HSC (data.gov.ua),209.0,306.0,1496.0,459.0,49.0,2519.0,
2022-10,monthly,Private,MIA HSC (data.gov.ua),228.0,305.0,1403.0,342.0,25.0,2303.0,
2022-11,monthly,Private,MIA HSC (data.gov.ua),207.0,312.0,1147.0,424.0,19.0,2109.0,
2022-12,monthly,Private,MIA HSC (data.gov.ua),237.0,431.0,1206.0,439.0,15.0,2328.0,
2023-01,monthly,Private,MIA HSC (data.gov.ua),239.0,379.0,1280.0,400.0,20.0,2318.0,
2023-02,monthly,Private,MIA HSC (data.gov.ua),315.0,410.0,1265.0,475.0,24.0,2489.0,
2023-03,monthly,Private,MIA HSC (data.gov.ua),492.0,628.0,1798.0,632.0,27.0,3577.0,
2023-04,monthly,Private,MIA HSC (data.gov.ua),361.0,685.0,1725.0,642.0,19.0,3432.0,
2023-05,monthly,Private,MIA HSC (data.gov.ua),526.0,747.0,1840.0,665.0,44.0,3822.0,
2023-06,monthly,Private,MIA HSC (data.gov.ua),551.0,736.0,1736.0,761.0,22.0,3806.0,
2023-07,monthly,Private,MIA HSC (data.gov.ua),514.0,628.0,1588.0,786.0,23.0,3539.0,
2023-08,monthly,Private,MIA HSC (data.gov.ua),617.0,815.0,1698.0,865.0,32.0,4027.0,
