period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-09,monthly,Used,MIA HSC (data.gov.ua),526.0,252.0,3720.0,6724.0,457.0,11679.0,
2018-10,monthly,Used,MIA HSC (data.gov.ua),621.0,282.0,4077.0,7832.0,465.0,13277.0,
2018-11,monthly,Used,MIA HSC (data.gov.ua),555.0,302.0,4107.0,7448.0,507.0,12919.0,
2018-12,monthly,Used,MIA HSC (data.gov.ua),456.0,257.0,5929.0,16124.0,1239.0,24005.0,
2019-01,monthly,Used,MIA HSC (data.gov.ua),415.0,253.0,10304.0,39275.0,3912.0,54159.0,
2019-02,monthly,Used,MIA HSC (data.gov.ua),355.0,289.0,16422.0,64527.0,7537.0,89130.0,
2019-03,monthly,Used,MIA HSC (data.gov.ua),442.0,326.0,12244.0,32632.0,4885.0,50529.0,
2019-04,monthly,Used,MIA HSC (data.gov.ua),463.0,330.0,8095.0,13138.0,2012.0,24038.0,MIA extract has no records after 2019-04-27 (month ends 2019-04-30)
2019-05,monthly,Used,MIA HSC (data.gov.ua),580.0,347.0,9505.0,13185.0,2148.0,25765.0,
2019-06,monthly,Used,MIA HSC (data.gov.ua),554.0,335.0,8736.0,9254.0,1538.0,20417.0,
2019-07,monthly,Used,MIA HSC (data.gov.ua),742.0,506.0,11338.0,10908.0,1832.0,25326.0,
2019-08,monthly,Used,MIA HSC (data.gov.ua),663.0,498.0,11983.0,10553.0,1916.0,25613.0,
2019-09,monthly,Used,MIA HSC (data.gov.ua),589.0,492.0,11470.0,9935.0,1832.0,24318.0,MIA extract has no records after 2019-09-29 (month ends 2019-09-30)
2019-10,monthly,Used,MIA HSC (data.gov.ua),671.0,528.0,13601.0,11339.0,2227.0,28366.0,
2019-11,monthly,Used,MIA HSC (data.gov.ua),684.0,482.0,14441.0,12267.0,2440.0,30314.0,
2019-12,monthly,Used,MIA HSC (data.gov.ua),575.0,508.0,16114.0,13301.0,2412.0,32910.0,MIA extract has no records after 2019-12-29 (month ends 2019-12-31)
2020-01,monthly,Used,MIA HSC (data.gov.ua),550.0,479.0,15139.0,11487.0,1567.0,29222.0,
2020-02,monthly,Used,MIA HSC (data.gov.ua),598.0,501.0,17953.0,12948.0,2125.0,34125.0,
2020-03,monthly,Used,MIA HSC (data.gov.ua),336.0,310.0,10537.0,7021.0,1264.0,19468.0,
2020-04,monthly,Used,MIA HSC (data.gov.ua),1.0,0.0,6.0,3.0,1.0,11.0,
2020-05,monthly,Used,MIA HSC (data.gov.ua),898.0,807.0,20557.0,7553.0,3389.0,33204.0,
2020-06,monthly,Used,MIA HSC (data.gov.ua),721.0,581.0,17164.0,7465.0,2602.0,28533.0,
2020-07,monthly,Used,MIA HSC (data.gov.ua),734.0,663.0,21121.0,11253.0,3422.0,37193.0,
2020-08,monthly,Used,MIA HSC (data.gov.ua),548.0,583.0,18959.0,9872.0,3143.0,33105.0,
2020-09,monthly,Used,MIA HSC (data.gov.ua),603.0,678.0,21150.0,11235.0,3477.0,37143.0,
2020-10,monthly,Used,MIA HSC (data.gov.ua),567.0,650.0,22572.0,12355.0,3939.0,40083.0,
2020-11,monthly,Used,MIA HSC (data.gov.ua),446.0,535.0,18435.0,10824.0,3185.0,33425.0,
2020-12,monthly,Used,MIA HSC (data.gov.ua),543.0,717.0,23434.0,12971.0,4029.0,41694.0,
2021-01,monthly,Used,MIA HSC (data.gov.ua),440.0,360.0,14222.0,8562.0,2872.0,26456.0,
2021-02,monthly,Used,MIA HSC (data.gov.ua),466.0,447.0,15986.0,8440.0,2964.0,28303.0,
2021-03,monthly,Used,MIA HSC (data.gov.ua),577.0,600.0,20185.0,10904.0,3748.0,36014.0,
2021-04,monthly,Used,MIA HSC (data.gov.ua),627.0,739.0,22740.0,12326.0,4085.0,40517.0,
2021-05,monthly,Used,MIA HSC (data.gov.ua),529.0,562.0,18952.0,10370.0,3435.0,33848.0,
2021-06,monthly,Used,MIA HSC (data.gov.ua),545.0,643.0,20577.0,11567.0,3723.0,37055.0,
2021-07,monthly,Used,MIA HSC (data.gov.ua),635.0,891.0,27186.0,23559.0,5782.0,58053.0,
2021-08,monthly,Used,MIA HSC (data.gov.ua),584.0,750.0,23394.0,21590.0,4731.0,51049.0,
2021-09,monthly,Used,MIA HSC (data.gov.ua),702.0,793.0,24906.0,23541.0,4744.0,54686.0,
2021-10,monthly,Used,MIA HSC (data.gov.ua),762.0,788.0,24621.0,26989.0,4688.0,57848.0,
2021-11,monthly,Used,MIA HSC (data.gov.ua),703.0,739.0,24548.0,29116.0,5188.0,60294.0,
2021-12,monthly,Used,MIA HSC (data.gov.ua),761.0,875.0,25653.0,18431.0,3359.0,49079.0,
2022-01,monthly,Used,MIA HSC (data.gov.ua),512.0,503.0,16477.0,12571.0,2352.0,32415.0,
2022-02,monthly,Used,MIA HSC (data.gov.ua),588.0,583.0,15921.0,10692.0,2420.0,30204.0,MIA extract has no records after 2022-02-27 (month ends 2022-02-28)
2022-03,monthly,Used,MIA HSC (data.gov.ua),179.0,173.0,4265.0,3523.0,430.0,8570.0,
2022-04,monthly,Used,MIA HSC (data.gov.ua),413.0,502.0,13138.0,17428.0,1451.0,32932.0,
2022-05,monthly,Used,MIA HSC (data.gov.ua),710.0,727.0,23372.0,54702.0,3180.0,82691.0,
2022-06,monthly,Used,MIA HSC (data.gov.ua),859.0,896.0,24099.0,57494.0,3808.0,87156.0,
