period,time_interval,variant,source,BEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2018-09,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,35.0,333.0,55.0,423.0,
2018-10,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,48.0,365.0,57.0,470.0,
2018-11,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,33.0,305.0,55.0,393.0,
2018-12,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,60.0,398.0,43.0,501.0,
2019-01,monthly,Vans,MIA HSC (data.gov.ua),10.0,0.0,34.0,268.0,41.0,353.0,
2019-02,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,33.0,268.0,33.0,335.0,
2019-03,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,71.0,320.0,78.0,469.0,
2019-04,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,39.0,291.0,73.0,404.0,MIA extract has no records after 2019-04-27 (month ends 2019-04-30); re-derived on the next upload
2019-05,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,60.0,334.0,51.0,445.0,
2019-06,monthly,Vans,MIA HSC (data.gov.ua),3.0,0.0,43.0,215.0,48.0,309.0,
2019-07,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,42.0,284.0,52.0,378.0,
2019-08,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,36.0,270.0,56.0,362.0,
2019-09,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,37.0,271.0,45.0,353.0,MIA extract has no records after 2019-09-29 (month ends 2019-09-30); re-derived on the next upload
2019-10,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,54.0,320.0,38.0,412.0,
2019-11,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,46.0,300.0,66.0,412.0,
2019-12,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,57.0,411.0,31.0,499.0,MIA extract has no records after 2019-12-29 (month ends 2019-12-31); re-derived on the next upload
2020-01,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,50.0,263.0,5.0,318.0,
2020-02,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,62.0,363.0,13.0,438.0,
2020-03,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,38.0,181.0,5.0,224.0,
2020-04,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,32.0,219.0,5.0,256.0,
2020-05,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,32.0,250.0,18.0,300.0,
2020-06,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,38.0,237.0,12.0,288.0,
2020-07,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,72.0,460.0,14.0,546.0,
2020-08,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,43.0,478.0,13.0,535.0,
2020-09,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,50.0,724.0,33.0,809.0,
2020-10,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,85.0,404.0,43.0,533.0,
2020-11,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,48.0,475.0,62.0,585.0,
2020-12,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,48.0,521.0,34.0,603.0,
2021-01,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,52.0,307.0,44.0,405.0,
2021-02,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,46.0,336.0,36.0,418.0,
2021-03,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,37.0,436.0,14.0,487.0,
2021-04,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,81.0,445.0,79.0,605.0,
2021-05,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,53.0,409.0,19.0,481.0,
2021-06,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,56.0,426.0,25.0,507.0,
2021-07,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,56.0,698.0,25.0,779.0,
2021-08,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,40.0,590.0,36.0,666.0,
2021-09,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,49.0,680.0,27.0,756.0,
2021-10,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,61.0,775.0,13.0,849.0,
2021-11,monthly,Vans,MIA HSC (data.gov.ua),3.0,0.0,98.0,749.0,51.0,901.0,
2021-12,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,50.0,951.0,15.0,1016.0,
2022-01,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,27.0,473.0,17.0,517.0,
2022-02,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,49.0,498.0,12.0,561.0,MIA extract has no records after 2022-02-27 (month ends 2022-02-28); re-derived on the next upload
2022-03,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,5.0,39.0,1.0,45.0,
2022-04,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,15.0,114.0,6.0,135.0,
2022-05,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,20.0,216.0,12.0,248.0,
2022-06,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,18.0,168.0,3.0,191.0,
2022-07,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,15.0,161.0,1.0,177.0,
2022-08,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,20.0,157.0,1.0,178.0,
2022-09,monthly,Vans,MIA HSC (data.gov.ua),3.0,0.0,26.0,243.0,11.0,283.0,
2022-10,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,18.0,135.0,2.0,155.0,
2022-11,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,7.0,133.0,5.0,146.0,
2022-12,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,19.0,324.0,1.0,344.0,
2023-01,monthly,Vans,MIA HSC (data.gov.ua),7.0,0.0,14.0,199.0,1.0,221.0,
2023-02,monthly,Vans,MIA HSC (data.gov.ua),4.0,0.0,14.0,176.0,0.0,194.0,
2023-03,monthly,Vans,MIA HSC (data.gov.ua),11.0,0.0,2.0,259.0,2.0,274.0,
2023-04,monthly,Vans,MIA HSC (data.gov.ua),5.0,0.0,10.0,413.0,0.0,428.0,
2023-05,monthly,Vans,MIA HSC (data.gov.ua),1.0,0.0,15.0,498.0,2.0,516.0,
2023-06,monthly,Vans,MIA HSC (data.gov.ua),0.0,0.0,9.0,461.0,0.0,470.0,
2023-07,monthly,Vans,MIA HSC (data.gov.ua),5.0,0.0,3.0,408.0,0.0,416.0,
2023-08,monthly,Vans,MIA HSC (data.gov.ua),3.0,0.0,11.0,403.0,1.0,418.0,
2023-09,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,11.0,435.0,1.0,449.0,
2023-10,monthly,Vans,MIA HSC (data.gov.ua),4.0,0.0,12.0,418.0,5.0,439.0,
2023-11,monthly,Vans,MIA HSC (data.gov.ua),5.0,0.0,17.0,503.0,4.0,529.0,
2023-12,monthly,Vans,MIA HSC (data.gov.ua),2.0,0.0,17.0,586.0,4.0,609.0,
2024-01,monthly,Vans,MIA HSC (data.gov.ua),4.0,0.0,14.0,411.0,1.0,430.0,
