period,time_interval,variant,source,BEV,PHEV,HEV,PETROL,DIESEL,OTHERS,TOTAL,notes
2021-06,yearly,Whole,ACAU,613.5,0.0,,,,,33975.0,
2022-06,yearly,Whole,http://www.acau.com.uy/,1044.0,0.0,,,,,37020.0,
2023-01,monthly,Whole,ACAU,105.0,9.0,230.0,2352.0,75.0,,2771.0,
2023-02,monthly,Whole,ACAU,51.0,5.0,278.0,1862.0,59.0,,2255.0,
2023-03,monthly,Whole,ACAU,87.0,8.0,270.0,3123.0,55.0,,3543.0,
2023-04,monthly,Whole,ACAU,66.0,6.0,172.0,2234.0,154.0,,2632.0,
2023-05,monthly,Whole,ACAU,123.0,5.0,158.0,2296.0,133.0,,2715.0,
2023-06,monthly,Whole,ACAU,83.0,8.0,179.0,2566.0,102.0,,2938.0,
2023-07,monthly,Whole,ACAU,57.0,17.0,201.0,2766.0,100.0,,3141.0,
2023-08,monthly,Whole,ACAU,185.0,9.0,233.0,2371.0,67.0,,2865.0,
2023-09,monthly,Whole,ACAU,118.0,3.0,221.0,2721.0,66.0,,3129.0,
2023-10,monthly,Whole,ACAU,129.0,6.0,281.0,2800.0,69.0,,3285.0,
2023-11,monthly,Whole,ACAU,190.0,5.0,240.0,2857.0,70.0,,3362.0,
2023-12,monthly,Whole,ACAU,162.0,5.0,386.0,3097.0,61.0,,3711.0,
2024-01,monthly,Whole,ACAU,133.0,0.0,236.0,1850.0,112.0,0.0,2331.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-02,monthly,Whole,ACAU,215.0,0.0,413.0,2309.0,65.0,0.0,3002.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-03,monthly,Whole,ACAU,242.0,0.0,259.0,2359.0,74.0,0.0,2934.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-04,monthly,Whole,ACAU,345.0,0.0,397.0,2781.0,72.0,0.0,3595.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-05,monthly,Whole,ACAU,323.0,0.0,263.0,2251.0,67.0,0.0,2904.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-06,monthly,Whole,ACAU,776.0,0.0,206.0,2628.0,113.0,0.0,3723.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-07,monthly,Whole,ACAU,384.0,0.0,349.0,2573.0,119.0,0.0,3425.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-08,monthly,Whole,ACAU,550.0,0.0,287.0,2693.0,44.0,0.0,3574.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-09,monthly,Whole,ACAU,418.0,0.0,196.0,3046.0,99.0,0.0,3759.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-10,monthly,Whole,ACAU,475.0,0.0,413.0,3173.0,64.0,0.0,4125.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-11,monthly,Whole,ACAU,688.0,0.0,309.0,3121.0,73.0,0.0,4191.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2024-12,monthly,Whole,ACAU,818.0,0.0,347.0,3385.0,55.0,0.0,4605.0,https://www.acau.com.uy/panel/estadisticas/12_21_47ar1.xlsx
2025-01,monthly,Whole,ACAU,400.0,30.0,237.0,2061.0,20.0,0.0,2748.0,
2025-02,monthly,Whole,ACAU,872.0,39.0,323.0,2434.0,20.0,0.0,3688.0,
2025-03,monthly,Whole,ACAU,730.0,58.0,491.0,2908.0,69.0,0.0,4256.0,
2025-04,monthly,Whole,ACAU,890.0,45.0,273.0,2159.0,28.0,0.0,3395.0,
2025-05,monthly,Whole,ACAU,946.0,46.0,259.0,2347.0,25.0,0.0,3623.0,
2025-06,monthly,Whole,ACAU,797.0,58.0,217.0,2097.0,45.0,0.0,3214.0,
2025-07,monthly,Whole,ACAU,1195.0,61.0,663.0,2222.0,29.0,0.0,4170.0,
2025-08,monthly,Whole,ACAU,1363.0,56.0,399.0,2042.0,26.0,0.0,3886.0,
2025-09,monthly,Whole,ACAU,1943.0,78.0,501.0,2698.0,19.0,0.0,5239.0,
2025-10,monthly,Whole,ACAU,1748.0,58.0,564.0,2661.0,25.0,0.0,5056.0,
2025-11,monthly,Whole,ACAU,1356.0,88.0,448.0,2657.0,3.0,0.0,4552.0,
2025-12,monthly,Whole,ACAU,1548.0,99.0,632.0,2468.0,14.0,0.0,4761.0,
2026-01,monthly,Whole,ACAU,1582.0,182.0,172.0,1504.0,6.0,346.0,3792.0,https://www.acau.com.uy/panel/estadisticas/15_18_25ar1.xlsx
2026-02,monthly,Whole,ACAU,1578.0,191.0,260.0,1774.0,0.0,456.0,4259.0,https://www.acau.com.uy/panel/estadisticas/15_18_25ar1.xlsx
2026-03,monthly,Whole,ACAU,1774.0,211.0,338.0,2051.0,10.0,368.0,4752.0,https://www.acau.com.uy/panel/estadisticas/15_18_25ar1.xlsx
2026-04,monthly,Whole,ACAU,2055.0,208.0,268.0,1795.0,2.0,312.0,4640.0,https://www.acau.com.uy/panel/estadisticas/15_18_25ar1.xlsx
2026-05,monthly,Whole,ACAU,2536.0,198.0,290.0,1420.0,6.0,383.0,4833.0,https://www.acau.com.uy/panel/estadisticas/16_25_12ar1.xlsx
