period,interval,year,category,registrations,source
2019M01,monthly,2018,BEV,1,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,DIESEL,2416,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,HEV,4,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,OTHER,260,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,PETROL,412,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,PHEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M01,monthly,2018,TOTAL,3093,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,BEV,1,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,DIESEL,2708,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,HEV,7,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,OTHER,345,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,PETROL,599,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,PHEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M02,monthly,2018.083333,TOTAL,3660,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,BEV,3,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,DIESEL,1374,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,HEV,7,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,OTHER,130,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,PETROL,238,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,PHEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M03,monthly,2018.166667,TOTAL,1752,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,BEV,2,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,DIESEL,2010,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,HEV,10,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,OTHER,225,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,PETROL,335,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,PHEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M04,monthly,2018.25,TOTAL,2582,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,BEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,DIESEL,2735,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,HEV,16,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,OTHER,350,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,PETROL,477,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,PHEV,0,dpshtrr.al / @robbieandrew.bsky.social
2019M05,monthly,2018.333333,TOTAL,3578,dpshtrr.al / @robbieandrew.bsky.social
2019M06,monthly,2018.416667,BEV,4,dpshtrr.al / @robbieandrew.bsky.social
2019M06,monthly,2018.416667,DIESEL,2609,dpshtrr.al / @robbieandrew.bsky.social
2019M06,monthly,2018.416667,HEV,10,dpshtrr.al / @robbieandrew.bsky.social
2019M06,monthly,2018.416667,OTHER,288,dpshtrr.al / @robbieandrew.bsky.social
