period,interval,year,category,registrations,source
2015M06,yearly,2014.416667,BEV,760,VFACTS & Prof. Ray Willis
2015M06,yearly,2014.416667,HEV,12622,VFACTS & Prof. Ray Willis
2015M06,yearly,2014.416667,OTHER,0,VFACTS & Prof. Ray Willis
2015M06,yearly,2014.416667,PHEV,1000,VFACTS & Prof. Ray Willis
2015M06,yearly,2014.416667,TOTAL,1155408,VFACTS & Prof. Ray Willis
2016M06,yearly,2015.416667,BEV,1262,VFACTS & Prof. Ray Willis
2016M06,yearly,2015.416667,HEV,8835,VFACTS & Prof. Ray Willis
2016M06,yearly,2015.416667,OTHER,0,VFACTS & Prof. Ray Willis
2016M06,yearly,2015.416667,PHEV,700,VFACTS & Prof. Ray Willis
2016M06,yearly,2015.416667,TOTAL,1178133,VFACTS & Prof. Ray Willis
2017M06,yearly,2016.416667,BEV,1605,VFACTS & Prof. Ray Willis
2017M06,yearly,2016.416667,HEV,13884,VFACTS & Prof. Ray Willis
2017M06,yearly,2016.416667,PHEV,1100,VFACTS & Prof. Ray Willis
2017M06,yearly,2016.416667,TOTAL,1189116,VFACTS & Prof. Ray Willis
2018M06,yearly,2017.416667,BEV,5932,VFACTS & Prof. Ray Willis
2018M06,yearly,2017.416667,HEV,22719,VFACTS & Prof. Ray Willis
2018M06,yearly,2017.416667,PHEV,1800,VFACTS & Prof. Ray Willis
2018M06,yearly,2017.416667,TOTAL,915658,VFACTS & Prof. Ray Willis
2019M06,yearly,2018.416667,BEV,10111,VFACTS & Prof. Ray Willis
2019M06,yearly,2018.416667,HEV,36604,VFACTS & Prof. Ray Willis
2019M06,yearly,2018.416667,PHEV,2900,VFACTS & Prof. Ray Willis
2019M06,yearly,2018.416667,TOTAL,1062867,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,BEV,423,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,DIESEL,19944,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,HEV,6665,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,PETROL,42728,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,PHEV,132,VFACTS & Prof. Ray Willis
2020M07,monthly,2019.5,TOTAL,69892,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,BEV,440,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,DIESEL,16608,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,HEV,6436,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,PETROL,35068,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,PHEV,103,VFACTS & Prof. Ray Willis
2020M08,monthly,2019.583333,TOTAL,58655,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,BEV,446,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,DIESEL,21539,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,HEV,4389,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,PETROL,39926,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,PHEV,124,VFACTS & Prof. Ray Willis
2020M09,monthly,2019.666667,TOTAL,66424,VFACTS & Prof. Ray Willis
2020M10,monthly,2019.75,BEV,471,VFACTS & Prof. Ray Willis
2020M10,monthly,2019.75,DIESEL,27244,VFACTS & Prof. Ray Willis
2020M10,monthly,2019.75,HEV,5801,VFACTS & Prof. Ray Willis
