period,interval,year,category,registrations,source
2012M01,monthly,2011,BEV,36,Statistik Austria
2012M01,monthly,2011,HEV,0,Statistik Austria
2012M01,monthly,2011,OTHER,0,Statistik Austria
2012M01,monthly,2011,PHEV,0,Statistik Austria
2012M01,monthly,2011,TOTAL,28001,Statistik Austria
2012M02,monthly,2011.083333,BEV,36,Statistik Austria
2012M02,monthly,2011.083333,HEV,0,Statistik Austria
2012M02,monthly,2011.083333,OTHER,0,Statistik Austria
2012M02,monthly,2011.083333,PHEV,0,Statistik Austria
2012M02,monthly,2011.083333,TOTAL,28001,Statistik Austria
2012M03,monthly,2011.166667,BEV,36,Statistik Austria
2012M03,monthly,2011.166667,HEV,0,Statistik Austria
2012M03,monthly,2011.166667,OTHER,0,Statistik Austria
2012M03,monthly,2011.166667,PHEV,0,Statistik Austria
2012M03,monthly,2011.166667,TOTAL,28001,Statistik Austria
2012M04,monthly,2011.25,BEV,36,Statistik Austria
2012M04,monthly,2011.25,HEV,0,Statistik Austria
2012M04,monthly,2011.25,OTHER,0,Statistik Austria
2012M04,monthly,2011.25,PHEV,0,Statistik Austria
2012M04,monthly,2011.25,TOTAL,28001,Statistik Austria
2012M05,monthly,2011.333333,BEV,36,Statistik Austria
2012M05,monthly,2011.333333,HEV,0,Statistik Austria
2012M05,monthly,2011.333333,OTHER,0,Statistik Austria
2012M05,monthly,2011.333333,PHEV,0,Statistik Austria
2012M05,monthly,2011.333333,TOTAL,28001,Statistik Austria
2012M06,monthly,2011.416667,BEV,36,Statistik Austria
2012M06,monthly,2011.416667,HEV,0,Statistik Austria
2012M06,monthly,2011.416667,OTHER,0,Statistik Austria
2012M06,monthly,2011.416667,PHEV,0,Statistik Austria
2012M06,monthly,2011.416667,TOTAL,28001,Statistik Austria
2012M07,monthly,2011.5,BEV,36,Statistik Austria
2012M07,monthly,2011.5,HEV,0,Statistik Austria
2012M07,monthly,2011.5,OTHER,0,Statistik Austria
2012M07,monthly,2011.5,PHEV,0,Statistik Austria
2012M07,monthly,2011.5,TOTAL,28001,Statistik Austria
2012M08,monthly,2011.583333,BEV,36,Statistik Austria
2012M08,monthly,2011.583333,HEV,0,Statistik Austria
2012M08,monthly,2011.583333,OTHER,0,Statistik Austria
2012M08,monthly,2011.583333,PHEV,0,Statistik Austria
2012M08,monthly,2011.583333,TOTAL,28001,Statistik Austria
2012M09,monthly,2011.666667,BEV,36,Statistik Austria
2012M09,monthly,2011.666667,HEV,0,Statistik Austria
2012M09,monthly,2011.666667,OTHER,0,Statistik Austria
2012M09,monthly,2011.666667,PHEV,0,Statistik Austria
2012M09,monthly,2011.666667,TOTAL,28001,Statistik Austria
2012M10,monthly,2011.75,BEV,36,Statistik Austria
2012M10,monthly,2011.75,HEV,0,Statistik Austria
2012M10,monthly,2011.75,OTHER,0,Statistik Austria
2012M10,monthly,2011.75,PHEV,0,Statistik Austria
2012M10,monthly,2011.75,TOTAL,28001,Statistik Austria
2012M11,monthly,2011.833333,BEV,36,Statistik Austria
2012M11,monthly,2011.833333,HEV,0,Statistik Austria
2012M11,monthly,2011.833333,OTHER,0,Statistik Austria
2012M11,monthly,2011.833333,PHEV,0,Statistik Austria
2012M11,monthly,2011.833333,TOTAL,28001,Statistik Austria
2012M12,monthly,2011.916667,BEV,36,Statistik Austria
2012M12,monthly,2011.916667,HEV,0,Statistik Austria
2012M12,monthly,2011.916667,OTHER,0,Statistik Austria
2012M12,monthly,2011.916667,PHEV,0,Statistik Austria
2012M12,monthly,2011.916667,TOTAL,28001,Statistik Austria
2013M01,monthly,2012,BEV,55,Statistik Austria
2013M01,monthly,2012,HEV,0,Statistik Austria
2013M01,monthly,2012,OTHER,0,Statistik Austria
2013M01,monthly,2012,PHEV,0,Statistik Austria
2013M01,monthly,2012,TOTAL,26586,Statistik Austria
2013M02,monthly,2012.083333,BEV,55,Statistik Austria
2013M02,monthly,2012.083333,HEV,0,Statistik Austria
2013M02,monthly,2012.083333,OTHER,0,Statistik Austria
2013M02,monthly,2012.083333,PHEV,0,Statistik Austria
2013M02,monthly,2012.083333,TOTAL,26586,Statistik Austria
2013M03,monthly,2012.166667,BEV,55,Statistik Austria
2013M03,monthly,2012.166667,HEV,0,Statistik Austria
2013M03,monthly,2012.166667,OTHER,0,Statistik Austria
2013M03,monthly,2012.166667,PHEV,0,Statistik Austria
2013M03,monthly,2012.166667,TOTAL,26586,Statistik Austria
2013M04,monthly,2012.25,BEV,55,Statistik Austria
2013M04,monthly,2012.25,HEV,0,Statistik Austria
2013M04,monthly,2012.25,OTHER,0,Statistik Austria
2013M04,monthly,2012.25,PHEV,0,Statistik Austria
2013M04,monthly,2012.25,TOTAL,26586,Statistik Austria
2013M05,monthly,2012.333333,BEV,55,Statistik Austria
2013M05,monthly,2012.333333,HEV,0,Statistik Austria
2013M05,monthly,2012.333333,OTHER,0,Statistik Austria
2013M05,monthly,2012.333333,PHEV,0,Statistik Austria
2013M05,monthly,2012.333333,TOTAL,26586,Statistik Austria
2013M06,monthly,2012.416667,BEV,55,Statistik Austria
2013M06,monthly,2012.416667,HEV,0,Statistik Austria
2013M06,monthly,2012.416667,OTHER,0,Statistik Austria
2013M06,monthly,2012.416667,PHEV,0,Statistik Austria
2013M06,monthly,2012.416667,TOTAL,26586,Statistik Austria
2013M07,monthly,2012.5,BEV,55,Statistik Austria
2013M07,monthly,2012.5,HEV,0,Statistik Austria
2013M07,monthly,2012.5,OTHER,0,Statistik Austria
2013M07,monthly,2012.5,PHEV,0,Statistik Austria
2013M07,monthly,2012.5,TOTAL,26586,Statistik Austria
2013M08,monthly,2012.583333,BEV,55,Statistik Austria
2013M08,monthly,2012.583333,HEV,0,Statistik Austria
2013M08,monthly,2012.583333,OTHER,0,Statistik Austria
2013M08,monthly,2012.583333,PHEV,0,Statistik Austria
2013M08,monthly,2012.583333,TOTAL,26586,Statistik Austria
2013M09,monthly,2012.666667,BEV,55,Statistik Austria
2013M09,monthly,2012.666667,HEV,0,Statistik Austria
2013M09,monthly,2012.666667,OTHER,0,Statistik Austria
2013M09,monthly,2012.666667,PHEV,0,Statistik Austria
2013M09,monthly,2012.666667,TOTAL,26586,Statistik Austria
2013M10,monthly,2012.75,BEV,55,Statistik Austria
2013M10,monthly,2012.75,HEV,0,Statistik Austria
2013M10,monthly,2012.75,OTHER,0,Statistik Austria
2013M10,monthly,2012.75,PHEV,0,Statistik Austria
2013M10,monthly,2012.75,TOTAL,26586,Statistik Austria
2013M11,monthly,2012.833333,BEV,55,Statistik Austria
2013M11,monthly,2012.833333,HEV,0,Statistik Austria
2013M11,monthly,2012.833333,OTHER,0,Statistik Austria
2013M11,monthly,2012.833333,PHEV,0,Statistik Austria
2013M11,monthly,2012.833333,TOTAL,26586,Statistik Austria
2013M12,monthly,2012.916667,BEV,55,Statistik Austria
2013M12,monthly,2012.916667,HEV,0,Statistik Austria
2013M12,monthly,2012.916667,OTHER,0,Statistik Austria
2013M12,monthly,2012.916667,PHEV,0,Statistik Austria
2013M12,monthly,2012.916667,TOTAL,26586,Statistik Austria
2014M01,monthly,2013,BEV,107,Statistik Austria
2014M01,monthly,2013,HEV,0,Statistik Austria
2014M01,monthly,2013,OTHER,0,Statistik Austria
2014M01,monthly,2013,PHEV,0,Statistik Austria
2014M01,monthly,2013,TOTAL,25277,Statistik Austria
2014M02,monthly,2013.083333,BEV,107,Statistik Austria
2014M02,monthly,2013.083333,HEV,0,Statistik Austria
2014M02,monthly,2013.083333,OTHER,0,Statistik Austria
2014M02,monthly,2013.083333,PHEV,0,Statistik Austria
2014M02,monthly,2013.083333,TOTAL,25277,Statistik Austria
2014M03,monthly,2013.166667,BEV,107,Statistik Austria
2014M03,monthly,2013.166667,HEV,0,Statistik Austria
2014M03,monthly,2013.166667,OTHER,0,Statistik Austria
2014M03,monthly,2013.166667,PHEV,0,Statistik Austria
2014M03,monthly,2013.166667,TOTAL,25277,Statistik Austria
2014M04,monthly,2013.25,BEV,107,Statistik Austria
2014M04,monthly,2013.25,HEV,0,Statistik Austria
2014M04,monthly,2013.25,OTHER,0,Statistik Austria
2014M04,monthly,2013.25,PHEV,0,Statistik Austria
2014M04,monthly,2013.25,TOTAL,25277,Statistik Austria
2014M05,monthly,2013.333333,BEV,107,Statistik Austria
2014M05,monthly,2013.333333,HEV,0,Statistik Austria
2014M05,monthly,2013.333333,OTHER,0,Statistik Austria
2014M05,monthly,2013.333333,PHEV,0,Statistik Austria
2014M05,monthly,2013.333333,TOTAL,25277,Statistik Austria
2014M06,monthly,2013.416667,BEV,107,Statistik Austria
2014M06,monthly,2013.416667,HEV,0,Statistik Austria
2014M06,monthly,2013.416667,OTHER,0,Statistik Austria
2014M06,monthly,2013.416667,PHEV,0,Statistik Austria
2014M06,monthly,2013.416667,TOTAL,25277,Statistik Austria
2014M07,monthly,2013.5,BEV,107,Statistik Austria
2014M07,monthly,2013.5,HEV,0,Statistik Austria
2014M07,monthly,2013.5,OTHER,0,Statistik Austria
2014M07,monthly,2013.5,PHEV,0,Statistik Austria
2014M07,monthly,2013.5,TOTAL,25277,Statistik Austria
2014M08,monthly,2013.583333,BEV,107,Statistik Austria
2014M08,monthly,2013.583333,HEV,0,Statistik Austria
2014M08,monthly,2013.583333,OTHER,0,Statistik Austria
2014M08,monthly,2013.583333,PHEV,0,Statistik Austria
2014M08,monthly,2013.583333,TOTAL,25277,Statistik Austria
2014M09,monthly,2013.666667,BEV,107,Statistik Austria
2014M09,monthly,2013.666667,HEV,0,Statistik Austria
2014M09,monthly,2013.666667,OTHER,0,Statistik Austria
2014M09,monthly,2013.666667,PHEV,0,Statistik Austria
2014M09,monthly,2013.666667,TOTAL,25277,Statistik Austria
2014M10,monthly,2013.75,BEV,107,Statistik Austria
2014M10,monthly,2013.75,HEV,0,Statistik Austria
2014M10,monthly,2013.75,OTHER,0,Statistik Austria
2014M10,monthly,2013.75,PHEV,0,Statistik Austria
2014M10,monthly,2013.75,TOTAL,25277,Statistik Austria
2014M11,monthly,2013.833333,BEV,107,Statistik Austria
2014M11,monthly,2013.833333,HEV,0,Statistik Austria
2014M11,monthly,2013.833333,OTHER,0,Statistik Austria
2014M11,monthly,2013.833333,PHEV,0,Statistik Austria
2014M11,monthly,2013.833333,TOTAL,25277,Statistik Austria
2014M12,monthly,2013.916667,BEV,107,Statistik Austria
2014M12,monthly,2013.916667,HEV,0,Statistik Austria
2014M12,monthly,2013.916667,OTHER,0,Statistik Austria
2014M12,monthly,2013.916667,PHEV,0,Statistik Austria
2014M12,monthly,2013.916667,TOTAL,25277,Statistik Austria
2015M01,monthly,2014,BEV,140,Statistik Austria
2015M01,monthly,2014,HEV,0,Statistik Austria
2015M01,monthly,2014,OTHER,0,Statistik Austria
2015M01,monthly,2014,PHEV,0,Statistik Austria
2015M01,monthly,2014,TOTAL,25277,Statistik Austria
2015M02,monthly,2014.083333,BEV,140,Statistik Austria
2015M02,monthly,2014.083333,HEV,0,Statistik Austria
2015M02,monthly,2014.083333,OTHER,0,Statistik Austria
2015M02,monthly,2014.083333,PHEV,0,Statistik Austria
2015M02,monthly,2014.083333,TOTAL,25277,Statistik Austria
2015M03,monthly,2014.166667,BEV,140,Statistik Austria
2015M03,monthly,2014.166667,HEV,0,Statistik Austria
2015M03,monthly,2014.166667,OTHER,0,Statistik Austria
2015M03,monthly,2014.166667,PHEV,0,Statistik Austria
2015M03,monthly,2014.166667,TOTAL,25277,Statistik Austria
2015M04,monthly,2014.25,BEV,140,Statistik Austria
2015M04,monthly,2014.25,HEV,0,Statistik Austria
2015M04,monthly,2014.25,OTHER,0,Statistik Austria
2015M04,monthly,2014.25,PHEV,0,Statistik Austria
