period,interval,year,category,registrations,source
2018M01,quarterly,2017,BEV,304,ACEA
2018M01,quarterly,2017,DIESEL,20749,ACEA
2018M01,quarterly,2017,HEV,1497,ACEA
2018M01,quarterly,2017,OTHER,377,ACEA
2018M01,quarterly,2017,PETROL,31235,ACEA
2018M01,quarterly,2017,PHEV,1022,ACEA
2018M01,quarterly,2017,TOTAL,55185,ACEA
2018M02,quarterly,2017.083333,BEV,304,ACEA
2018M02,quarterly,2017.083333,DIESEL,20749,ACEA
2018M02,quarterly,2017.083333,HEV,1497,ACEA
2018M02,quarterly,2017.083333,OTHER,377,ACEA
2018M02,quarterly,2017.083333,PETROL,31235,ACEA
2018M02,quarterly,2017.083333,PHEV,1022,ACEA
2018M02,quarterly,2017.083333,TOTAL,55185,ACEA
2018M03,quarterly,2017.166667,BEV,304,ACEA
2018M03,quarterly,2017.166667,DIESEL,20749,ACEA
2018M03,quarterly,2017.166667,HEV,1497,ACEA
2018M03,quarterly,2017.166667,OTHER,377,ACEA
2018M03,quarterly,2017.166667,PETROL,31235,ACEA
2018M03,quarterly,2017.166667,PHEV,1022,ACEA
2018M03,quarterly,2017.166667,TOTAL,55185,ACEA
2018M04,quarterly,2017.25,BEV,263,ACEA
2018M04,quarterly,2017.25,DIESEL,19166,ACEA
2018M04,quarterly,2017.25,HEV,1373,ACEA
2018M04,quarterly,2017.25,OTHER,618,ACEA
2018M04,quarterly,2017.25,PETROL,32882,ACEA
2018M04,quarterly,2017.25,PHEV,966,ACEA
2018M04,quarterly,2017.25,TOTAL,55270,ACEA
2018M05,quarterly,2017.333333,BEV,263,ACEA
2018M05,quarterly,2017.333333,DIESEL,19166,ACEA
2018M05,quarterly,2017.333333,HEV,1373,ACEA
2018M05,quarterly,2017.333333,OTHER,618,ACEA
2018M05,quarterly,2017.333333,PETROL,32882,ACEA
2018M05,quarterly,2017.333333,PHEV,966,ACEA
2018M05,quarterly,2017.333333,TOTAL,55270,ACEA
2018M06,quarterly,2017.416667,BEV,263,ACEA
2018M06,quarterly,2017.416667,DIESEL,19166,ACEA
2018M06,quarterly,2017.416667,HEV,1373,ACEA
2018M06,quarterly,2017.416667,OTHER,618,ACEA
2018M06,quarterly,2017.416667,PETROL,32882,ACEA
2018M06,quarterly,2017.416667,PHEV,966,ACEA
2018M06,quarterly,2017.416667,TOTAL,55270,ACEA
2018M07,quarterly,2017.5,BEV,236,ACEA
2018M07,quarterly,2017.5,DIESEL,15001,ACEA
2018M07,quarterly,2017.5,HEV,1058,ACEA
2018M07,quarterly,2017.5,OTHER,284,ACEA
2018M07,quarterly,2017.5,PETROL,24161,ACEA
2018M07,quarterly,2017.5,PHEV,709,ACEA
2018M07,quarterly,2017.5,TOTAL,41451,ACEA
2018M08,quarterly,2017.583333,BEV,236,ACEA
2018M08,quarterly,2017.583333,DIESEL,15001,ACEA
2018M08,quarterly,2017.583333,HEV,1058,ACEA
2018M08,quarterly,2017.583333,OTHER,284,ACEA
2018M08,quarterly,2017.583333,PETROL,24161,ACEA
2018M08,quarterly,2017.583333,PHEV,709,ACEA
2018M08,quarterly,2017.583333,TOTAL,41451,ACEA
2018M09,quarterly,2017.666667,BEV,236,ACEA
2018M09,quarterly,2017.666667,DIESEL,15001,ACEA
2018M09,quarterly,2017.666667,HEV,1058,ACEA
2018M09,quarterly,2017.666667,OTHER,284,ACEA
2018M09,quarterly,2017.666667,PETROL,24161,ACEA
2018M09,quarterly,2017.666667,PHEV,709,ACEA
2018M09,quarterly,2017.666667,TOTAL,41451,ACEA
2018M10,quarterly,2017.75,BEV,411,ACEA
2018M10,quarterly,2017.75,DIESEL,10107,ACEA
2018M10,quarterly,2017.75,HEV,1125,ACEA
2018M10,quarterly,2017.75,OTHER,127,ACEA
2018M10,quarterly,2017.75,PETROL,18995,ACEA
2018M10,quarterly,2017.75,PHEV,537,ACEA
2018M10,quarterly,2017.75,TOTAL,31303,ACEA
2018M11,quarterly,2017.833333,BEV,411,ACEA
2018M11,quarterly,2017.833333,DIESEL,10107,ACEA
2018M11,quarterly,2017.833333,HEV,1125,ACEA
2018M11,quarterly,2017.833333,OTHER,127,ACEA
2018M11,quarterly,2017.833333,PETROL,18995,ACEA
2018M11,quarterly,2017.833333,PHEV,537,ACEA
2018M11,quarterly,2017.833333,TOTAL,31303,ACEA
2018M12,quarterly,2017.916667,BEV,411,ACEA
2018M12,quarterly,2017.916667,DIESEL,10107,ACEA
2018M12,quarterly,2017.916667,HEV,1125,ACEA
2018M12,quarterly,2017.916667,OTHER,127,ACEA
2018M12,quarterly,2017.916667,PETROL,18995,ACEA
2018M12,quarterly,2017.916667,PHEV,537,ACEA
2018M12,quarterly,2017.916667,TOTAL,31303,ACEA
2019M01,quarterly,2018,BEV,732,ACEA
2019M01,quarterly,2018,DIESEL,15382,ACEA
2019M01,quarterly,2018,HEV,1764,ACEA
2019M01,quarterly,2018,OTHER,209,ACEA
2019M01,quarterly,2018,PETROL,33160,ACEA
2019M01,quarterly,2018,PHEV,707,ACEA
2019M01,quarterly,2018,TOTAL,51955,ACEA
2019M02,quarterly,2018.083333,BEV,732,ACEA
2019M02,quarterly,2018.083333,DIESEL,15382,ACEA
2019M02,quarterly,2018.083333,HEV,1764,ACEA
2019M02,quarterly,2018.083333,OTHER,209,ACEA
2019M02,quarterly,2018.083333,PETROL,33160,ACEA
2019M02,quarterly,2018.083333,PHEV,707,ACEA
2019M02,quarterly,2018.083333,TOTAL,51955,ACEA
2019M03,quarterly,2018.166667,BEV,732,ACEA
2019M03,quarterly,2018.166667,DIESEL,15382,ACEA
2019M03,quarterly,2018.166667,HEV,1764,ACEA
2019M03,quarterly,2018.166667,OTHER,209,ACEA
2019M03,quarterly,2018.166667,PETROL,33160,ACEA
2019M03,quarterly,2018.166667,PHEV,707,ACEA
2019M03,quarterly,2018.166667,TOTAL,51955,ACEA
2019M04,quarterly,2018.25,BEV,801,ACEA
2019M04,quarterly,2018.25,DIESEL,16548,ACEA
2019M04,quarterly,2018.25,HEV,1336,ACEA
2019M04,quarterly,2018.25,OTHER,492,ACEA
2019M04,quarterly,2018.25,PETROL,31678,ACEA
2019M04,quarterly,2018.25,PHEV,684,ACEA
2019M04,quarterly,2018.25,TOTAL,51541,ACEA
2019M05,quarterly,2018.333333,BEV,801,ACEA
2019M05,quarterly,2018.333333,DIESEL,16548,ACEA
2019M05,quarterly,2018.333333,HEV,1336,ACEA
2019M05,quarterly,2018.333333,OTHER,492,ACEA
2019M05,quarterly,2018.333333,PETROL,31678,ACEA
2019M05,quarterly,2018.333333,PHEV,684,ACEA
2019M05,quarterly,2018.333333,TOTAL,51541,ACEA
2019M06,quarterly,2018.416667,BEV,801,ACEA
2019M06,quarterly,2018.416667,DIESEL,16548,ACEA
2019M06,quarterly,2018.416667,HEV,1336,ACEA
2019M06,quarterly,2018.416667,OTHER,492,ACEA
2019M06,quarterly,2018.416667,PETROL,31678,ACEA
2019M06,quarterly,2018.416667,PHEV,684,ACEA
2019M06,quarterly,2018.416667,TOTAL,51541,ACEA
2019M07,quarterly,2018.5,BEV,712,ACEA
2019M07,quarterly,2018.5,DIESEL,13699,ACEA
2019M07,quarterly,2018.5,HEV,1424,ACEA
2019M07,quarterly,2018.5,OTHER,303,ACEA
2019M07,quarterly,2018.5,PETROL,26200,ACEA
2019M07,quarterly,2018.5,PHEV,580,ACEA
2019M07,quarterly,2018.5,TOTAL,42920,ACEA
2019M08,quarterly,2018.583333,BEV,712,ACEA
2019M08,quarterly,2018.583333,DIESEL,13699,ACEA
2019M08,quarterly,2018.583333,HEV,1424,ACEA
2019M08,quarterly,2018.583333,OTHER,303,ACEA
2019M08,quarterly,2018.583333,PETROL,26200,ACEA
2019M08,quarterly,2018.583333,PHEV,580,ACEA
2019M08,quarterly,2018.583333,TOTAL,42920,ACEA
2019M09,quarterly,2018.666667,BEV,712,ACEA
2019M09,quarterly,2018.666667,DIESEL,13699,ACEA
2019M09,quarterly,2018.666667,HEV,1424,ACEA
2019M09,quarterly,2018.666667,OTHER,303,ACEA
2019M09,quarterly,2018.666667,PETROL,26200,ACEA
2019M09,quarterly,2018.666667,PHEV,580,ACEA
2019M09,quarterly,2018.666667,TOTAL,42920,ACEA
2019M10,quarterly,2018.75,BEV,699,ACEA
2019M10,quarterly,2018.75,DIESEL,11891,ACEA
2019M10,quarterly,2018.75,HEV,1206,ACEA
2019M10,quarterly,2018.75,OTHER,226,ACEA
2019M10,quarterly,2018.75,PETROL,21810,ACEA
2019M10,quarterly,2018.75,PHEV,1083,ACEA
2019M10,quarterly,2018.75,TOTAL,36918,ACEA
2019M11,quarterly,2018.833333,BEV,699,ACEA
2019M11,quarterly,2018.833333,DIESEL,11891,ACEA
2019M11,quarterly,2018.833333,HEV,1206,ACEA
2019M11,quarterly,2018.833333,OTHER,226,ACEA
2019M11,quarterly,2018.833333,PETROL,21810,ACEA
2019M11,quarterly,2018.833333,PHEV,1083,ACEA
2019M11,quarterly,2018.833333,TOTAL,36918,ACEA
2019M12,quarterly,2018.916667,BEV,699,ACEA
2019M12,quarterly,2018.916667,DIESEL,11891,ACEA
2019M12,quarterly,2018.916667,HEV,1206,ACEA
2019M12,quarterly,2018.916667,OTHER,226,ACEA
2019M12,quarterly,2018.916667,PETROL,21810,ACEA
2019M12,quarterly,2018.916667,PHEV,1083,ACEA
2019M12,quarterly,2018.916667,TOTAL,36918,ACEA
2020M01,quarterly,2019,BEV,961,ACEA
2020M01,quarterly,2019,DIESEL,13507,ACEA
2020M01,quarterly,2019,HEV,1998,ACEA
2020M01,quarterly,2019,OTHER,273,ACEA
2020M01,quarterly,2019,PETROL,24129,ACEA
2020M01,quarterly,2019,PHEV,1602,ACEA
2020M01,quarterly,2019,TOTAL,42472,ACEA
2020M02,quarterly,2019.083333,BEV,961,ACEA
2020M02,quarterly,2019.083333,DIESEL,13507,ACEA
2020M02,quarterly,2019.083333,HEV,1998,ACEA
2020M02,quarterly,2019.083333,OTHER,273,ACEA
2020M02,quarterly,2019.083333,PETROL,24129,ACEA
2020M02,quarterly,2019.083333,PHEV,1602,ACEA
2020M02,quarterly,2019.083333,TOTAL,42472,ACEA
2020M03,quarterly,2019.166667,BEV,961,ACEA
2020M03,quarterly,2019.166667,DIESEL,13507,ACEA
2020M03,quarterly,2019.166667,HEV,1998,ACEA
2020M03,quarterly,2019.166667,OTHER,273,ACEA
2020M03,quarterly,2019.166667,PETROL,24129,ACEA
2020M03,quarterly,2019.166667,PHEV,1602,ACEA
2020M03,quarterly,2019.166667,TOTAL,42472,ACEA
2020M04,quarterly,2019.25,BEV,680,ACEA
2020M04,quarterly,2019.25,DIESEL,9659,ACEA
2020M04,quarterly,2019.25,HEV,975,ACEA
2020M04,quarterly,2019.25,OTHER,284,ACEA
2020M04,quarterly,2019.25,PETROL,16692,ACEA
2020M04,quarterly,2019.25,PHEV,1437,ACEA
2020M04,quarterly,2019.25,TOTAL,29729,ACEA
2020M05,quarterly,2019.333333,BEV,680,ACEA
2020M05,quarterly,2019.333333,DIESEL,9659,ACEA
2020M05,quarterly,2019.333333,HEV,975,ACEA
2020M05,quarterly,2019.333333,OTHER,284,ACEA
2020M05,quarterly,2019.333333,PETROL,16692,ACEA
2020M05,quarterly,2019.333333,PHEV,1437,ACEA
2020M05,quarterly,2019.333333,TOTAL,29729,ACEA
2020M06,quarterly,2019.416667,BEV,680,ACEA
2020M06,quarterly,2019.416667,DIESEL,9659,ACEA
2020M06,quarterly,2019.416667,HEV,975,ACEA
2020M06,quarterly,2019.416667,OTHER,284,ACEA
2020M06,quarterly,2019.416667,PETROL,16692,ACEA
2020M06,quarterly,2019.416667,PHEV,1437,ACEA
2020M06,quarterly,2019.416667,TOTAL,29729,ACEA
2020M07,quarterly,2019.5,BEV,1461,ACEA
2020M07,quarterly,2019.5,DIESEL,13117,ACEA
2020M07,quarterly,2019.5,HEV,1292,ACEA
2020M07,quarterly,2019.5,OTHER,422,ACEA
2020M07,quarterly,2019.5,PETROL,20023,ACEA
2020M07,quarterly,2019.5,PHEV,2683,ACEA
2020M07,quarterly,2019.5,TOTAL,39000,ACEA
2020M08,quarterly,2019.583333,BEV,1461,ACEA
2020M08,quarterly,2019.583333,DIESEL,13117,ACEA
2020M08,quarterly,2019.583333,HEV,1292,ACEA
2020M08,quarterly,2019.583333,OTHER,422,ACEA
2020M08,quarterly,2019.583333,PETROL,20023,ACEA
2020M08,quarterly,2019.583333,PHEV,2683,ACEA
2020M08,quarterly,2019.583333,TOTAL,39000,ACEA
2020M09,quarterly,2019.666667,BEV,1461,ACEA
2020M09,quarterly,2019.666667,DIESEL,13117,ACEA
2020M09,quarterly,2019.666667,HEV,1292,ACEA
2020M09,quarterly,2019.666667,OTHER,422,ACEA
2020M09,quarterly,2019.666667,PETROL,20023,ACEA
2020M09,quarterly,2019.666667,PHEV,2683,ACEA
2020M09,quarterly,2019.666667,TOTAL,39000,ACEA
2020M10,quarterly,2019.75,BEV,1894,ACEA
2020M10,quarterly,2019.75,DIESEL,11036,ACEA
2020M10,quarterly,2019.75,HEV,1010,ACEA
2020M10,quarterly,2019.75,OTHER,307,ACEA
2020M10,quarterly,2019.75,PETROL,13654,ACEA
2020M10,quarterly,2019.75,PHEV,4724,ACEA
2020M10,quarterly,2019.75,TOTAL,32628,ACEA
2020M11,quarterly,2019.833333,BEV,1894,ACEA
2020M11,quarterly,2019.833333,DIESEL,11036,ACEA
2020M11,quarterly,2019.833333,HEV,1010,ACEA
2020M11,quarterly,2019.833333,OTHER,307,ACEA
2020M11,quarterly,2019.833333,PETROL,13654,ACEA
2020M11,quarterly,2019.833333,PHEV,4724,ACEA
2020M11,quarterly,2019.833333,TOTAL,32628,ACEA
2020M12,quarterly,2019.916667,BEV,1894,ACEA
2020M12,quarterly,2019.916667,DIESEL,11036,ACEA
2020M12,quarterly,2019.916667,HEV,1010,ACEA
2020M12,quarterly,2019.916667,OTHER,307,ACEA
2020M12,quarterly,2019.916667,PETROL,13654,ACEA
2020M12,quarterly,2019.916667,PHEV,4724,ACEA
2020M12,quarterly,2019.916667,TOTAL,32628,ACEA
2021M01,quarterly,2020,BEV,1346.333333,ACEA
2021M01,quarterly,2020,DIESEL,10706.33333,ACEA
2021M01,quarterly,2020,HEV,1799,ACEA
2021M01,quarterly,2020,OTHER,281,ACEA
2021M01,quarterly,2020,PETROL,21365.33333,ACEA
2021M01,quarterly,2020,PHEV,4247.666667,ACEA
2021M01,quarterly,2020,TOTAL,39746,ACEA
2021M02,quarterly,2020.083333,BEV,1346.333333,ACEA
2021M02,quarterly,2020.083333,DIESEL,10706.33333,ACEA
2021M02,quarterly,2020.083333,HEV,1799,ACEA
2021M02,quarterly,2020.083333,OTHER,281,ACEA
2021M02,quarterly,2020.083333,PETROL,21365.33333,ACEA
2021M02,quarterly,2020.083333,PHEV,4247.666667,ACEA
2021M02,quarterly,2020.083333,TOTAL,39746,ACEA
2021M03,quarterly,2020.166667,BEV,1346.333333,ACEA
2021M03,quarterly,2020.166667,DIESEL,10706.33333,ACEA
2021M03,quarterly,2020.166667,HEV,1799,ACEA
2021M03,quarterly,2020.166667,OTHER,281,ACEA
2021M03,quarterly,2020.166667,PETROL,21365.33333,ACEA
2021M03,quarterly,2020.166667,PHEV,4247.666667,ACEA
2021M03,quarterly,2020.166667,TOTAL,39746,ACEA
2021M04,quarterly,2020.25,BEV,1691,ACEA
2021M04,quarterly,2020.25,DIESEL,9126,ACEA
2021M04,quarterly,2020.25,HEV,1764,ACEA
2021M04,quarterly,2020.25,OTHER,298,ACEA
2021M04,quarterly,2020.25,PETROL,20393,ACEA
2021M04,quarterly,2020.25,PHEV,4445,ACEA
2021M04,quarterly,2020.25,TOTAL,37718,ACEA
2021M05,quarterly,2020.333333,BEV,1691,ACEA
2021M05,quarterly,2020.333333,DIESEL,9126,ACEA
2021M05,quarterly,2020.333333,HEV,1764,ACEA
2021M05,quarterly,2020.333333,OTHER,298,ACEA
2021M05,quarterly,2020.333333,PETROL,20393,ACEA
2021M05,quarterly,2020.333333,PHEV,4445,ACEA
2021M05,quarterly,2020.333333,TOTAL,37718,ACEA
2021M06,quarterly,2020.416667,BEV,1691,ACEA
2021M06,quarterly,2020.416667,DIESEL,9126,ACEA
2021M06,quarterly,2020.416667,HEV,1764,ACEA
2021M06,quarterly,2020.416667,OTHER,298,ACEA
2021M06,quarterly,2020.416667,PETROL,20393,ACEA
2021M06,quarterly,2020.416667,PHEV,4445,ACEA
2021M06,quarterly,2020.416667,TOTAL,37718,ACEA
2021M07,quarterly,2020.5,BEV,2061,ACEA
2021M07,quarterly,2020.5,DIESEL,5624,ACEA
2021M07,quarterly,2020.5,HEV,1659,ACEA
2021M07,quarterly,2020.5,OTHER,240.3333333,ACEA
2021M07,quarterly,2020.5,PETROL,13742,ACEA
2021M07,quarterly,2020.5,PHEV,3731,ACEA
2021M07,quarterly,2020.5,TOTAL,27057,ACEA
2021M08,quarterly,2020.583333,BEV,2061,ACEA
2021M08,quarterly,2020.583333,DIESEL,5624,ACEA
2021M08,quarterly,2020.583333,HEV,1659,ACEA
2021M08,quarterly,2020.583333,OTHER,240.3333333,ACEA
2021M08,quarterly,2020.583333,PETROL,13742,ACEA
2021M08,quarterly,2020.583333,PHEV,3731,ACEA
2021M08,quarterly,2020.583333,TOTAL,27057,ACEA
2021M09,quarterly,2020.666667,BEV,2061,ACEA
2021M09,quarterly,2020.666667,DIESEL,5624,ACEA
2021M09,quarterly,2020.666667,HEV,1659,ACEA
2021M09,quarterly,2020.666667,OTHER,240.3333333,ACEA
2021M09,quarterly,2020.666667,PETROL,13742,ACEA
2021M09,quarterly,2020.666667,PHEV,3731,ACEA
2021M09,quarterly,2020.666667,TOTAL,27057,ACEA
2021M10,quarterly,2020.75,BEV,2460,ACEA
2021M10,quarterly,2020.75,DIESEL,4842,ACEA
2021M10,quarterly,2020.75,HEV,1338,ACEA
2021M10,quarterly,2020.75,OTHER,209,ACEA
2021M10,quarterly,2020.75,PETROL,10838,ACEA
2021M10,quarterly,2020.75,PHEV,3496,ACEA
2021M10,quarterly,2020.75,TOTAL,23185,ACEA
2021M11,quarterly,2020.833333,BEV,2460,ACEA
2021M11,quarterly,2020.833333,DIESEL,4842,ACEA
2021M11,quarterly,2020.833333,HEV,1338,ACEA
2021M11,quarterly,2020.833333,OTHER,209,ACEA
2021M11,quarterly,2020.833333,PETROL,10838,ACEA
2021M11,quarterly,2020.833333,PHEV,3496,ACEA
2021M11,quarterly,2020.833333,TOTAL,23185,ACEA
2021M12,quarterly,2020.916667,BEV,2460,ACEA
2021M12,quarterly,2020.916667,DIESEL,4842,ACEA
2021M12,quarterly,2020.916667,HEV,1338,ACEA
2021M12,quarterly,2020.916667,OTHER,209,ACEA
2021M12,quarterly,2020.916667,PETROL,10838,ACEA
2021M12,quarterly,2020.916667,PHEV,3496,ACEA
