period,interval,year,category,registrations,source
2012M01,monthly,2011,BEV,0.6370529281764102,ANFAVEA
2012M01,monthly,2011,DIESEL,16687,ANFAVEA
2012M01,monthly,2011,FLEXFUEL,211422,ANFAVEA
2012M01,monthly,2011,HEV,9,ANFAVEA
2012M01,monthly,2011,OTHER,0,ANFAVEA
2012M01,monthly,2011,PETROL,24554,ANFAVEA
2012M01,monthly,2011,PHEV,0,ANFAVEA
2012M01,monthly,2011,TOTAL,252672.6371,ANFAVEA
2012M02,monthly,2011.083333,BEV,1.1325385592904238,ANFAVEA
2012M02,monthly,2011.083333,DIESEL,11819,ANFAVEA
2012M02,monthly,2011.083333,FLEXFUEL,202970,ANFAVEA
2012M02,monthly,2011.083333,HEV,16,ANFAVEA
2012M02,monthly,2011.083333,OTHER,0,ANFAVEA
2012M02,monthly,2011.083333,PETROL,21040,ANFAVEA
2012M02,monthly,2011.083333,PHEV,0,ANFAVEA
2012M02,monthly,2011.083333,TOTAL,235846.1325,ANFAVEA
2012M03,monthly,2011.166667,BEV,0.495485633043855,ANFAVEA
2012M03,monthly,2011.166667,DIESEL,13138,ANFAVEA
2012M03,monthly,2011.166667,FLEXFUEL,243878,ANFAVEA
2012M03,monthly,2011.166667,HEV,7,ANFAVEA
2012M03,monthly,2011.166667,OTHER,0,ANFAVEA
2012M03,monthly,2011.166667,PETROL,26766,ANFAVEA
2012M03,monthly,2011.166667,PHEV,0,ANFAVEA
2012M03,monthly,2011.166667,TOTAL,283789.4955,ANFAVEA
2012M04,monthly,2011.25,BEV,0.21235098459537144,ANFAVEA
2012M04,monthly,2011.25,DIESEL,11035,ANFAVEA
2012M04,monthly,2011.25,FLEXFUEL,209603,ANFAVEA
2012M04,monthly,2011.25,HEV,3,ANFAVEA
2012M04,monthly,2011.25,OTHER,0,ANFAVEA
2012M04,monthly,2011.25,PETROL,23948,ANFAVEA
2012M04,monthly,2011.25,PHEV,0,ANFAVEA
2012M04,monthly,2011.25,TOTAL,244589.2124,ANFAVEA
2012M05,monthly,2011.333333,BEV,0.9201875868614914,ANFAVEA
2012M05,monthly,2011.333333,DIESEL,15660,ANFAVEA
2012M05,monthly,2011.333333,FLEXFUEL,233619,ANFAVEA
2012M05,monthly,2011.333333,HEV,13,ANFAVEA
2012M05,monthly,2011.333333,OTHER,0,ANFAVEA
2012M05,monthly,2011.333333,PETROL,25007,ANFAVEA
2012M05,monthly,2011.333333,PHEV,0,ANFAVEA
2012M05,monthly,2011.333333,TOTAL,274299.9202,ANFAVEA
2012M06,monthly,2011.416667,BEV,1.6280241151972312,ANFAVEA
2012M06,monthly,2011.416667,DIESEL,16177,ANFAVEA
2012M06,monthly,2011.416667,FLEXFUEL,301201,ANFAVEA
2012M06,monthly,2011.416667,HEV,23,ANFAVEA
2012M06,monthly,2011.416667,OTHER,0,ANFAVEA
2012M06,monthly,2011.416667,PETROL,23218,ANFAVEA
2012M06,monthly,2011.416667,PHEV,0,ANFAVEA
2012M06,monthly,2011.416667,TOTAL,340620.628,ANFAVEA
2012M07,monthly,2011.5,BEV,0.35391824612089684,ANFAVEA
2012M07,monthly,2011.5,DIESEL,17932,ANFAVEA
2012M07,monthly,2011.5,FLEXFUEL,309415,ANFAVEA
2012M07,monthly,2011.5,HEV,5,ANFAVEA
2012M07,monthly,2011.5,OTHER,0,ANFAVEA
2012M07,monthly,2011.5,PETROL,23876,ANFAVEA
2012M07,monthly,2011.5,PHEV,0,ANFAVEA
2012M07,monthly,2011.5,TOTAL,351228.3539,ANFAVEA
2012M08,monthly,2011.583333,BEV,0.21235093563019322,ANFAVEA
2012M08,monthly,2011.583333,DIESEL,20134,ANFAVEA
2012M08,monthly,2011.583333,FLEXFUEL,358307,ANFAVEA
2012M08,monthly,2011.583333,HEV,3,ANFAVEA
2012M08,monthly,2011.583333,OTHER,0,ANFAVEA
2012M08,monthly,2011.583333,PETROL,27034,ANFAVEA
2012M08,monthly,2011.583333,PHEV,0,ANFAVEA
2012M08,monthly,2011.583333,TOTAL,405478.2124,ANFAVEA
2012M09,monthly,2011.666667,BEV,0.1415672887214694,ANFAVEA
2012M09,monthly,2011.666667,DIESEL,16550,ANFAVEA
2012M09,monthly,2011.666667,FLEXFUEL,240344,ANFAVEA
2012M09,monthly,2011.666667,HEV,2,ANFAVEA
2012M09,monthly,2011.666667,OTHER,0,ANFAVEA
2012M09,monthly,2011.666667,PETROL,20789,ANFAVEA
2012M09,monthly,2011.666667,PHEV,0,ANFAVEA
2012M09,monthly,2011.666667,TOTAL,277685.1416,ANFAVEA
2012M10,monthly,2011.75,BEV,0.14156728957444195,ANFAVEA
2012M10,monthly,2011.75,DIESEL,19455,ANFAVEA
2012M10,monthly,2011.75,FLEXFUEL,286885,ANFAVEA
2012M10,monthly,2011.75,HEV,2,ANFAVEA
2012M10,monthly,2011.75,OTHER,0,ANFAVEA
2012M10,monthly,2011.75,PETROL,20689,ANFAVEA
2012M10,monthly,2011.75,PHEV,0,ANFAVEA
2012M10,monthly,2011.75,TOTAL,327031.1416,ANFAVEA
2012M11,monthly,2011.833333,BEV,1.274105688161851,ANFAVEA
2012M11,monthly,2011.833333,DIESEL,17404,ANFAVEA
2012M11,monthly,2011.833333,FLEXFUEL,261382,ANFAVEA
2012M11,monthly,2011.833333,HEV,18,ANFAVEA
2012M11,monthly,2011.833333,OTHER,0,ANFAVEA
2012M11,monthly,2011.833333,PETROL,18277,ANFAVEA
2012M11,monthly,2011.833333,PHEV,0,ANFAVEA
2012M11,monthly,2011.833333,TOTAL,297082.2741,ANFAVEA
2012M12,monthly,2011.916667,BEV,1.1325384997424575,ANFAVEA
2012M12,monthly,2011.916667,DIESEL,21286,ANFAVEA
2012M12,monthly,2011.916667,FLEXFUEL,303848,ANFAVEA
2012M12,monthly,2011.916667,HEV,16,ANFAVEA
2012M12,monthly,2011.916667,OTHER,0,ANFAVEA
2012M12,monthly,2011.916667,PETROL,18717,ANFAVEA
2012M12,monthly,2011.916667,PHEV,0,ANFAVEA
2012M12,monthly,2011.916667,TOTAL,343868.1325,ANFAVEA
2013M01,monthly,2012,BEV,3.1852649520592884,ANFAVEA
2013M01,monthly,2012,DIESEL,18174,ANFAVEA
2013M01,monthly,2012,FLEXFUEL,262500,ANFAVEA
2013M01,monthly,2012,HEV,45,ANFAVEA
2013M01,monthly,2012,OTHER,0,ANFAVEA
2013M01,monthly,2012,PETROL,16470,ANFAVEA
2013M01,monthly,2012,PHEV,0,ANFAVEA
2013M01,monthly,2012,TOTAL,297192.1853,ANFAVEA
2013M02,monthly,2012.083333,BEV,1.5572407132400403,ANFAVEA
2013M02,monthly,2012.083333,DIESEL,13841,ANFAVEA
2013M02,monthly,2012.083333,FLEXFUEL,196783,ANFAVEA
2013M02,monthly,2012.083333,HEV,22,ANFAVEA
2013M02,monthly,2012.083333,OTHER,0,ANFAVEA
2013M02,monthly,2012.083333,PETROL,12085,ANFAVEA
2013M02,monthly,2012.083333,PHEV,0,ANFAVEA
2013M02,monthly,2012.083333,TOTAL,222732.5572,ANFAVEA
2013M03,monthly,2012.166667,BEV,3.7515343820938774,ANFAVEA
2013M03,monthly,2012.166667,DIESEL,16838,ANFAVEA
2013M03,monthly,2012.166667,FLEXFUEL,238798,ANFAVEA
2013M03,monthly,2012.166667,HEV,53,ANFAVEA
2013M03,monthly,2012.166667,OTHER,0,ANFAVEA
2013M03,monthly,2012.166667,PETROL,12900,ANFAVEA
2013M03,monthly,2012.166667,PHEV,0,ANFAVEA
2013M03,monthly,2012.166667,TOTAL,268592.7515,ANFAVEA
2013M04,monthly,2012.25,BEV,3.5391830086079628,ANFAVEA
2013M04,monthly,2012.25,DIESEL,19084,ANFAVEA
2013M04,monthly,2012.25,FLEXFUEL,281017,ANFAVEA
2013M04,monthly,2012.25,HEV,50,ANFAVEA
2013M04,monthly,2012.25,OTHER,0,ANFAVEA
2013M04,monthly,2012.25,PETROL,16832,ANFAVEA
2013M04,monthly,2012.25,PHEV,0,ANFAVEA
2013M04,monthly,2012.25,TOTAL,316986.5392,ANFAVEA
