period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,16,ACEA
2018M01,monthly,2017,DIESEL,1603,ACEA
2018M01,monthly,2017,HEV,112,ACEA
2018M01,monthly,2017,OTHER,0,ACEA
2018M01,monthly,2017,PETROL,1515,ACEA
2018M01,monthly,2017,PHEV,2,ACEA
2018M01,monthly,2017,TOTAL,3249,ACEA
2018M02,monthly,2017.083333,BEV,16,ACEA
2018M02,monthly,2017.083333,DIESEL,1603,ACEA
2018M02,monthly,2017.083333,HEV,112,ACEA
2018M02,monthly,2017.083333,OTHER,0,ACEA
2018M02,monthly,2017.083333,PETROL,1515,ACEA
2018M02,monthly,2017.083333,PHEV,2,ACEA
2018M02,monthly,2017.083333,TOTAL,3249,ACEA
2018M03,monthly,2017.166667,BEV,16,ACEA
2018M03,monthly,2017.166667,DIESEL,1603,ACEA
2018M03,monthly,2017.166667,HEV,112,ACEA
2018M03,monthly,2017.166667,OTHER,0,ACEA
2018M03,monthly,2017.166667,PETROL,1515,ACEA
2018M03,monthly,2017.166667,PHEV,2,ACEA
2018M03,monthly,2017.166667,TOTAL,3249,ACEA
2018M04,monthly,2017.25,BEV,5,ACEA
2018M04,monthly,2017.25,DIESEL,1797,ACEA
2018M04,monthly,2017.25,HEV,124,ACEA
2018M04,monthly,2017.25,OTHER,0,ACEA
2018M04,monthly,2017.25,PETROL,1848,ACEA
2018M04,monthly,2017.25,PHEV,2,ACEA
2018M04,monthly,2017.25,TOTAL,3778,ACEA
2018M05,monthly,2017.333333,BEV,5,ACEA
2018M05,monthly,2017.333333,DIESEL,1797,ACEA
2018M05,monthly,2017.333333,HEV,124,ACEA
2018M05,monthly,2017.333333,OTHER,0,ACEA
2018M05,monthly,2017.333333,PETROL,1848,ACEA
2018M05,monthly,2017.333333,PHEV,2,ACEA
2018M05,monthly,2017.333333,TOTAL,3778,ACEA
2018M06,monthly,2017.416667,BEV,5,ACEA
2018M06,monthly,2017.416667,DIESEL,1797,ACEA
2018M06,monthly,2017.416667,HEV,124,ACEA
2018M06,monthly,2017.416667,OTHER,0,ACEA
2018M06,monthly,2017.416667,PETROL,1848,ACEA
2018M06,monthly,2017.416667,PHEV,2,ACEA
2018M06,monthly,2017.416667,TOTAL,3778,ACEA
2018M07,monthly,2017.5,BEV,15,ACEA
2018M07,monthly,2017.5,DIESEL,1775,ACEA
2018M07,monthly,2017.5,HEV,131,ACEA
2018M07,monthly,2017.5,OTHER,80,ACEA
2018M07,monthly,2017.5,PETROL,1677,ACEA
