period,interval,year,category,registrations,source
2011M02,quarterly,2010.083333,BEV,49.5,150.statcan.gc.ca
2011M02,quarterly,2010.083333,DIESEL,4122,150.statcan.gc.ca
2011M02,quarterly,2010.083333,HEV,1867.25,150.statcan.gc.ca
2011M02,quarterly,2010.083333,OTHER,0,150.statcan.gc.ca
2011M02,quarterly,2010.083333,PETROL,160846,150.statcan.gc.ca
2011M02,quarterly,2010.083333,PHEV,75.75,150.statcan.gc.ca
2011M02,quarterly,2010.083333,TOTAL,166960.5,150.statcan.gc.ca
2011M05,quarterly,2010.333333,BEV,49.5,150.statcan.gc.ca
2011M05,quarterly,2010.333333,DIESEL,4122,150.statcan.gc.ca
2011M05,quarterly,2010.333333,HEV,1867.25,150.statcan.gc.ca
2011M05,quarterly,2010.333333,OTHER,0,150.statcan.gc.ca
2011M05,quarterly,2010.333333,PETROL,160846,150.statcan.gc.ca
2011M05,quarterly,2010.333333,PHEV,75.75,150.statcan.gc.ca
2011M05,quarterly,2010.333333,TOTAL,166960.5,150.statcan.gc.ca
2011M08,quarterly,2010.583333,BEV,49.5,150.statcan.gc.ca
2011M08,quarterly,2010.583333,DIESEL,4122,150.statcan.gc.ca
2011M08,quarterly,2010.583333,HEV,1867.25,150.statcan.gc.ca
2011M08,quarterly,2010.583333,OTHER,0,150.statcan.gc.ca
2011M08,quarterly,2010.583333,PETROL,160846,150.statcan.gc.ca
2011M08,quarterly,2010.583333,PHEV,75.75,150.statcan.gc.ca
2011M08,quarterly,2010.583333,TOTAL,166960.5,150.statcan.gc.ca
2011M11,quarterly,2010.833333,BEV,49.5,150.statcan.gc.ca
2011M11,quarterly,2010.833333,DIESEL,4122,150.statcan.gc.ca
2011M11,quarterly,2010.833333,HEV,1867.25,150.statcan.gc.ca
2011M11,quarterly,2010.833333,OTHER,0,150.statcan.gc.ca
2011M11,quarterly,2010.833333,PETROL,160846,150.statcan.gc.ca
2011M11,quarterly,2010.833333,PHEV,75.75,150.statcan.gc.ca
2011M11,quarterly,2010.833333,TOTAL,166960.5,150.statcan.gc.ca
2012M02,quarterly,2011.083333,BEV,157.75,150.statcan.gc.ca
2012M02,quarterly,2011.083333,DIESEL,4606,150.statcan.gc.ca
2012M02,quarterly,2011.083333,HEV,4638.5,150.statcan.gc.ca
2012M02,quarterly,2011.083333,OTHER,0,150.statcan.gc.ca
2012M02,quarterly,2011.083333,PETROL,170020,150.statcan.gc.ca
2012M02,quarterly,2011.083333,PHEV,335.75,150.statcan.gc.ca
2012M02,quarterly,2011.083333,TOTAL,179758,150.statcan.gc.ca
2012M05,quarterly,2011.333333,BEV,157.75,150.statcan.gc.ca
2012M05,quarterly,2011.333333,DIESEL,4606,150.statcan.gc.ca
2012M05,quarterly,2011.333333,HEV,4638.5,150.statcan.gc.ca
2012M05,quarterly,2011.333333,OTHER,0,150.statcan.gc.ca
2012M05,quarterly,2011.333333,PETROL,170020,150.statcan.gc.ca
2012M05,quarterly,2011.333333,PHEV,335.75,150.statcan.gc.ca
2012M05,quarterly,2011.333333,TOTAL,179758,150.statcan.gc.ca
2012M08,quarterly,2011.583333,BEV,157.75,150.statcan.gc.ca
2012M08,quarterly,2011.583333,DIESEL,4606,150.statcan.gc.ca
2012M08,quarterly,2011.583333,HEV,4638.5,150.statcan.gc.ca
2012M08,quarterly,2011.583333,OTHER,0,150.statcan.gc.ca
2012M08,quarterly,2011.583333,PETROL,170020,150.statcan.gc.ca
2012M08,quarterly,2011.583333,PHEV,335.75,150.statcan.gc.ca
2012M08,quarterly,2011.583333,TOTAL,179758,150.statcan.gc.ca
2012M11,quarterly,2011.833333,BEV,157.75,150.statcan.gc.ca
2012M11,quarterly,2011.833333,DIESEL,4606,150.statcan.gc.ca
2012M11,quarterly,2011.833333,HEV,4638.5,150.statcan.gc.ca
2012M11,quarterly,2011.833333,OTHER,0,150.statcan.gc.ca
2012M11,quarterly,2011.833333,PETROL,170020,150.statcan.gc.ca
2012M11,quarterly,2011.833333,PHEV,335.75,150.statcan.gc.ca
2012M11,quarterly,2011.833333,TOTAL,179758,150.statcan.gc.ca
2013M02,quarterly,2012.083333,BEV,399.5,150.statcan.gc.ca
2013M02,quarterly,2012.083333,DIESEL,4805,150.statcan.gc.ca
2013M02,quarterly,2012.083333,HEV,4686.5,150.statcan.gc.ca
2013M02,quarterly,2012.083333,OTHER,0,150.statcan.gc.ca
2013M02,quarterly,2012.083333,PETROL,175853.75,150.statcan.gc.ca
2013M02,quarterly,2012.083333,PHEV,387,150.statcan.gc.ca
2013M02,quarterly,2012.083333,TOTAL,186131.75,150.statcan.gc.ca
2013M05,quarterly,2012.333333,BEV,399.5,150.statcan.gc.ca
2013M05,quarterly,2012.333333,DIESEL,4805,150.statcan.gc.ca
2013M05,quarterly,2012.333333,HEV,4686.5,150.statcan.gc.ca
2013M05,quarterly,2012.333333,OTHER,0,150.statcan.gc.ca
2013M05,quarterly,2012.333333,PETROL,175853.75,150.statcan.gc.ca
2013M05,quarterly,2012.333333,PHEV,387,150.statcan.gc.ca
2013M05,quarterly,2012.333333,TOTAL,186131.75,150.statcan.gc.ca
2013M08,quarterly,2012.583333,BEV,399.5,150.statcan.gc.ca
2013M08,quarterly,2012.583333,DIESEL,4805,150.statcan.gc.ca
2013M08,quarterly,2012.583333,HEV,4686.5,150.statcan.gc.ca
2013M08,quarterly,2012.583333,OTHER,0,150.statcan.gc.ca
2013M08,quarterly,2012.583333,PETROL,175853.75,150.statcan.gc.ca
2013M08,quarterly,2012.583333,PHEV,387,150.statcan.gc.ca
2013M08,quarterly,2012.583333,TOTAL,186131.75,150.statcan.gc.ca
2013M11,quarterly,2012.833333,BEV,399.5,150.statcan.gc.ca
2013M11,quarterly,2012.833333,DIESEL,4805,150.statcan.gc.ca
2013M11,quarterly,2012.833333,HEV,4686.5,150.statcan.gc.ca
2013M11,quarterly,2012.833333,OTHER,0,150.statcan.gc.ca
2013M11,quarterly,2012.833333,PETROL,175853.75,150.statcan.gc.ca
