period,interval,year,category,registrations,source
2015M01,monthly,2014,BEV,0,ANAC
2015M01,monthly,2014,HEV,11,ANAC
2015M01,monthly,2014,ICE,18211,ANAC
2015M01,monthly,2014,OTHER,11,ANAC
2015M01,monthly,2014,PHEV,0,ANAC
2015M01,monthly,2014,TOTAL,18233,ANAC
2015M02,monthly,2014.083333,BEV,0.7185430463576159,ANAC
2015M02,monthly,2014.083333,HEV,8,ANAC
2015M02,monthly,2014.083333,ICE,21452,ANAC
2015M02,monthly,2014.083333,OTHER,8,ANAC
2015M02,monthly,2014.083333,PHEV,0.2814569536423841,ANAC
2015M02,monthly,2014.083333,TOTAL,21469,ANAC
2015M03,monthly,2014.166667,BEV,2.8741721854304636,ANAC
2015M03,monthly,2014.166667,HEV,15,ANAC
2015M03,monthly,2014.166667,ICE,23050,ANAC
2015M03,monthly,2014.166667,OTHER,15,ANAC
2015M03,monthly,2014.166667,PHEV,1.1258278145695364,ANAC
2015M03,monthly,2014.166667,TOTAL,23084,ANAC
2015M04,monthly,2014.25,BEV,3.5927152317880795,ANAC
2015M04,monthly,2014.25,HEV,15,ANAC
2015M04,monthly,2014.25,ICE,21149,ANAC
2015M04,monthly,2014.25,OTHER,15,ANAC
2015M04,monthly,2014.25,PHEV,1.4072847682119205,ANAC
2015M04,monthly,2014.25,TOTAL,21184,ANAC
2015M05,monthly,2014.333333,BEV,2.8741721854304636,ANAC
2015M05,monthly,2014.333333,HEV,9,ANAC
2015M05,monthly,2014.333333,ICE,22610,ANAC
2015M05,monthly,2014.333333,OTHER,9,ANAC
2015M05,monthly,2014.333333,PHEV,1.1258278145695364,ANAC
2015M05,monthly,2014.333333,TOTAL,22632,ANAC
2015M06,monthly,2014.416667,BEV,2.1556291390728477,ANAC
2015M06,monthly,2014.416667,HEV,18,ANAC
2015M06,monthly,2014.416667,ICE,22208,ANAC
2015M06,monthly,2014.416667,OTHER,18,ANAC
2015M06,monthly,2014.416667,PHEV,0.8443708609271523,ANAC
2015M06,monthly,2014.416667,TOTAL,22247,ANAC
2015M07,monthly,2014.5,BEV,3.5927152317880795,ANAC
2015M07,monthly,2014.5,HEV,19,ANAC
2015M07,monthly,2014.5,ICE,24331,ANAC
2015M07,monthly,2014.5,OTHER,19,ANAC
2015M07,monthly,2014.5,PHEV,1.4072847682119205,ANAC
2015M07,monthly,2014.5,TOTAL,24374,ANAC
2015M08,monthly,2014.583333,BEV,3.5927152317880795,ANAC
2015M08,monthly,2014.583333,HEV,21,ANAC
2015M08,monthly,2014.583333,ICE,28622,ANAC
2015M08,monthly,2014.583333,OTHER,21,ANAC
2015M08,monthly,2014.583333,PHEV,1.4072847682119205,ANAC
2015M08,monthly,2014.583333,TOTAL,28669,ANAC
2015M09,monthly,2014.666667,BEV,1.4370860927152318,ANAC
