period,interval,year,category,registrations,source
2010M01,yearly,2009,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M01,yearly,2009,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M01,yearly,2009,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M01,yearly,2009,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M01,yearly,2009,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M01,yearly,2009,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M02,yearly,2009.083333,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M03,yearly,2009.166667,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M04,yearly,2009.25,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M05,yearly,2009.333333,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M06,yearly,2009.416667,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,ICE,1149880,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,OTHER,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,PHEV,28.333333333333332,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M07,yearly,2009.5,TOTAL,1150000,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M08,yearly,2009.583333,BEV,91.66666666666667,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
2010M08,yearly,2009.583333,EREV,0,CPCA (PHEV excludes EREV from 2025-01-01 onwards if not specified differently)
