period,interval,year,category,registrations,source
2019M10,monthly,2018.75,BEV,18.66666667,ACEA
2019M10,monthly,2018.75,DIESEL,1396.333333,ACEA
2019M10,monthly,2018.75,HEV,117,ACEA
2019M10,monthly,2018.75,OTHER,16,ACEA
2019M10,monthly,2018.75,PETROL,2347.333333,ACEA
2019M10,monthly,2018.75,PHEV,9.333333333,ACEA
2019M10,monthly,2018.75,TOTAL,3904.666667,ACEA
2019M11,monthly,2018.833333,BEV,18.66666667,ACEA
2019M11,monthly,2018.833333,DIESEL,1396.333333,ACEA
2019M11,monthly,2018.833333,HEV,117,ACEA
2019M11,monthly,2018.833333,OTHER,16,ACEA
2019M11,monthly,2018.833333,PETROL,2347.333333,ACEA
2019M11,monthly,2018.833333,PHEV,9.333333333,ACEA
2019M11,monthly,2018.833333,TOTAL,3904.666667,ACEA
2019M12,monthly,2018.916667,BEV,18.66666667,ACEA
2019M12,monthly,2018.916667,DIESEL,1396.333333,ACEA
2019M12,monthly,2018.916667,HEV,117,ACEA
2019M12,monthly,2018.916667,OTHER,16,ACEA
2019M12,monthly,2018.916667,PETROL,2347.333333,ACEA
2019M12,monthly,2018.916667,PHEV,9.333333333,ACEA
2019M12,monthly,2018.916667,TOTAL,3904.666667,ACEA
2020M01,monthly,2019,BEV,19,ACEA
2020M01,monthly,2019,DIESEL,1154,ACEA
2020M01,monthly,2019,HEV,162,ACEA
2020M01,monthly,2019,OTHER,21.66666667,ACEA
2020M01,monthly,2019,PETROL,1947.333333,ACEA
2020M01,monthly,2019,PHEV,9.333333333,ACEA
2020M01,monthly,2019,TOTAL,3313.333333,ACEA
2020M02,monthly,2019.083333,BEV,19,ACEA
2020M02,monthly,2019.083333,DIESEL,1154,ACEA
2020M02,monthly,2019.083333,HEV,162,ACEA
2020M02,monthly,2019.083333,OTHER,21.66666667,ACEA
2020M02,monthly,2019.083333,PETROL,1947.333333,ACEA
2020M02,monthly,2019.083333,PHEV,9.333333333,ACEA
2020M02,monthly,2019.083333,TOTAL,3313.333333,ACEA
2020M03,monthly,2019.166667,BEV,19,ACEA
2020M03,monthly,2019.166667,DIESEL,1154,ACEA
2020M03,monthly,2019.166667,HEV,162,ACEA
2020M03,monthly,2019.166667,OTHER,21.66666667,ACEA
2020M03,monthly,2019.166667,PETROL,1947.333333,ACEA
2020M03,monthly,2019.166667,PHEV,9.333333333,ACEA
2020M03,monthly,2019.166667,TOTAL,3313.333333,ACEA
2020M04,monthly,2019.25,BEV,13.66666667,ACEA
2020M04,monthly,2019.25,DIESEL,876.3333333,ACEA
2020M04,monthly,2019.25,HEV,140.6666667,ACEA
2020M04,monthly,2019.25,OTHER,33.66666667,ACEA
2020M04,monthly,2019.25,PETROL,1421.666667,ACEA
2020M04,monthly,2019.25,PHEV,6,ACEA
2020M04,monthly,2019.25,TOTAL,2492,ACEA
2020M05,monthly,2019.333333,BEV,13.66666667,ACEA
2020M05,monthly,2019.333333,DIESEL,876.3333333,ACEA
2020M05,monthly,2019.333333,HEV,140.6666667,ACEA
2020M05,monthly,2019.333333,OTHER,33.66666667,ACEA
2020M05,monthly,2019.333333,PETROL,1421.666667,ACEA
2020M05,monthly,2019.333333,PHEV,6,ACEA
2020M05,monthly,2019.333333,TOTAL,2492,ACEA
2020M06,monthly,2019.416667,BEV,13.66666667,ACEA
2020M06,monthly,2019.416667,DIESEL,876.3333333,ACEA
2020M06,monthly,2019.416667,HEV,140.6666667,ACEA
2020M06,monthly,2019.416667,OTHER,33.66666667,ACEA
2020M06,monthly,2019.416667,PETROL,1421.666667,ACEA
2020M06,monthly,2019.416667,PHEV,6,ACEA
2020M06,monthly,2019.416667,TOTAL,2492,ACEA
2020M07,monthly,2019.5,BEV,54.33333333,ACEA
2020M07,monthly,2019.5,DIESEL,1342.333333,ACEA
2020M07,monthly,2019.5,HEV,183.6666667,ACEA
2020M07,monthly,2019.5,OTHER,75,ACEA
2020M07,monthly,2019.5,PETROL,1968.666667,ACEA
2020M07,monthly,2019.5,PHEV,13,ACEA
2020M07,monthly,2019.5,TOTAL,3637,ACEA
2020M08,monthly,2019.583333,BEV,54.33333333,ACEA
2020M08,monthly,2019.583333,DIESEL,1342.333333,ACEA
2020M08,monthly,2019.583333,HEV,183.6666667,ACEA
2020M08,monthly,2019.583333,OTHER,75,ACEA
2020M08,monthly,2019.583333,PETROL,1968.666667,ACEA
2020M08,monthly,2019.583333,PHEV,13,ACEA
2020M08,monthly,2019.583333,TOTAL,3637,ACEA
2020M09,monthly,2019.666667,BEV,54.33333333,ACEA
2020M09,monthly,2019.666667,DIESEL,1342.333333,ACEA
2020M09,monthly,2019.666667,HEV,183.6666667,ACEA
2020M09,monthly,2019.666667,OTHER,75,ACEA
2020M09,monthly,2019.666667,PETROL,1968.666667,ACEA
2020M09,monthly,2019.666667,PHEV,13,ACEA
2020M09,monthly,2019.666667,TOTAL,3637,ACEA
2020M10,monthly,2019.75,BEV,90,ACEA
2020M10,monthly,2019.75,DIESEL,922,ACEA
2020M10,monthly,2019.75,HEV,240,ACEA
2020M10,monthly,2019.75,OTHER,108,ACEA
2020M10,monthly,2019.75,PETROL,1263,ACEA
2020M10,monthly,2019.75,PHEV,19,ACEA
2020M10,monthly,2019.75,TOTAL,2644,ACEA
2020M11,monthly,2019.833333,BEV,90,ACEA
2020M11,monthly,2019.833333,DIESEL,922,ACEA
2020M11,monthly,2019.833333,HEV,240,ACEA
2020M11,monthly,2019.833333,OTHER,108,ACEA
2020M11,monthly,2019.833333,PETROL,1263,ACEA
2020M11,monthly,2019.833333,PHEV,19,ACEA
2020M11,monthly,2019.833333,TOTAL,2644,ACEA
2020M12,monthly,2019.916667,BEV,90,ACEA
2020M12,monthly,2019.916667,DIESEL,922,ACEA
2020M12,monthly,2019.916667,HEV,240,ACEA
2020M12,monthly,2019.916667,OTHER,108,ACEA
2020M12,monthly,2019.916667,PETROL,1263,ACEA
2020M12,monthly,2019.916667,PHEV,19,ACEA
2020M12,monthly,2019.916667,TOTAL,2644,ACEA
2021M01,monthly,2020,BEV,44,ACEA
2021M01,monthly,2020,DIESEL,1028.333333,ACEA
2021M01,monthly,2020,HEV,455.3333333,ACEA
2021M01,monthly,2020,OTHER,109,ACEA
2021M01,monthly,2020,PETROL,1834,ACEA
2021M01,monthly,2020,PHEV,23,ACEA
2021M01,monthly,2020,TOTAL,3493.666667,ACEA
2021M02,monthly,2020.083333,BEV,44,ACEA
2021M02,monthly,2020.083333,DIESEL,1028.333333,ACEA
2021M02,monthly,2020.083333,HEV,455.3333333,ACEA
2021M02,monthly,2020.083333,OTHER,109,ACEA
2021M02,monthly,2020.083333,PETROL,1834,ACEA
2021M02,monthly,2020.083333,PHEV,23,ACEA
2021M02,monthly,2020.083333,TOTAL,3493.666667,ACEA
2021M03,monthly,2020.166667,BEV,44,ACEA
2021M03,monthly,2020.166667,DIESEL,1028.333333,ACEA
2021M03,monthly,2020.166667,HEV,455.3333333,ACEA
2021M03,monthly,2020.166667,OTHER,109,ACEA
2021M03,monthly,2020.166667,PETROL,1834,ACEA
2021M03,monthly,2020.166667,PHEV,23,ACEA
2021M03,monthly,2020.166667,TOTAL,3493.666667,ACEA
2021M04,monthly,2020.25,BEV,83.66666667,ACEA
2021M04,monthly,2020.25,DIESEL,1330,ACEA
2021M04,monthly,2020.25,HEV,674,ACEA
2021M04,monthly,2020.25,OTHER,195.3333333,ACEA
2021M04,monthly,2020.25,PETROL,2953,ACEA
2021M04,monthly,2020.25,PHEV,33,ACEA
2021M04,monthly,2020.25,TOTAL,5269,ACEA
2021M05,monthly,2020.333333,BEV,83.66666667,ACEA
2021M05,monthly,2020.333333,DIESEL,1330,ACEA
2021M05,monthly,2020.333333,HEV,674,ACEA
2021M05,monthly,2020.333333,OTHER,195.3333333,ACEA
2021M05,monthly,2020.333333,PETROL,2953,ACEA
2021M05,monthly,2020.333333,PHEV,33,ACEA
2021M05,monthly,2020.333333,TOTAL,5269,ACEA
2021M06,monthly,2020.416667,BEV,83.66666667,ACEA
2021M06,monthly,2020.416667,DIESEL,1330,ACEA
2021M06,monthly,2020.416667,HEV,674,ACEA
2021M06,monthly,2020.416667,OTHER,195.3333333,ACEA
2021M06,monthly,2020.416667,PETROL,2953,ACEA
2021M06,monthly,2020.416667,PHEV,33,ACEA
2021M06,monthly,2020.416667,TOTAL,5269,ACEA
2021M07,monthly,2020.5,BEV,118,ACEA
2021M07,monthly,2020.5,DIESEL,943,ACEA
2021M07,monthly,2020.5,HEV,558,ACEA
2021M07,monthly,2020.5,OTHER,193,ACEA
2021M07,monthly,2020.5,PETROL,1975,ACEA
2021M07,monthly,2020.5,PHEV,193,ACEA
2021M07,monthly,2020.5,TOTAL,3787,ACEA
2021M08,monthly,2020.583333,BEV,118,ACEA
2021M08,monthly,2020.583333,DIESEL,943,ACEA
2021M08,monthly,2020.583333,HEV,558,ACEA
2021M08,monthly,2020.583333,OTHER,193,ACEA
2021M08,monthly,2020.583333,PETROL,1975,ACEA
2021M08,monthly,2020.583333,PHEV,193,ACEA
2021M08,monthly,2020.583333,TOTAL,3787,ACEA
2021M09,monthly,2020.666667,BEV,118,ACEA
2021M09,monthly,2020.666667,DIESEL,943,ACEA
2021M09,monthly,2020.666667,HEV,558,ACEA
2021M09,monthly,2020.666667,OTHER,193,ACEA
2021M09,monthly,2020.666667,PETROL,1975,ACEA
2021M09,monthly,2020.666667,PHEV,193,ACEA
2021M09,monthly,2020.666667,TOTAL,3787,ACEA
2021M10,monthly,2020.75,BEV,245,ACEA
2021M10,monthly,2020.75,DIESEL,555,ACEA
2021M10,monthly,2020.75,HEV,459,ACEA
2021M10,monthly,2020.75,OTHER,170,ACEA
2021M10,monthly,2020.75,PETROL,1251,ACEA
2021M10,monthly,2020.75,PHEV,41,ACEA
2021M10,monthly,2020.75,TOTAL,2722,ACEA
2021M11,monthly,2020.833333,BEV,245,ACEA
2021M11,monthly,2020.833333,DIESEL,555,ACEA
2021M11,monthly,2020.833333,HEV,459,ACEA
2021M11,monthly,2020.833333,OTHER,170,ACEA
2021M11,monthly,2020.833333,PETROL,1251,ACEA
2021M11,monthly,2020.833333,PHEV,41,ACEA
2021M11,monthly,2020.833333,TOTAL,2722,ACEA
2021M12,monthly,2020.916667,BEV,245,ACEA
2021M12,monthly,2020.916667,DIESEL,555,ACEA
2021M12,monthly,2020.916667,HEV,459,ACEA
2021M12,monthly,2020.916667,OTHER,170,ACEA
2021M12,monthly,2020.916667,PETROL,1251,ACEA
2021M12,monthly,2020.916667,PHEV,41,ACEA
2021M12,monthly,2020.916667,TOTAL,2722,ACEA
2022M01,monthly,2021,BEV,109,ACEA
2022M01,monthly,2021,DIESEL,618,ACEA
2022M01,monthly,2021,HEV,605,ACEA
2022M01,monthly,2021,OTHER,142,ACEA
2022M01,monthly,2021,PETROL,1397,ACEA
2022M01,monthly,2021,PHEV,73,ACEA
2022M01,monthly,2021,TOTAL,2944,ACEA
2022M02,monthly,2021.083333,BEV,50,ACEA
2022M02,monthly,2021.083333,DIESEL,585,ACEA
2022M02,monthly,2021.083333,HEV,704,ACEA
2022M02,monthly,2021.083333,OTHER,63,ACEA
2022M02,monthly,2021.083333,PETROL,1399,ACEA
2022M02,monthly,2021.083333,PHEV,78,ACEA
2022M02,monthly,2021.083333,TOTAL,2879,ACEA
2022M03,monthly,2021.166667,BEV,90,ACEA
2022M03,monthly,2021.166667,DIESEL,637,ACEA
2022M03,monthly,2021.166667,HEV,996,ACEA
2022M03,monthly,2021.166667,OTHER,165,ACEA
2022M03,monthly,2021.166667,PETROL,1847,ACEA
2022M03,monthly,2021.166667,PHEV,77,ACEA
2022M03,monthly,2021.166667,TOTAL,3812,ACEA
2022M04,monthly,2021.25,BEV,48,ACEA
2022M04,monthly,2021.25,DIESEL,648,ACEA
2022M04,monthly,2021.25,HEV,872,ACEA
2022M04,monthly,2021.25,OTHER,251,ACEA
2022M04,monthly,2021.25,PETROL,2378,ACEA
2022M04,monthly,2021.25,PHEV,57,ACEA
2022M04,monthly,2021.25,TOTAL,4254,ACEA
2022M05,monthly,2021.333333,BEV,91,ACEA
2022M05,monthly,2021.333333,DIESEL,766,ACEA
2022M05,monthly,2021.333333,HEV,774,ACEA
2022M05,monthly,2021.333333,OTHER,208,ACEA
2022M05,monthly,2021.333333,PETROL,2151,ACEA
2022M05,monthly,2021.333333,PHEV,59,ACEA
2022M05,monthly,2021.333333,TOTAL,4049,ACEA
2022M06,monthly,2021.416667,BEV,70,ACEA
2022M06,monthly,2021.416667,DIESEL,1086,ACEA
2022M06,monthly,2021.416667,HEV,844,ACEA
2022M06,monthly,2021.416667,OTHER,302,ACEA
2022M06,monthly,2021.416667,PETROL,2574,ACEA
2022M06,monthly,2021.416667,PHEV,55,ACEA
2022M06,monthly,2021.416667,TOTAL,4931,ACEA
2022M07,monthly,2021.5,BEV,170,ACEA
2022M07,monthly,2021.5,DIESEL,1202,ACEA
2022M07,monthly,2021.5,HEV,718,ACEA
2022M07,monthly,2021.5,OTHER,213,ACEA
2022M07,monthly,2021.5,PETROL,2727,ACEA
2022M07,monthly,2021.5,PHEV,98,ACEA
2022M07,monthly,2021.5,TOTAL,5128,ACEA
2022M08,monthly,2021.583333,BEV,117,ACEA
2022M08,monthly,2021.583333,DIESEL,621,ACEA
2022M08,monthly,2021.583333,HEV,486,ACEA
2022M08,monthly,2021.583333,OTHER,95,ACEA
2022M08,monthly,2021.583333,PETROL,1804,ACEA
2022M08,monthly,2021.583333,PHEV,77,ACEA
2022M08,monthly,2021.583333,TOTAL,3200,ACEA
2022M09,monthly,2021.666667,BEV,219,ACEA
2022M09,monthly,2021.666667,DIESEL,817,ACEA
2022M09,monthly,2021.666667,HEV,634,ACEA
2022M09,monthly,2021.666667,OTHER,104,ACEA
2022M09,monthly,2021.666667,PETROL,1634,ACEA
2022M09,monthly,2021.666667,PHEV,78,ACEA
2022M09,monthly,2021.666667,TOTAL,3486,ACEA
2022M10,monthly,2021.75,BEV,94,ACEA
2022M10,monthly,2021.75,DIESEL,762,ACEA
2022M10,monthly,2021.75,HEV,603,ACEA
2022M10,monthly,2021.75,OTHER,46,ACEA
2022M10,monthly,2021.75,PETROL,1423,ACEA
2022M10,monthly,2021.75,PHEV,95,ACEA
2022M10,monthly,2021.75,TOTAL,3023,ACEA
2022M11,monthly,2021.833333,BEV,151,ACEA
2022M11,monthly,2021.833333,DIESEL,512,ACEA
2022M11,monthly,2021.833333,HEV,607,ACEA
2022M11,monthly,2021.833333,OTHER,47,ACEA
2022M11,monthly,2021.833333,PETROL,1248,ACEA
2022M11,monthly,2021.833333,PHEV,93,ACEA
2022M11,monthly,2021.833333,TOTAL,2658,ACEA
2022M12,monthly,2021.916667,BEV,162,ACEA
2022M12,monthly,2021.916667,DIESEL,515,ACEA
2022M12,monthly,2021.916667,HEV,533,ACEA
2022M12,monthly,2021.916667,OTHER,164,ACEA
2022M12,monthly,2021.916667,PETROL,1071,ACEA
2022M12,monthly,2021.916667,PHEV,83,ACEA
2022M12,monthly,2021.916667,TOTAL,2528,ACEA
2023M01,monthly,2022,BEV,192,ACEA
2023M01,monthly,2022,DIESEL,683,ACEA
2023M01,monthly,2022,HEV,627,ACEA
2023M01,monthly,2022,OTHER,133,ACEA
2023M01,monthly,2022,PETROL,1732,ACEA
2023M01,monthly,2022,PHEV,71,ACEA
2023M01,monthly,2022,TOTAL,3438,ACEA
2023M02,monthly,2022.083333,BEV,155,ACEA
2023M02,monthly,2022.083333,DIESEL,811,ACEA
2023M02,monthly,2022.083333,HEV,733,ACEA
2023M02,monthly,2022.083333,OTHER,132,ACEA
2023M02,monthly,2022.083333,PETROL,1829,ACEA
2023M02,monthly,2022.083333,PHEV,71,ACEA
2023M02,monthly,2022.083333,TOTAL,3731,ACEA
2023M03,monthly,2022.166667,BEV,219,ACEA
2023M03,monthly,2022.166667,DIESEL,1252,ACEA
2023M03,monthly,2022.166667,HEV,1385,ACEA
