period,interval,year,category,registrations,source
2020M01,quarterly,2019,BEV,1,ACEA
2020M01,quarterly,2019,DIESEL,300,ACEA
2020M01,quarterly,2019,HEV,133.3333333,ACEA
2020M01,quarterly,2019,OTHER,0,ACEA
2020M01,quarterly,2019,PETROL,539,ACEA
2020M01,quarterly,2019,PHEV,9,ACEA
2020M01,quarterly,2019,TOTAL,982.3333333,ACEA
2020M02,quarterly,2019.083333,BEV,1,ACEA
2020M02,quarterly,2019.083333,DIESEL,300,ACEA
2020M02,quarterly,2019.083333,HEV,133.3333333,ACEA
2020M02,quarterly,2019.083333,OTHER,0,ACEA
2020M02,quarterly,2019.083333,PETROL,539,ACEA
2020M02,quarterly,2019.083333,PHEV,9,ACEA
2020M02,quarterly,2019.083333,TOTAL,982.3333333,ACEA
2020M03,quarterly,2019.166667,BEV,1,ACEA
2020M03,quarterly,2019.166667,DIESEL,300,ACEA
2020M03,quarterly,2019.166667,HEV,133.3333333,ACEA
2020M03,quarterly,2019.166667,OTHER,0,ACEA
2020M03,quarterly,2019.166667,PETROL,539,ACEA
2020M03,quarterly,2019.166667,PHEV,9,ACEA
2020M03,quarterly,2019.166667,TOTAL,982.3333333,ACEA
2020M04,quarterly,2019.25,BEV,2,ACEA
2020M04,quarterly,2019.25,DIESEL,203,ACEA
2020M04,quarterly,2019.25,HEV,112,ACEA
2020M04,quarterly,2019.25,OTHER,0,ACEA
2020M04,quarterly,2019.25,PETROL,346,ACEA
2020M04,quarterly,2019.25,PHEV,7,ACEA
2020M04,quarterly,2019.25,TOTAL,670,ACEA
2020M05,quarterly,2019.333333,BEV,2,ACEA
2020M05,quarterly,2019.333333,DIESEL,203,ACEA
2020M05,quarterly,2019.333333,HEV,112,ACEA
2020M05,quarterly,2019.333333,OTHER,0,ACEA
2020M05,quarterly,2019.333333,PETROL,346,ACEA
2020M05,quarterly,2019.333333,PHEV,7,ACEA
2020M05,quarterly,2019.333333,TOTAL,670,ACEA
2020M06,quarterly,2019.416667,BEV,2,ACEA
2020M06,quarterly,2019.416667,DIESEL,203,ACEA
2020M06,quarterly,2019.416667,HEV,112,ACEA
2020M06,quarterly,2019.416667,OTHER,0,ACEA
2020M06,quarterly,2019.416667,PETROL,346,ACEA
2020M06,quarterly,2019.416667,PHEV,7,ACEA
2020M06,quarterly,2019.416667,TOTAL,670,ACEA
2020M07,quarterly,2019.5,BEV,3,ACEA
2020M07,quarterly,2019.5,DIESEL,253,ACEA
2020M07,quarterly,2019.5,HEV,98.33333333,ACEA
2020M07,quarterly,2019.5,OTHER,0,ACEA
2020M07,quarterly,2019.5,PETROL,529,ACEA
2020M07,quarterly,2019.5,PHEV,0,ACEA
2020M07,quarterly,2019.5,TOTAL,883.3333333,ACEA
2020M08,quarterly,2019.583333,BEV,3,ACEA
2020M08,quarterly,2019.583333,DIESEL,253,ACEA
2020M08,quarterly,2019.583333,HEV,98.33333333,ACEA
2020M08,quarterly,2019.583333,OTHER,1,ACEA
2020M08,quarterly,2019.583333,PETROL,529,ACEA
2020M08,quarterly,2019.583333,PHEV,0,ACEA
2020M08,quarterly,2019.583333,TOTAL,884.3333333,ACEA
2020M09,quarterly,2019.666667,BEV,3,ACEA
2020M09,quarterly,2019.666667,DIESEL,253,ACEA
2020M09,quarterly,2019.666667,HEV,98.33333333,ACEA
2020M09,quarterly,2019.666667,OTHER,1,ACEA
2020M09,quarterly,2019.666667,PETROL,529,ACEA
2020M09,quarterly,2019.666667,PHEV,0,ACEA
2020M09,quarterly,2019.666667,TOTAL,884.3333333,ACEA
2020M10,quarterly,2019.75,BEV,6,ACEA
2020M10,quarterly,2019.75,DIESEL,208,ACEA
2020M10,quarterly,2019.75,HEV,122,ACEA
2020M10,quarterly,2019.75,OTHER,0,ACEA
2020M10,quarterly,2019.75,PETROL,477,ACEA
2020M10,quarterly,2019.75,PHEV,5.666666667,ACEA
2020M10,quarterly,2019.75,TOTAL,819,ACEA
2020M11,quarterly,2019.833333,BEV,6,ACEA
2020M11,quarterly,2019.833333,DIESEL,208,ACEA
2020M11,quarterly,2019.833333,HEV,121.3333333,ACEA
2020M11,quarterly,2019.833333,OTHER,0,ACEA
2020M11,quarterly,2019.833333,PETROL,476,ACEA
2020M11,quarterly,2019.833333,PHEV,5.666666667,ACEA
2020M11,quarterly,2019.833333,TOTAL,818,ACEA
2020M12,quarterly,2019.916667,BEV,6,ACEA
2020M12,quarterly,2019.916667,DIESEL,208,ACEA
2020M12,quarterly,2019.916667,HEV,121.3333333,ACEA
2020M12,quarterly,2019.916667,OTHER,0,ACEA
2020M12,quarterly,2019.916667,PETROL,476,ACEA
2020M12,quarterly,2019.916667,PHEV,5.666666667,ACEA
2020M12,quarterly,2019.916667,TOTAL,818,ACEA
2021M01,quarterly,2020,BEV,8.666666667,ACEA
2021M01,quarterly,2020,DIESEL,202,ACEA
2021M01,quarterly,2020,HEV,142.6666667,ACEA
2021M01,quarterly,2020,OTHER,0,ACEA
2021M01,quarterly,2020,PETROL,545.3333333,ACEA
2021M01,quarterly,2020,PHEV,6.666666667,ACEA
2021M01,quarterly,2020,TOTAL,905.3333333,ACEA
2021M02,quarterly,2020.083333,BEV,8.666666667,ACEA
2021M02,quarterly,2020.083333,DIESEL,202,ACEA
2021M02,quarterly,2020.083333,HEV,142.6666667,ACEA
2021M02,quarterly,2020.083333,OTHER,0,ACEA
2021M02,quarterly,2020.083333,PETROL,545.3333333,ACEA
2021M02,quarterly,2020.083333,PHEV,6.666666667,ACEA
2021M02,quarterly,2020.083333,TOTAL,905.3333333,ACEA
2021M03,quarterly,2020.166667,BEV,8.666666667,ACEA
2021M03,quarterly,2020.166667,DIESEL,202,ACEA
2021M03,quarterly,2020.166667,HEV,142.6666667,ACEA
2021M03,quarterly,2020.166667,OTHER,0,ACEA
2021M03,quarterly,2020.166667,PETROL,545.3333333,ACEA
