period,interval,year,category,registrations,source
2011M01,monthly,2010,BEV,3,ACEA / sda-cia.cz
2011M01,monthly,2010,DIESEL,5055,ACEA / sda-cia.cz
2011M01,monthly,2010,OTHER,304,ACEA / sda-cia.cz
2011M01,monthly,2010,PETROL,6316,ACEA / sda-cia.cz
2011M01,monthly,2010,PHEV,0,ACEA / sda-cia.cz
2011M01,monthly,2010,TOTAL,11678,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,BEV,0,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,DIESEL,5133,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,OTHER,266,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,PETROL,7448,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,PHEV,0,ACEA / sda-cia.cz
2011M02,monthly,2010.083333,TOTAL,12847,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,BEV,12,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,DIESEL,6098,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,OTHER,416,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,PETROL,10975,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,PHEV,0,ACEA / sda-cia.cz
2011M03,monthly,2010.166667,TOTAL,17501,ACEA / sda-cia.cz
2011M04,monthly,2010.25,BEV,18,ACEA / sda-cia.cz
2011M04,monthly,2010.25,DIESEL,5393,ACEA / sda-cia.cz
2011M04,monthly,2010.25,OTHER,413,ACEA / sda-cia.cz
2011M04,monthly,2010.25,PETROL,8796,ACEA / sda-cia.cz
2011M04,monthly,2010.25,PHEV,0,ACEA / sda-cia.cz
2011M04,monthly,2010.25,TOTAL,14620,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,BEV,4,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,DIESEL,5833,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,OTHER,429,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,PETROL,9216,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,PHEV,0,ACEA / sda-cia.cz
2011M05,monthly,2010.333333,TOTAL,15482,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,BEV,6,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,DIESEL,6457,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,OTHER,439,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,PETROL,9254,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,PHEV,0,ACEA / sda-cia.cz
2011M06,monthly,2010.416667,TOTAL,16156,ACEA / sda-cia.cz
2011M07,monthly,2010.5,BEV,2,ACEA / sda-cia.cz
2011M07,monthly,2010.5,DIESEL,5006,ACEA / sda-cia.cz
2011M07,monthly,2010.5,OTHER,398,ACEA / sda-cia.cz
2011M07,monthly,2010.5,PETROL,6712,ACEA / sda-cia.cz
2011M07,monthly,2010.5,PHEV,0,ACEA / sda-cia.cz
