period,interval,year,category,registrations,source
2018M01,quarterly,2017,BEV,64,statbank.dk
2018M01,quarterly,2017,DIESEL,6752,statbank.dk
2018M01,quarterly,2017,HEV,583,statbank.dk
2018M01,quarterly,2017,OTHER,0,statbank.dk
2018M01,quarterly,2017,PETROL,12168,statbank.dk
2018M01,quarterly,2017,PHEV,283,statbank.dk
2018M01,quarterly,2017,TOTAL,19852,statbank.dk
2018M02,quarterly,2017.083333,BEV,64,statbank.dk
2018M02,quarterly,2017.083333,DIESEL,6752,statbank.dk
2018M02,quarterly,2017.083333,HEV,583,statbank.dk
2018M02,quarterly,2017.083333,OTHER,0,statbank.dk
2018M02,quarterly,2017.083333,PETROL,12168,statbank.dk
2018M02,quarterly,2017.083333,PHEV,283,statbank.dk
2018M02,quarterly,2017.083333,TOTAL,19852,statbank.dk
2018M03,quarterly,2017.166667,BEV,64,statbank.dk
2018M03,quarterly,2017.166667,DIESEL,6752,statbank.dk
2018M03,quarterly,2017.166667,HEV,583,statbank.dk
2018M03,quarterly,2017.166667,OTHER,0,statbank.dk
2018M03,quarterly,2017.166667,PETROL,12168,statbank.dk
2018M03,quarterly,2017.166667,PHEV,283,statbank.dk
2018M03,quarterly,2017.166667,TOTAL,19852,statbank.dk
2018M04,quarterly,2017.25,BEV,113,statbank.dk
2018M04,quarterly,2017.25,DIESEL,7038,statbank.dk
2018M04,quarterly,2017.25,HEV,745,statbank.dk
2018M04,quarterly,2017.25,OTHER,1,statbank.dk
2018M04,quarterly,2017.25,PETROL,14115,statbank.dk
2018M04,quarterly,2017.25,PHEV,267,statbank.dk
2018M04,quarterly,2017.25,TOTAL,22280,statbank.dk
2018M05,quarterly,2017.333333,BEV,113,statbank.dk
2018M05,quarterly,2017.333333,DIESEL,7038,statbank.dk
2018M05,quarterly,2017.333333,HEV,745,statbank.dk
2018M05,quarterly,2017.333333,OTHER,1,statbank.dk
2018M05,quarterly,2017.333333,PETROL,14115,statbank.dk
2018M05,quarterly,2017.333333,PHEV,267,statbank.dk
2018M05,quarterly,2017.333333,TOTAL,22280,statbank.dk
2018M06,quarterly,2017.416667,BEV,113,statbank.dk
2018M06,quarterly,2017.416667,DIESEL,7038,statbank.dk
2018M06,quarterly,2017.416667,HEV,745,statbank.dk
2018M06,quarterly,2017.416667,OTHER,1,statbank.dk
2018M06,quarterly,2017.416667,PETROL,14115,statbank.dk
2018M06,quarterly,2017.416667,PHEV,267,statbank.dk
2018M06,quarterly,2017.416667,TOTAL,22280,statbank.dk
2018M07,quarterly,2017.5,BEV,136,statbank.dk
2018M07,quarterly,2017.5,DIESEL,5196,statbank.dk
2018M07,quarterly,2017.5,HEV,696,statbank.dk
2018M07,quarterly,2017.5,OTHER,0,statbank.dk
2018M07,quarterly,2017.5,PETROL,11088,statbank.dk
2018M07,quarterly,2017.5,PHEV,331,statbank.dk
2018M07,quarterly,2017.5,TOTAL,17448,statbank.dk
