period,interval,year,category,registrations,source
2021M01,monthly,2020,BEV,3,statbank.dk
2021M01,monthly,2020,DIESEL,151,statbank.dk
2021M01,monthly,2020,HEV,0,statbank.dk
2021M01,monthly,2020,OTHER,1,statbank.dk
2021M01,monthly,2020,PETROL,0,statbank.dk
2021M01,monthly,2020,PHEV,0,statbank.dk
2021M01,monthly,2020,TOTAL,155,statbank.dk
2021M02,monthly,2020.083333,BEV,2,statbank.dk
2021M02,monthly,2020.083333,DIESEL,147,statbank.dk
2021M02,monthly,2020.083333,HEV,0,statbank.dk
2021M02,monthly,2020.083333,OTHER,0,statbank.dk
2021M02,monthly,2020.083333,PETROL,0,statbank.dk
2021M02,monthly,2020.083333,PHEV,0,statbank.dk
2021M02,monthly,2020.083333,TOTAL,149,statbank.dk
2021M03,monthly,2020.166667,BEV,5,statbank.dk
2021M03,monthly,2020.166667,DIESEL,235,statbank.dk
2021M03,monthly,2020.166667,HEV,0,statbank.dk
2021M03,monthly,2020.166667,OTHER,5,statbank.dk
2021M03,monthly,2020.166667,PETROL,0,statbank.dk
2021M03,monthly,2020.166667,PHEV,0,statbank.dk
2021M03,monthly,2020.166667,TOTAL,245,statbank.dk
2021M04,monthly,2020.25,BEV,1,statbank.dk
2021M04,monthly,2020.25,DIESEL,178,statbank.dk
2021M04,monthly,2020.25,HEV,0,statbank.dk
2021M04,monthly,2020.25,OTHER,9,statbank.dk
2021M04,monthly,2020.25,PETROL,0,statbank.dk
2021M04,monthly,2020.25,PHEV,0,statbank.dk
2021M04,monthly,2020.25,TOTAL,188,statbank.dk
2021M05,monthly,2020.333333,BEV,0,statbank.dk
2021M05,monthly,2020.333333,DIESEL,163,statbank.dk
2021M05,monthly,2020.333333,HEV,0,statbank.dk
2021M05,monthly,2020.333333,OTHER,5,statbank.dk
2021M05,monthly,2020.333333,PETROL,1,statbank.dk
2021M05,monthly,2020.333333,PHEV,0,statbank.dk
2021M05,monthly,2020.333333,TOTAL,169,statbank.dk
2021M06,monthly,2020.416667,BEV,0,statbank.dk
2021M06,monthly,2020.416667,DIESEL,171,statbank.dk
2021M06,monthly,2020.416667,HEV,0,statbank.dk
2021M06,monthly,2020.416667,OTHER,5,statbank.dk
2021M06,monthly,2020.416667,PETROL,1,statbank.dk
2021M06,monthly,2020.416667,PHEV,0,statbank.dk
2021M06,monthly,2020.416667,TOTAL,177,statbank.dk
2021M07,monthly,2020.5,BEV,0,statbank.dk
2021M07,monthly,2020.5,DIESEL,111,statbank.dk
2021M07,monthly,2020.5,HEV,0,statbank.dk
2021M07,monthly,2020.5,OTHER,1,statbank.dk
2021M07,monthly,2020.5,PETROL,0,statbank.dk
2021M07,monthly,2020.5,PHEV,0,statbank.dk
2021M07,monthly,2020.5,TOTAL,112,statbank.dk
2021M08,monthly,2020.583333,BEV,3,statbank.dk
2021M08,monthly,2020.583333,DIESEL,191,statbank.dk
2021M08,monthly,2020.583333,HEV,0,statbank.dk
2021M08,monthly,2020.583333,OTHER,2,statbank.dk
2021M08,monthly,2020.583333,PETROL,0,statbank.dk
2021M08,monthly,2020.583333,PHEV,0,statbank.dk
2021M08,monthly,2020.583333,TOTAL,196,statbank.dk
2021M09,monthly,2020.666667,BEV,2,statbank.dk
2021M09,monthly,2020.666667,DIESEL,141,statbank.dk
2021M09,monthly,2020.666667,HEV,0,statbank.dk
2021M09,monthly,2020.666667,OTHER,0,statbank.dk
2021M09,monthly,2020.666667,PETROL,0,statbank.dk
2021M09,monthly,2020.666667,PHEV,0,statbank.dk
2021M09,monthly,2020.666667,TOTAL,143,statbank.dk
2021M10,monthly,2020.75,BEV,2,statbank.dk
2021M10,monthly,2020.75,DIESEL,148,statbank.dk
2021M10,monthly,2020.75,HEV,0,statbank.dk
2021M10,monthly,2020.75,OTHER,9,statbank.dk
2021M10,monthly,2020.75,PETROL,0,statbank.dk
2021M10,monthly,2020.75,PHEV,0,statbank.dk
2021M10,monthly,2020.75,TOTAL,159,statbank.dk
2021M11,monthly,2020.833333,BEV,1,statbank.dk
2021M11,monthly,2020.833333,DIESEL,169,statbank.dk
2021M11,monthly,2020.833333,HEV,0,statbank.dk
2021M11,monthly,2020.833333,OTHER,6,statbank.dk
2021M11,monthly,2020.833333,PETROL,0,statbank.dk
2021M11,monthly,2020.833333,PHEV,0,statbank.dk
2021M11,monthly,2020.833333,TOTAL,176,statbank.dk
2021M12,monthly,2020.916667,BEV,6,statbank.dk
2021M12,monthly,2020.916667,DIESEL,179,statbank.dk
2021M12,monthly,2020.916667,HEV,0,statbank.dk
2021M12,monthly,2020.916667,OTHER,8,statbank.dk
2021M12,monthly,2020.916667,PETROL,0,statbank.dk
2021M12,monthly,2020.916667,PHEV,0,statbank.dk
2021M12,monthly,2020.916667,TOTAL,193,statbank.dk
2022M01,monthly,2021,BEV,11,statbank.dk
2022M01,monthly,2021,DIESEL,167,statbank.dk
2022M01,monthly,2021,HEV,0,statbank.dk
2022M01,monthly,2021,OTHER,0,statbank.dk
2022M01,monthly,2021,PETROL,0,statbank.dk
2022M01,monthly,2021,PHEV,0,statbank.dk
2022M01,monthly,2021,TOTAL,178,statbank.dk
2022M02,monthly,2021.083333,BEV,2,statbank.dk
2022M02,monthly,2021.083333,DIESEL,145,statbank.dk
2022M02,monthly,2021.083333,HEV,0,statbank.dk
2022M02,monthly,2021.083333,OTHER,0,statbank.dk
