period,interval,year,category,registrations,source
2018M01,monthly,2017,BEV,7,statbank.dk
2018M01,monthly,2017,DIESEL,2390,statbank.dk
2018M01,monthly,2017,OTHER,0,statbank.dk
2018M01,monthly,2017,PETROL,172,statbank.dk
2018M01,monthly,2017,PHEV,3,statbank.dk
2018M01,monthly,2017,TOTAL,2572,statbank.dk
2018M02,monthly,2017.083333,BEV,4,statbank.dk
2018M02,monthly,2017.083333,DIESEL,2238,statbank.dk
2018M02,monthly,2017.083333,OTHER,0,statbank.dk
2018M02,monthly,2017.083333,PETROL,201,statbank.dk
2018M02,monthly,2017.083333,PHEV,3,statbank.dk
2018M02,monthly,2017.083333,TOTAL,2446,statbank.dk
2018M03,monthly,2017.166667,BEV,1,statbank.dk
2018M03,monthly,2017.166667,DIESEL,2599,statbank.dk
2018M03,monthly,2017.166667,OTHER,0,statbank.dk
2018M03,monthly,2017.166667,PETROL,174,statbank.dk
2018M03,monthly,2017.166667,PHEV,7,statbank.dk
2018M03,monthly,2017.166667,TOTAL,2781,statbank.dk
2018M04,monthly,2017.25,BEV,29,statbank.dk
2018M04,monthly,2017.25,DIESEL,2701,statbank.dk
2018M04,monthly,2017.25,OTHER,2,statbank.dk
2018M04,monthly,2017.25,PETROL,153,statbank.dk
2018M04,monthly,2017.25,PHEV,3,statbank.dk
2018M04,monthly,2017.25,TOTAL,2888,statbank.dk
2018M05,monthly,2017.333333,BEV,54,statbank.dk
2018M05,monthly,2017.333333,DIESEL,3159,statbank.dk
2018M05,monthly,2017.333333,OTHER,2,statbank.dk
2018M05,monthly,2017.333333,PETROL,164,statbank.dk
2018M05,monthly,2017.333333,PHEV,3,statbank.dk
2018M05,monthly,2017.333333,TOTAL,3382,statbank.dk
2018M06,monthly,2017.416667,BEV,25,statbank.dk
2018M06,monthly,2017.416667,DIESEL,3042,statbank.dk
2018M06,monthly,2017.416667,OTHER,0,statbank.dk
2018M06,monthly,2017.416667,PETROL,151,statbank.dk
2018M06,monthly,2017.416667,PHEV,0,statbank.dk
2018M06,monthly,2017.416667,TOTAL,3218,statbank.dk
2018M07,monthly,2017.5,BEV,3,statbank.dk
2018M07,monthly,2017.5,DIESEL,1745,statbank.dk
2018M07,monthly,2017.5,OTHER,0,statbank.dk
2018M07,monthly,2017.5,PETROL,145,statbank.dk
2018M07,monthly,2017.5,PHEV,1,statbank.dk
2018M07,monthly,2017.5,TOTAL,1894,statbank.dk
2018M08,monthly,2017.583333,BEV,23,statbank.dk
2018M08,monthly,2017.583333,DIESEL,2804,statbank.dk
2018M08,monthly,2017.583333,OTHER,0,statbank.dk
2018M08,monthly,2017.583333,PETROL,156,statbank.dk
2018M08,monthly,2017.583333,PHEV,4,statbank.dk
2018M08,monthly,2017.583333,TOTAL,2987,statbank.dk
2018M09,monthly,2017.666667,BEV,12,statbank.dk
2018M09,monthly,2017.666667,DIESEL,2381,statbank.dk
2018M09,monthly,2017.666667,OTHER,0,statbank.dk
2018M09,monthly,2017.666667,PETROL,139,statbank.dk
2018M09,monthly,2017.666667,PHEV,5,statbank.dk
2018M09,monthly,2017.666667,TOTAL,2537,statbank.dk
2018M10,monthly,2017.75,BEV,6,statbank.dk
2018M10,monthly,2017.75,DIESEL,3053,statbank.dk
2018M10,monthly,2017.75,OTHER,1,statbank.dk
2018M10,monthly,2017.75,PETROL,159,statbank.dk
2018M10,monthly,2017.75,PHEV,0,statbank.dk
2018M10,monthly,2017.75,TOTAL,3219,statbank.dk
2018M11,monthly,2017.833333,BEV,7,statbank.dk
2018M11,monthly,2017.833333,DIESEL,3029,statbank.dk
2018M11,monthly,2017.833333,OTHER,0,statbank.dk
2018M11,monthly,2017.833333,PETROL,160,statbank.dk
2018M11,monthly,2017.833333,PHEV,3,statbank.dk
2018M11,monthly,2017.833333,TOTAL,3199,statbank.dk
2018M12,monthly,2017.916667,BEV,18,statbank.dk
2018M12,monthly,2017.916667,DIESEL,2563,statbank.dk
2018M12,monthly,2017.916667,OTHER,2,statbank.dk
2018M12,monthly,2017.916667,PETROL,148,statbank.dk
2018M12,monthly,2017.916667,PHEV,1,statbank.dk
