period,interval,year,category,registrations,source
2018M01,quarterly,2017,BEV,4,ACEA
2018M01,quarterly,2017,DIESEL,1049,ACEA
2018M01,quarterly,2017,HEV,110,ACEA
2018M01,quarterly,2017,OTHER,0,ACEA
2018M01,quarterly,2017,PETROL,1684,ACEA
2018M01,quarterly,2017,PHEV,2,ACEA
2018M01,quarterly,2017,TOTAL,2850,ACEA
2018M02,quarterly,2017.083333,BEV,4,ACEA
2018M02,quarterly,2017.083333,DIESEL,1049,ACEA
2018M02,quarterly,2017.083333,HEV,110,ACEA
2018M02,quarterly,2017.083333,OTHER,0,ACEA
2018M02,quarterly,2017.083333,PETROL,1684,ACEA
2018M02,quarterly,2017.083333,PHEV,2,ACEA
2018M02,quarterly,2017.083333,TOTAL,2850,ACEA
2018M03,quarterly,2017.166667,BEV,4,ACEA
2018M03,quarterly,2017.166667,DIESEL,1049,ACEA
2018M03,quarterly,2017.166667,HEV,110,ACEA
2018M03,quarterly,2017.166667,OTHER,0,ACEA
2018M03,quarterly,2017.166667,PETROL,1684,ACEA
2018M03,quarterly,2017.166667,PHEV,2,ACEA
2018M03,quarterly,2017.166667,TOTAL,2850,ACEA
2018M04,quarterly,2017.25,BEV,7,ACEA
2018M04,quarterly,2017.25,DIESEL,1203,ACEA
2018M04,quarterly,2017.25,HEV,148,ACEA
2018M04,quarterly,2017.25,OTHER,0,ACEA
2018M04,quarterly,2017.25,PETROL,1853,ACEA
2018M04,quarterly,2017.25,PHEV,2,ACEA
2018M04,quarterly,2017.25,TOTAL,3214,ACEA
2018M05,quarterly,2017.333333,BEV,7,ACEA
2018M05,quarterly,2017.333333,DIESEL,1203,ACEA
2018M05,quarterly,2017.333333,HEV,148,ACEA
2018M05,quarterly,2017.333333,OTHER,0,ACEA
2018M05,quarterly,2017.333333,PETROL,1853,ACEA
2018M05,quarterly,2017.333333,PHEV,2,ACEA
2018M05,quarterly,2017.333333,TOTAL,3214,ACEA
2018M06,quarterly,2017.416667,BEV,7,ACEA
2018M06,quarterly,2017.416667,DIESEL,1203,ACEA
2018M06,quarterly,2017.416667,HEV,148,ACEA
2018M06,quarterly,2017.416667,OTHER,0,ACEA
2018M06,quarterly,2017.416667,PETROL,1853,ACEA
